"";"*gr_01";"*gr_02"
"lula";283;1376
"indicação";6;45
"irregularidade";3;53
"prazo";9;92
"opinião";11;73
"santana";13;73
"igual";5;33
"serenidade";0;10
"adequado";3;29
"estrangeiro";6;29
"curioso";7;7
"regional";2;46
"atingir";31;117
"oficialmente";10;20
"oceano";1;14
"carteira";3;11
"durar";0;28
"planejamento";1;39
"trump";121;459
"imediatamente";17;26
"miller";2;19
"nascer";3;29
"4";30;187
"lamentável";2;10
"zavascki";8;43
"peça";3;48
"criança";11;36
"lgbt";2;8
"retomada";0;15
"china";69;210
"linha";10;63
"embarcar";0;10
"acertar";1;24
"bandido";11;37
"marino";4;12
"correção";0;20
"unir";5;19
"comemorar";3;15
"maio";7;75
"portugal";6;10
"dni";0;11
"rapidamente";6;12
"hoffmann";0;14
"posteriormente";1;23
"mexer";1;14
"evidência";3;21
"parágrafo";2;14
"90";0;24
"destruir";31;53
"pacífico";11;57
"foloni";0;16
"adquirir";7;38
"absoluto";9;30
"pinto";4;6
"crítico";0;28
"seleção";3;10
"área";8;169
"mediante";0;12
"milhar";9;19
"constante";5;17
"luís";6;28
"sede";7;81
"ordenar";15;23
"preferir";5;29
"sentir";6;27
"aliar";1;35
"lindbergh";7;12
"romper";1;14
"apoiador";4;14
"vara";7;42
"fim";31;230
"surgir";8;38
"necessário";16;132
"brasileiro";81;399
"exercício";20;96
"abordar";2;20
"folha";18;16
"financial";1;12
"mdb";0;23
"interessado";0;13
"norte_coreanas";6;10
"rs";2;10
"bebê";0;11
"satélite";3;24
"rj";5;31
"navio";26;40
"bancoop";1;32
"gleisi";1;23
"bater";5;32
"ato";13;183
"cofre";12;18
"alterar";6;26
"deixar";34;331
"humanidade";1;9
"adotar";5;54
"zelar";1;12
"imenso";2;12
"compromisso";3;54
"170";1;10
"segunda_feira";4;100
"edifício";3;21
"entre";69;712
"investigação";34;405
"finalidade";1;22
"bacelar";1;14
"recorrer";7;82
"reproduzir";1;9
"dominar";0;12
"este";7;126
"esta";12;123
"pesado";6;11
"reportagem";10;106
"longo";18;131
"longe";6;30
"receber";98;437
"kremlin";0;13
"conceder";7;56
"cúpula";14;56
"dois";53;635
"thaad";12;8
"professor";15;91
"ferida";1;9
"até";100;563
"107";0;11
"referido";1;16
"aliado";20;96
"injustiça";1;13
"opção";8;59
"consideração";0;22
"figueiredo";0;13
"revolucionário";1;10
"rico";8;29
"irã";9;28
"relacionar";4;35
"motivar";1;27
"repórter";9;9
"caribe";0;11
"ótimo";2;23
"ocultação";1;9
"policial";13;127
"comprar";29;112
"saud";9;69
"alertar";18;29
"diferença";4;52
"bloqueio";2;38
"consciência";4;16
"expressão";5;20
"novembro";3;57
"acórdão";0;12
"moçambicano";0;12
"advertir";7;30
"custar";4;19
"nascimento";0;14
"tanque";9;5
"concentrar";3;13
"senso";3;7
"igualdade";0;11
"depósito";1;20
"basear";3;26
"escalada";0;15
"zelote";1;11
"doméstico";2;8
"filmar";8;13
"chile";2;17
"quão";0;10
"medida";19;255
"cidade";19;174
"efetivamente";0;20
"ideológico";3;21
"discurso";32;125
"cobrir";2;22
"delegação";0;13
"suspenso";2;32
"estrutura";0;27
"homenagem";4;20
"rex";3;23
"algum";56;229
"deputado";100;483
"bush";0;13
"desaparecer";1;12
"retaliação";5;25
"destacar";29;105
"comprometer";0;24
"turquia";7;10
"municipal";0;42
"evolução";0;12
"esconder";9;21
"osmar";2;21
"d";0;15
"inelegível";1;11
"gado";9;8
"abandonar";2;27
"identidade";0;16
"complexo";2;29
"efetivo";1;24
"esgotado";1;11
"vincular";2;12
"culpar";3;9
"beneficiar";9;71
"oposição";7;71
"coréia";92;3
"maneira";16;102
"uma";567;3378
"afinal";3;19
"ciro";10;39
"muita";7;123
"conhecido";22;60
"delito";4;25
"influência";11;59
"o";2995;18642
"distribuição";3;21
"emilio";1;39
"nixon";0;10
"sob";15;141
"fazê_lo";1;9
"concessão";1;44
"alencar";2;18
"profissão";3;9
"novo";63;579
"lobista";0;14
"memória";2;11
"lourar";21;104
"vontade";3;25
"coercitivo";0;10
"olimpíada";0;11
"seguir";23;140
"renan";22;116
"peso";1;25
"resultado";8;101
"pensamento";1;21
"cumprir";9;149
"liberal";1;20
"melar";3;30
"condenar";45;223
"moderno";1;15
"liberar";6;39
"sanção";0;89
"eventual";0;80
"pasadena";2;11
"marisa";5;74
"petróleo";2;26
"domingo";7;80
"intervenção";6;147
"time";9;49
"pior";5;46
"interrogatório";5;33
"entrevista";27;168
"57";4;7
"corpo";3;31
"ver";70;589
"vez";75;383
"comum";6;56
"tráfico";6;28
"sonoro";0;14
"caos";3;13
"minuto";16;60
"colapso";4;8
"irmão";22;85
"lícito";1;13
"qualquer";42;464
"montar";5;27
"querer";93;459
"planilha";6;32
"boca";13;11
"56";1;9
"mudança";9;147
"ex_presidentes";4;19
"fronteira";14;28
"século";8;32
"juro";1;24
"indagar";0;14
"localizar";5;35
"aprovação";4;69
"finança";1;11
"santo";10;106
"fake";3;8
"positivo";2;52
"saneamento";0;15
"funcionamento";1;20
"angra";1;10
"israel";2;20
"taxação";0;10
"herança";0;10
"só";68;380
"impasse";0;13
"vigilância";3;13
"lacerda";1;9
"tirar";18;78
"conviver";2;11
"cautelar";3;15
"trazer";5;88
"apostar";1;13
"bastante";1;40
"colocar";36;196
"aproveitar";1;28
"determinação";4;25
"fábio";0;34
"justiça";68;502
"padrão";0;26
"data";10;53
"natural";2;29
"controlar";10;52
"sr";23;67
"sp";21;59
"acionar";1;22
"si";6;46
"cármen";13;71
"se";476;2544
"engenharia";0;12
"falado";4;13
"crítica";12;69
"museu";0;11
"acontecimento";2;15
"satisfação";3;7
"instabilidade";1;10
"recorde";0;12
"crédito";4;62
"cidadania";2;15
"subsidiário";2;12
"projetar";5;8
"sérgio_moro";113;372
"bovino";5;12
"japonês";9;42
"26";3;60
"emergência";4;12
"organizar";5;35
"dilma_michel_temer";0;14
"envolvido";9;53
"sorteio";0;11
"internet";7;37
"convocar";9;44
"20";21;121
"porcento";44;344
"limitar";0;22
"minimizar";1;13
"brasil";128;692
"incentivar";2;17
"unidade";7;103
"instaurar";1;10
"indonésio";5;10
"comigo";2;25
"ong";0;14
"voto";13;231
"bbc";1;77
"carregar";6;17
"onu";8;92
"2";38;309
"renovar";0;11
"doação";13;90
"rival";0;12
"tradução";0;11
"futuro";15;91
"reclamar";2;22
"acercar";0;13
"forçar";3;17
"sérgio";9;54
"valorizar";0;22
"jefferson";0;18
"massa";5;18
"ex_executivos";2;30
"sucessor";3;21
"sala";4;18
"auxílio";1;13
"realidade";1;37
"cobra";3;18
"olho";4;19
"descobrir";3;37
"perrella";6;40
"centro_direita";0;16
"madrugada";10;22
"bittar";1;10
"dramático";0;11
"carolina";0;25
"federação";4;18
"sinal";8;26
"bomba";26;42
"descer";1;13
"primo";6;27
"região";8;188
"prêmio";1;13
"época";32;157
"inspeção";1;12
"empregar";2;10
"pequim";3;28
"deferir";1;10
"sites";6;6
"corrupção";61;413
"vender";16;72
"machado";5;26
"grampear";3;7
"recusar";4;28
"indiciar";0;14
"êxito";2;10
"escalão";6;18
"celebrar";0;14
"estabilidade";4;20
"s";8;36
"gente";18;238
"alcançar";1;40
"droga";5;44
"inaudível";5;18
"entregar";27;128
"conservação";0;14
"título";5;24
"orientação";3;27
"uol";4;11
"ouvido";1;43
"sigla";3;37
"putin";15;43
"prejudicado";2;10
"devolver";5;21
"oportunidade";4;44
"sudeste";3;9
"aniversário";5;8
"costa";24;62
"novela";1;9
"episódio";3;42
"bancada";9;64
"pessoalmente";5;24
"ocupação";1;26
"rousseff";26;124
"aborto";0;35
"categoria";0;20
"solução";5;82
"cujo";0;27
"aspecto";1;15
"líder";29;226
"interino";1;14
"fortalecimento";1;16
"empresarial";3;23
"30";13;105
"definir";1;77
"hoje";90;308
"florianópolis";1;14
"acm";0;16
"aí";30;151
"diretor";11;131
"rossi";2;21
"triunfo";0;13
"coalizão";0;12
"firmar";3;32
"dormir";2;12
"cunha";59;233
"colher";2;8
"completo";6;42
"continente";4;9
"vantagem";7;58
"rússia";49;145
"emissor";9;8
"rogério";0;18
"esforço";1;37
"polêmico";2;26
"ex_primeira_dama";0;18
"ah";1;9
"reeleição";2;32
"al";2;13
"mundo";68;250
"parcial";0;10
"ponderar";0;13
"aparentemente";3;8
"2006";2;41
"angola";0;22
"pedir";90;546
"pesquisa";11;76
"terra";9;36
"inventar";4;19
"infra-estrutura";2;30
"página";4;37
"básico";1;23
"ferreira";2;15
"andrea";9;29
"adiantar";3;18
"te";6;25
"barroso";5;37
"coração";5;11
"ferir";4;9
"gesto";3;17
"essencial";4;21
"reconhecer";1;82
"organizador";0;17
"parceiro";4;23
"militância";1;11
"largo";3;8
"empreendimento";2;41
"provar";9;32
"protestar";6;27
"franco";1;46
"tô";1;20
"bastidor";2;18
"tratamento";3;27
"recebimento";4;30
"transportar";6;18
"simão";0;13
"compliance";0;20
"social";44;223
"racionamento";0;13
"vir";41;296
"diariamente";1;13
"ampliação";0;10
"reunião";15;190
"corte";12;136
"silva";12;126
"enfatizar";0;26
"obrigar";3;40
"objetivo";4;24
"hidrogênio";0;10
"diferente";8;99
"visão";4;41
"nobre";8;34
"recolher";3;15
"bancar";2;15
"procurador";23;189
"mala";17;34
"rodrigues";4;30
"ponta";2;11
"ponte";0;24
"ponto";8;169
"metalúrgico";0;11
"impacto";5;47
"pôr";2;35
"facção";0;23
"separação";2;8
"urgência";1;24
"mendes";42;82
"ferramenta";1;9
"não";680;4383
"plano";18;103
"fundamental";6;50
"centrão";0;25
"francês";2;13
"mendonça";0;10
"papel";10;62
"pronto";19;46
"buscar";2;90
"bilhão";42;140
"parceria";3;18
"subir";4;38
"sobretaxa";0;13
"ilícito";16;81
"cometido";2;23
"interpretar";0;14
"fossar";17;102
"piada";0;11
"expansão";0;12
"gilberto";5;10
"fotógrafo";13;2
"trf";3;49
"nosso";34;164
"armamento";6;17
"fab";2;21
"deslocar";6;8
"encaminhar";5;43
"bandeira";2;15
"entender";23;140
"aprovar";14;200
"divulgar";49;193
"w";0;13
"viana";4;15
"major";0;10
"dório";19;1
"guam";1;20
"disposição";5;41
"avenida";0;17
"nome";43;279
"aqui";37;210
"istoé";7;7
"ásia";0;18
"contra";100;683
"talvez";6;58
"parlamentar";48;193
"finalmente";0;16
"obama";0;56
"canção";0;10
"afirmação";0;39
"revogar";0;22
"sequência";0;23
"configurar";1;13
"revelar";29;96
"instituir";1;10
"bastar";13;28
"organizado";4;31
"tentar";55;217
"moção";0;40
"sentar";3;16
"paulsen";1;23
"furna";3;8
"favela";0;17
"apurado";0;14
"turismo";2;10
"defender";35;278
"collor";2;14
"recuperação";0;24
"corrida";2;14
"assumir";9;129
"donald";37;109
"fachin";39;182
"receita";3;40
"ocde";0;19
"ivanka";7;4
"suíço";7;39
"âmbito";9;44
"sem";36;481
"reputação";1;9
"verba";1;21
"merecer";8;16
"esclarecer";4;62
"colaborar";2;42
"pagar";45;281
"europa";7;49
"complementar";0;18
"f";7;83
"agente";12;74
"belo";4;25
"interessante";5;7
"imaginar";8;30
"dizer";433;2338
"recomendar";2;30
"anexo";1;14
"conjunto";13;79
"investigador";5;61
"imediato";3;28
"aquisição";2;26
"guardar";9;20
"judicial";5;59
"impedir";8;88
"prerrogativa";4;46
"32";4;17
"voo";9;43
"voz";3;28
"campanha";24;288
"próprio";36;255
"contestar";2;29
"doar";6;29
"alerj";0;14
"clima";3;23
"vargas";1;14
"euro";0;27
"conversar";8;88
"concreto";4;32
"convicção";1;13
"combinar";5;27
"passageiro";2;16
"mandar";32;125
"reverter";4;20
"assinatura";4;22
"ajudar";18;119
"tomar";36;207
"formar";5;46
"desfazer";2;10
"demanda";0;28
"formal";0;21
"impunidade";0;35
"alexandre";9;24
"molina";3;13
"dama";3;7
"aquele";32;137
"aquela";9;75
"aparato";1;11
"exigência";2;20
"fundador";4;10
"comparar";5;35
"preservar";2;27
"bi";3;7
"idade";10;32
"br";0;42
"jornal";37;103
"grito";4;6
"pereira";0;12
"trilhão";3;7
"gebran";2;30
"anpr";0;11
"jeito";3;29
"anterior";0;67
"clinton";0;13
"integrar";1;40
"terrorista";6;25
"hospedar";0;10
"estabelecer";3;66
"escolher";10;59
"exercer";5;53
"votar";19;168
"ator";7;20
"responsável";17;175
"produto";20;80
"cio";0;19
"um";785;3898
"indicar";14;113
"ue";0;10
"paciente";0;12
"salário";21;44
"diverso";37;107
"óbvio";8;8
"imprensa";29;113
"endividamento";0;14
"antecessor";1;20
"pagamento";17;261
"elemento";1;43
"dirceu";12;63
"ataque";96;248
"extremamente";4;31
"armamentista";0;15
"legal";9;65
"nordeste";0;21
"atento";0;10
"paquistão";1;12
"filósofo";5;11
"executivo";21;213
"roubar";13;11
"proceder";2;8
"constituição";12;128
"noticiar";1;11
"victor";2;13
"firme";3;17
"difícil";7;82
"procedimento";2;44
"pmdb";43;213
"lei";30;389
"leo";0;10
"ler";33;138
"atrair";4;9
"oficial";40;108
"primeiro_ministro";6;17
"profundo";0;27
"agência";18;104
"causar";12;45
"londres";5;9
"explicação";1;17
"menino";2;10
"estatística";1;10
"toffoli";2;35
"relatoria";1;15
"planejar";11;30
"zona";10;61
"sra";0;11
"central";8;96
"provocação";9;27
"corretor";2;8
"período";8;117
"cliente";3;36
"opor";1;16
"monica";2;29
"alegação";4;41
"responsabilizar";1;15
"quilômetro";1;25
"rodovia";0;17
"afetado";0;16
"estudar";9;28
"associação";9;54
"animal";1;13
"capacidade";20;61
"estratégico";3;48
"pergunta";8;71
"especial";13;85
"hilberto";1;16
"jong_un";30;92
"isso";82;780
"classe";15;52
"contato";7;80
"inconstitucional";0;10
"méxico";5;23
"bordo";2;9
"plataforma";2;9
"interlocutor";1;34
"esclarecido";1;13
"volta";9;87
"2018";10;123
"2017";14;164
"2016";36;169
"2011";3;42
"2010";5;78
"2013";6;77
"2012";4;43
"treinar";2;8
"testar";10;22
"gritar";4;7
"veículo";4;41
"suspeito";4;29
"importante";13;173
"estudo";4;76
"mensalão";0;48
"constitucional";2;48
"meta";0;25
"agricultura";15;81
"corroborar";0;12
"contrário";10;80
"huck";3;12
"caminhão";6;6
"além";40;317
"vinson";27;19
"hídrico";0;15
"apropriado";0;14
"tempo";38;239
"televisão";6;25
"bashar";8;24
"aceito";3;21
"calheiros";11;57
"ladrão";7;4
"cuidado";7;22
"david";0;15
"e_mails";1;10
"jurista";3;12
"potencial";2;21
"aurélio";4;50
"legislativo";9;76
"guerra";67;149
"haver";129;1336
"elite";7;15
"criminoso";36;148
"probatório";0;10
"prova";25;263
"roberto";18;100
"reclusão";2;8
"associar";0;11
"observar";4;52
"falso";13;54
"legislação";2;41
"quebrar";6;30
"ministério";54;545
"exército";30;83
"latino";1;23
"costamarques";0;33
"fidel";4;32
"00";15;9
"serviço";12;164
"trás";4;27
"sorte";1;11
"último";82;302
"principal";24;174
"rodoviário";0;11
"terminar";4;50
"aval";2;23
"aviação";0;10
"tudo";68;203
"familiar";4;41
"impeachment";20;142
"autor";5;37
"extremista";0;19
"h";2;16
"perdido";3;12
"identificar";8;39
"nuclear";138;314
"parque";1;11
"posse";8;44
"destino";4;19
"confirmar";39;155
"araújo";4;6
"cristiane";0;17
"ambiental";0;23
"vídeo";68;106
"barrar";1;19
"ramo";6;17
"acerto";2;11
"fechamento";1;19
"econômico";18;256
"equipa";14;68
"decidido";0;21
"proibição";1;17
"moreira";3;43
"relevante";1;19
"2015";11;119
"2014";14;194
"ocidental";4;27
"procuradoria";6;64
"barbosa";2;23
"cá";1;16
"site";22;36
"serra";14;28
"paralisação";1;12
"referente";1;28
"paulo";36;419
"nada";47;165
"bala";4;12
"amazônia";0;11
"setembro";10;92
"frustração";0;10
"governar";4;32
"complicado";0;10
"generalizado";2;11
"eldorado";1;37
"nacional";33;309
"conservador";1;29
"cruz";3;9
"usuário";2;22
"crise";34;247
"muro";0;10
"pernambuco";3;8
"espontaneamente";1;9
"edição";4;25
"prudente";2;9
"henrique";17;86
"mero";5;15
"tarefa";4;26
"banco";22;146
"obter";5;89
"dezembro";6;67
"lidar";5;23
"decreto";1;44
"abastecimento";1;11
"alegar";43;63
"vice_presidente";5;56
"davos";0;11
"estreito";3;7
"lavagem";12;130
"pacote";4;25
"colega";10;45
"tão";9;97
"ontem";24;69
"ina";0;18
"coisa";49;233
"pecuarista";0;11
"sexual";0;13
"seul";13;43
"paralisar";2;11
"representação";0;25
"francisco";10;28
"chance";6;36
"quarto";0;86
"prometer";29;44
"lá";27;129
"aeroporto";8;66
"ciar";4;23
"pedro";5;53
"pedra";6;19
"retirar";6;91
"através";42;38
"regalia";0;12
"afirmar";65;1108
"ptb";0;46
"exibir";6;13
"fogo";19;38
"hora";46;151
"presidir";3;29
"castro";2;38
"motivação";1;12
"loucura";1;9
"risco";13;114
"analisado";0;12
"entanto";1;114
"posicionamento";0;20
"sócio";1;23
"indústria";7;43
"interno";6;67
"notório";0;17
"servir";20;58
"empréstimo";9;24
"anular";2;16
"aplaudir";2;15
"cláudio";12;16
"frase";8;26
"convidado";3;10
"brf";6;54
"total";9;110
"leniência";4;26
"substância";2;10
"negativo";7;39
"indício";1;52
"coligação";0;12
"continuar";50;225
"substituição";1;9
"tarifa";0;18
"1990";0;19
"tolerar";1;12
"mpf";35;176
"novis";0;11
"míssil";110;310
"tríplex";2;18
"objeto";2;35
"químico";25;91
"expressar";5;30
"significar";15;56
"podre";5;6
"indivíduo";0;17
"locação";0;14
"bolsonaro";22;73
"pinguela";1;9
"delator";27;190
"passado";12;248
"ceará";1;15
"neto";10;80
"tranquilidade";0;13
"teatro";1;15
"proteção";6;26
"pensão";2;17
"receio";2;10
"ilegal";10;71
"valor";32;270
"injúria";2;8
"bank";1;10
"perguntar";9;73
"promover";5;52
"moçambique";0;34
"procurar";10;111
"logo";2;54
"jucá";2;23
"maduro";4;13
"redigir";2;8
"forte";11;93
"daniel";9;28
"retórica";0;10
"generoso";0;10
"obrigatório";0;14
"regimento";0;14
"próximo";50;171
"realizar";34;221
"kim";107;163
"render";2;9
"evidentemente";1;13
"equivalente";2;12
"coordenar";1;15
"órgão";9;94
