"";"banalfreq";"X.gr_01";"X.gr_02"
"prazo";14;-0,6523;0,6523
"estrangeiro";30;-0,7546;0,7546
"atingir";24;1,0454;-1,0454
"judicial";23;-0,5147;0,5147
"nascer";28;-0,3494;0,3494
"explorar";11;0,5087;-0,5087
"peça";16;-0,7455;0,7455
"criança";92;0,6507;-0,6507
"custar";11;1,0303;-1,0303
"comemorar";11;-0,5125;0,5125
"evidência";10;-0,4659;0,4659
"destruir";11;1,0303;-1,0303
"adquirir";11;-0,1611;0,1611
"seleção";23;-1,0717;1,0717
"crítica";11;-0,5125;0,5125
"milhar";13;1,4426;-1,4426
"sede";14;0,7844;-0,7844
"preferir";16;-0,2964;0,2964
"sentir";37;1,1167;-1,1167
"realidade";12;-0,5591;0,5591
"vara";11;-0,1611;0,1611
"surgir";14;1,332;-1,332
"necessário";30;-0,1971;0,1971
"brasileiro";95;0,9983;-0,9983
"abordar";13;-0,2126;0,2126
"até";192;-0,6213;0,6213
"urbano";13;-0,6057;0,6057
"reginaldo";11;-0,1611;0,1611
"beleza";11;-0,5125;0,5125
"bater";28;0,2575;-0,2575
"ato";16;-0,2964;0,2964
"deixar";101;-1,7106;1,7106
"adotar";14;-0,6523;0,6523
"interpretar";11;1,7069;-1,7069
"compromisso";21;-0,9785;0,9785
"início";34;-0,5033;0,5033
"este";51;-1,0122;1,0122
"esta";22;-0,482;0,482
"reportagem";26;-0,3022;0,3022
"longo";71;-1,6967;1,6967
"receber";103;0,7926;-0,7926
"agressivo";13;0,4122;-0,4122
"conceder";11;-0,1611;0,1611
"cabeçalho";10;-0,4659;0,4659
"aceitar";16;0,3057;-0,3057
"equipamento";27;-1,2581;1,2581
"professor";30;-0,1971;0,1971
"rico";11;0,5087;-0,5087
"repórter";16;0,3057;-0,3057
"ótimo";11;-0,1611;0,1611
"policial";79;-1,9872;1,9872
"diferença";13;-0,2126;0,2126
"novembro";24;0,3496;-0,3496
"preço";13;-0,2126;0,2126
"mandar";22;0,7459;-0,7459
"doméstico";10;-0,4659;0,4659
"tarefa";14;0,7844;-0,7844
"medida";38;-1,046;1,046
"risco";38;1,9101;-1,9101
"linguagem";11;-0,5125;0,5125
"adolescente";21;0,4414;-0,4414
"formar";12;0,9382;-0,9382
"discurso";21;-0,9785;0,9785
"cobrir";16;0,3057;-0,3057
"resto";10;-0,4659;0,4659
"roteiro";13;-0,6057;0,6057
"homenagem";10;1,1356;-1,1356
"algum";141;0,7285;-0,7285
"deputado";10;-0,4659;0,4659
"destacar";22;1,1807;-1,1807
"municipal";20;-0,9319;0,9319
"esconder";14;1,332;-1,332
"complexo";14;0,7844;-0,7844
"maneira";54;-1,6641;1,6641
"muita";106;-1,4524;1,4524
"conhecido";37;1,1167;-1,1167
"o";4611;0,3673;-0,3673
"sob";35;-0,2863;0,2863
"som";10;-0,137;0,137
"novo";189;-0,9032;0,9032
"tela";13;-0,6057;0,6057
"altitude";14;0,3724;-0,3724
"vontade";13;-0,2126;0,2126
"seguir";66;-0,7308;0,7308
"peso";10;0,5677;-0,5677
"cumprir";11;0,5087;-0,5087
"150";12;0,4573;-0,4573
"série";37;-0,3256;0,3256
"condenar";26;0,2999;-0,2999
"moderno";15;-0,6989;0,6989
"modelo";11;-0,5125;0,5125
"intervenção";11;-0,5125;0,5125
"time";48;-1,428;1,428
"inteiro";16;0,6613;-0,6613
"entrevista";37;-0,5862;0,5862
"skate";36;-0,9718;0,9718
"corpo";52;0,3592;-0,3592
"ver";197;-0,6894;0,6894
"vez";161;-0,3742;0,3742
"comum";17;0,2775;-0,2775
"minuto";25;0,6091;-0,6091
"irmão";26;-0,3022;0,3022
"querer";147;-0,5883;0,5883
"mudança";39;-1,0835;1,0835
"recentemente";13;0,4122;-0,4122
"militar";29;-0,7193;0,7193
"cabelo";15;0,7196;-0,7196
"emocional";11;1,0303;-1,0303
"positivo";11;-0,1611;0,1611
"saneamento";12;-0,5591;0,5591
"filme";55;-1,7039;1,7039
"visual";13;-0,6057;0,6057
"só";126;-0,3202;0,3202
"tirar";42;0,5988;-0,5988
"trazer";38;-1,7707;1,7707
"bastante";16;-0,2964;0,2964
"colocar";45;0,7732;-0,7732
"litro";16;-0,7455;0,7455
"aproveitar";11;-0,5125;0,5125
"justiça";60;-0,377;0,377
"padrão";20;-0,418;0,418
"natural";21;0,4414;-0,4414
"controlar";12;1,5667;-1,5667
"área";73;-0,6289;0,6289
"acionar";11;1,0303;-1,0303
"si";24;-0,2574;0,2574
"se";801;1,2802;-1,2802
"museu";14;-0,2397;0,2397
"entrada";14;-0,6523;0,6523
"crédito";12;-0,5591;0,5591
"determinar";14;0,3724;-0,3724
"organizar";28;-0,6844;0,6844
"trauma";20;-0,9319;0,9319
"internet";37;1,5228;-1,5228
"porcento";86;-1,2626;1,2626
"brasil";224;0,2895;-0,2895
