"";"X.gr_01";"X.gr_02"
"prazo";0;0,15
"estrangeiro";0,1;0,32
"atingir";0,48;0,21
"judicial";0,1;0,24
"nascer";0,19;0,28
"explorar";0,19;0,1
"peça";0;0,17
"criança";1,16;0,87
"custar";0,29;0,09
"comemorar";0;0,12
"evidência";0;0,11
"destruir";0,29;0,09
"adquirir";0,1;0,11
"seleção";0;0,25
"crítica";0;0,12
"milhar";0,39;0,1
"sede";0,29;0,12
"preferir";0,1;0,16
"sentir";0,68;0,33
"realidade";0;0,13
"vara";0,1;0,11
"surgir";0,39;0,11
"necessário";0,29;0,3
"brasileiro";1,35;0,89
"abordar";0,1;0,13
"até";1,54;1,92
"urbano";0;0,14
"reginaldo";0,1;0,11
"beleza";0;0,12
"bater";0,29;0,27
"ato";0,1;0,16
"deixar";0,39;1,06
"adotar";0;0,15
"interpretar";0,39;0,08
"compromisso";0;0,23
"início";0,19;0,35
"investigação";0;0,52
"este";0,19;0,54
"esta";0,1;0,23
"reportagem";0,19;0,26
"longo";0,19;0,75
"receber";1,35;0,97
"agressivo";0,19;0,12
"conceder";0,1;0,11
"cabeçalho";0;0,11
"aceitar";0,19;0,15
"equipamento";0;0,3
"professor";0,29;0,3
"rico";0,19;0,1
"repórter";0,19;0,15
"ótimo";0,1;0,11
"policial";0,19;0,84
"diferença";0,1;0,13
"novembro";0,29;0,23
"preço";0,1;0,13
"mandar";0,39;0,2
"doméstico";0;0,11
"tarefa";0,29;0,12
"medida";0,1;0,4
"risco";0,87;0,32
"linguagem";0;0,12
"adolescente";0,29;0,2
"formar";0,29;0,1
"discurso";0;0,23
"cobrir";0,19;0,15
"resto";0;0,11
"roteiro";0;0,14
"homenagem";0,29;0,08
"algum";1,74;1,34
"deputado";0;0,11
"destacar";0,48;0,19
"municipal";0;0,22
"esconder";0,39;0,11
"complexo";0,29;0,12
"maneira";0,1;0,58
"uma";15,15;11,91
"muita";0,48;1,1
"conhecido";0,68;0,33
"o";45,64;45,22
"sob";0,29;0,35
"som";0,1;0,1
"novo";1,35;1,91
"tela";0;0,14
"altitude";0,19;0,13
"vontade";0,1;0,13
"seguir";0,39;0,68
"peso";0,19;0,09
"cumprir";0,19;0,1
"150";0,19;0,11
"série";0,29;0,37
"condenar";0,29;0,25
"moderno";0;0,16
"modelo";0;0,12
"intervenção";0;0,12
"time";0,1;0,51
"inteiro";0,29;0,14
"entrevista";0,19;0,38
"skate";0,1;0,38
"corpo";0,58;0,5
"ver";1,54;1,98
"vez";1,45;1,6
"comum";0,19;0,16
"minuto";0,39;0,23
"irmão";0,19;0,26
"querer";1,16;1,48
"mudança";0,1;0,42
"recentemente";0,19;0,12
"militar";0,1;0,31
"cabelo";0,29;0,13
"emocional";0,29;0,09
"positivo";0,1;0,11
"saneamento";0;0,13
"filme";0,1;0,59
"visual";0;0,14
