"";"*gr_01";"*gr_02"
"prazo";0;14
"estrangeiro";1;29
"atingir";5;19
"judicial";1;22
"nascer";2;26
"explorar";2;9
"peça";0;16
"criança";12;80
"custar";3;8
"comemorar";0;11
"evidência";0;10
"destruir";3;8
"adquirir";1;10
"seleção";0;23
"crítica";0;11
"milhar";4;9
"sede";3;11
"preferir";1;15
"sentir";7;30
"realidade";0;12
"vara";1;10
"surgir";4;10
"necessário";3;27
"brasileiro";14;81
"abordar";1;12
"até";16;176
"urbano";0;13
"reginaldo";1;10
"beleza";0;11
"bater";3;25
"ato";1;15
"deixar";4;97
"adotar";0;14
"interpretar";4;7
"compromisso";0;21
"início";2;32
"investigação";0;48
"este";2;49
"esta";1;21
"reportagem";2;24
"longo";2;69
"receber";14;89
"agressivo";2;11
"conceder";1;10
"cabeçalho";0;10
"aceitar";2;14
"equipamento";0;27
"professor";3;27
"rico";2;9
"repórter";2;14
"ótimo";1;10
"policial";2;77
"diferença";1;12
"novembro";3;21
"preço";1;12
"mandar";4;18
"doméstico";0;10
"tarefa";3;11
"medida";1;37
"risco";9;29
"linguagem";0;11
"adolescente";3;18
"formar";3;9
"discurso";0;21
"cobrir";2;14
"resto";0;10
"roteiro";0;13
"homenagem";3;7
"algum";18;123
"deputado";0;10
"destacar";5;17
"municipal";0;20
"esconder";4;10
"complexo";3;11
"maneira";1;53
"uma";157;1090
"muita";5;101
"conhecido";7;30
"o";473;4138
"sob";3;32
"som";1;9
"novo";14;175
"tela";0;13
"altitude";2;12
"vontade";1;12
"seguir";4;62
"peso";2;8
"cumprir";2;9
"150";2;10
"série";3;34
"condenar";3;23
"moderno";0;15
"modelo";0;11
"intervenção";0;11
"time";1;47
"inteiro";3;13
"entrevista";2;35
"skate";1;35
"corpo";6;46
"ver";16;181
"vez";15;146
"comum";2;15
"minuto";4;21
"irmão";2;24
"querer";12;135
"mudança";1;38
"recentemente";2;11
"militar";1;28
"cabelo";3;12
"emocional";3;8
"positivo";1;10
"saneamento";0;12
"filme";1;54
"visual";0;13
"só";12;114
"tirar";6;36
"trazer";0;38
"bastante";1;15
"colocar";7;38
"litro";0;16
"aproveitar";0;11
"justiça";5;55
"padrão";1;19
"natural";3;18
"controlar";4;8
"área";5;68
"acionar";3;8
"si";2;22
"se";96;705
"museu";1;13
"entrada";0;14
"crédito";0;12
"determinar";2;12
"organizar";1;27
"trauma";0;20
"internet";8;29
"porcento";4;82
"brasil";23;201
"ong";0;12
"preparação";2;9
"doação";1;10
"nota";5;23
"29";2;10
"sala";4;18
"olho";1;17
"estação";0;22
"3";11;48
"disputa";0;16
"descer";0;10
"constelação";0;16
"época";3;36
"vender";4;27
"s";3;14
"como";37;547
"alcançar";1;9
"droga";3;28
"entregar";1;15
"isabella";6;22
"título";1;10
"orientação";2;10
"fim";2;45
"fama";0;10
"ouvido";2;11
"otto";7;12
"putin";1;10
"oportunidade";2;15
"costa";2;18
"processamento";0;11
"comer";12;17
"processo";6;53
"ocupação";0;22
"categoria";0;12
"postar";7;3
"solução";0;21
"cujo";1;10
"líder";0;11
"definir";0;15
"hoje";9;95
"ouro";0;12
"mensal";0;11
"aí";0;51
"diretor";3;40
"dormir";1;9
"completo";3;12
"rússia";4;19
"emissor";7;9
"esforço";1;10
"estúdio";1;15
"mundo";16;100
"ar";5;9
"getúlio";3;23
"relação";2;62
"pedir";15;34
"pesquisa";3;23
"apartamento";8;10
"oito";1;22
"original";1;10
"rapaz";4;6
"tv";7;28
"aplicar";4;12
"jatobá";2;9
"coração";2;11
"reconhecer";0;13
"hash";0;10
"agressividade";1;11
"social";23;76
"via";1;16
"vir";8;85
"horário";2;12
"reunião";1;10
"silva";1;24
"obrigar";1;15
"diferente";3;67
"6";1;19
"visão";0;10
"ponte";2;11
"ponto";0;67
"impacto";0;17
"facção";0;10
"não";122;1035
"plano";1;25
"fundamental";1;24
"francês";0;26
"papel";3;23
"passagem";0;12
"buscar";0;18
"parceria";0;18
"subir";1;13
"fossar";1;28
"nossa";1;44
"nosso";11;58
"armamento";0;11
"influenciar";2;12
"aprovar";0;14
"divulgar";8;21
"avenida";0;31
"nome";1;39
"contra";15;69
"talvez";1;26
"indústria";2;8
"birri";0;25
"revelar";7;22
"tentar";12;73
"sentar";1;19
"defender";2;24
"autista";0;16
"assumir";1;13
"córrego";0;24
"seu";40;267
"ser";264;2462
"supermercado";1;13
"sem";12;121
"ninguém";5;24
"pagar";1;36
"europa";3;7
"agente";2;26
"belo";0;23
"interessante";0;11
"imaginar";0;17
"dizer";68;353
"conjunto";0;13
"guardar";1;9
