"";"X.gr_01";"X.gr_02"
"prazo";-0,6523;0,6523
"estrangeiro";-0,7546;0,7546
"atingir";1,0454;-1,0454
"judicial";-0,5147;0,5147
"nascer";-0,3494;0,3494
"explorar";0,5087;-0,5087
"peça";-0,7455;0,7455
"criança";0,6507;-0,6507
"custar";1,0303;-1,0303
"comemorar";-0,5125;0,5125
"evidência";-0,4659;0,4659
"destruir";1,0303;-1,0303
"adquirir";-0,1611;0,1611
"seleção";-1,0717;1,0717
"crítica";-0,5125;0,5125
"milhar";1,4426;-1,4426
"sede";0,7844;-0,7844
"preferir";-0,2964;0,2964
"sentir";1,1167;-1,1167
"realidade";-0,5591;0,5591
"vara";-0,1611;0,1611
"surgir";1,332;-1,332
"necessário";-0,1971;0,1971
"brasileiro";0,9983;-0,9983
"abordar";-0,2126;0,2126
"até";-0,6213;0,6213
"urbano";-0,6057;0,6057
"reginaldo";-0,1611;0,1611
"beleza";-0,5125;0,5125
"bater";0,2575;-0,2575
"ato";-0,2964;0,2964
"deixar";-1,7106;1,7106
"adotar";-0,6523;0,6523
"interpretar";1,7069;-1,7069
"compromisso";-0,9785;0,9785
"início";-0,5033;0,5033
"investigação";-2,2368;2,2368
"este";-1,0122;1,0122
"esta";-0,482;0,482
"reportagem";-0,3022;0,3022
"longo";-1,6967;1,6967
"receber";0,7926;-0,7926
"agressivo";0,4122;-0,4122
"conceder";-0,1611;0,1611
"cabeçalho";-0,4659;0,4659
"aceitar";0,3057;-0,3057
"equipamento";-1,2581;1,2581
"professor";-0,1971;0,1971
"rico";0,5087;-0,5087
"repórter";0,3057;-0,3057
"ótimo";-0,1611;0,1611
"policial";-1,9872;1,9872
"diferença";-0,2126;0,2126
"novembro";0,3496;-0,3496
"preço";-0,2126;0,2126
"mandar";0,7459;-0,7459
"doméstico";-0,4659;0,4659
"tarefa";0,7844;-0,7844
"medida";-1,046;1,046
"risco";1,9101;-1,9101
"linguagem";-0,5125;0,5125
"adolescente";0,4414;-0,4414
"formar";0,9382;-0,9382
"discurso";-0,9785;0,9785
"cobrir";0,3057;-0,3057
