"";"X.gr_01";"X.gr_02"
"pre";-2,3587;2,3587
"ver_sup";-1,2594;1,2594
"ono";-0,3975;0,3975
"pro_per";0,6444;-0,6444
"num";0,7565;-0,7565
"conj";-3,1846;3,1846
"adv";-0,8256;0,8256
"ver";13,0793;-13,0793
"pro_int";-0,6854;0,6854
"nr";-2,7204;2,7204
"pro_ind";-1,3969;1,3969
"adj";0,9389;-0,9389
"pro_dem";-3,5621;3,5621
"nom";0,8679;-0,8679
"adj ";0,9567;-0,9567
"pro_pos";0,8133;-0,8133
"nom_sup";0,4081;-0,4081
"adv_sup";1,4779;-1,4779
"adj_sup";-0,0967;0,0967
"art_def";-0,5301;0,5301
"sw";-0,0484;0,0484
"adj_num";-5,752;5,752
"pro_rel";-0,4112;0,4112
