"";"";"";"";"jong_un";""
"1";"jong_un";"2.19537880960015";"-0.424541614307505";"1.33593731553906";"36"
"2";"lançamento";"2.19537880960015";"-0.424541614307504";"1.2452705244113";"46"
"3";"porta_aviões";"2.19537880960015";"-0.424541614307505";"1.15513525534199";"58"
"4";"russo";"2.19537880960015";"-0.424541614307505";"1.13717222577607";"63"
"5";"navio";"2.03157571995037";"-0.508979507550188";"1.10898343660858";"70"
"6";"kcna";"2.19537880960015";"-0.424541614307504";"1.08340393754616";"77"
"7";"informação";"-0.812011493684558";"-1.01108663587979";"1.0312724956553";"98"
"8";"jinping";"2.19537880960015";"-0.424541614307505";"1.02981685001798";"100"
"9";"distância";"2.19537880960015";"-0.424541614307505";"1.02981685001798";"101"
"10";"mar";"1.96467782522448";"-0.507116242284607";"1.00234682363406";"122"
"11";"bombardear";"2.19537880960015";"-0.424541614307505";"0.994198832079113";"124"
"12";"tensão";"2.19537880960015";"-0.424541614307505";"0.994198832079113";"125"
"13";"soldado";"2.19537880960015";"-0.424541614307505";"0.994198832079113";"126"
"14";"pacífico";"2.19537880960015";"-0.424541614307505";"0.994198832079113";"127"
"15";"washington";"2.19537880960015";"-0.424541614307505";"0.97641700321494";"148"
"16";"inimigo";"2.19537880960015";"-0.424541614307505";"0.97641700321494";"149"
"17";"fronteira";"1.96239990507913";"-0.175567837982788";"0.967121407215632";"156"
"18";"matar";"1.92237366018385";"-0.565271436378643";"0.967121407215632";"157"
"19";"beneficiário";"-1.0344349716592";"-1.58058640598695";"0.965611401367791";"161"
"20";"thaad";"2.19537880960015";"-0.424541614307505";"0.958659334444332";"168"
"21";"tomahawk";"2.19537880960015";"-0.424541614307505";"0.958659334444332";"169"
"22";"japonês";"2.19537880960015";"-0.424541614307505";"0.958659334444332";"170"
"23";"sentença";"-0.960604248709641";"-0.944188683973601";"0.955083640596645";"180"
"24";"vaccari";"-1.02064361605257";"-1.52874408156739";"0.953772955520719";"183"
"25";"prova";"-1.02230271250273";"-1.51866866671935";"0.947726892105964";"195"
"26";"envolvido";"-1.0344349716592";"-1.58058640598695";"0.941837869299385";"200"
"27";"repasse";"-1.0344349716592";"-1.58058640598695";"0.941837869299385";"202"
"28";"federal";"-0.946775191493016";"-0.777841154572118";"0.937966214305521";"205"
"29";"ex_deputado";"-1.02918112190429";"-1.56083694906521";"0.936196487451851";"207"
"30";"empréstimo";"-0.980176605783308";"-1.06262014253994";"0.934535481019227";"209"
"31";"negar";"-0.966238328385353";"-0.985304371243183";"0.932844274469645";"220"
"32";"passivo";"-1.02860925955768";"-1.59131135851583";"0.930851066750495";"221"
"33";"ricardo";"-1.01952269960307";"-1.49035291374593";"0.927716294610377";"224"
"34";"magistrado";"-1.07407612457602";"-2.03719761156485";"0.927565294025593";"225"
"35";"marcelo";"-0.965996339552582";"-0.94334810579839";"0.925318405324006";"231"
"36";"pgr";"-0.991090533863596";"-1.21103363728717";"0.921797071686841";"233"
"37";"triplex";"-1.0021562753458";"-1.33108336623094";"0.918964300716292";"238"
"38";"somar";"-1.0344349716592";"-1.58058640598695";"0.918088497324544";"240"
"39";"pago";"-1.0344349716592";"-1.58058640598695";"0.918088497324544";"241"
"40";"machado";"-1.0344349716592";"-1.58058640598695";"0.918088497324544";"242"
"41";"fraco";"-1.0344349716592";"-1.58058640598695";"0.918088497324544";"243"
"42";"estádio";"-1.0344349716592";"-1.58058640598695";"0.918088497324544";"244"
"43";"moral";"-0.992922491648876";"-1.24510677017375";"0.912688716412665";"251"
"44";"estragado";"-0.972425410658181";"-0.988624962047512";"0.911432391547262";"255"
"45";"léo";"-1.06912098046142";"-1.98012121086761";"0.903066959150224";"270"
"46";"recorrer";"-1.00063049360493";"-1.33389228236946";"0.901629433583079";"274"
