"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"dizer";0,157877558756337;0,169217007284286;-0,0342648365380113;0,674827246691655;0,723296255773102;-0,146460621011836;0,610741521096735;0,375860129410394;0,0133983494929661;0,000361584963019841;0,000415391472577229;1,70320485149514e-05;0,0145067309624272;0,146495016683235;0,000311325905509371
"lula";-0,873406664807526;-0,359730100405505;-0,855540651052139;-0,685326381249919;-0,282265453048614;-0,671307653150291;0,650301152674424;0,0590958080836913;0,290603039241848;0,00659073451709842;0,00111803235702701;0,0063238580753299;0,00863974281695801;0,785399123283221;0,00532944076004104
"presidente";0,117705330166303;0,506909908239385;0,189513083434658;0,212529801758958;0,915281085024387;0,342186526270219;0,0823529913069367;0,818220349711093;0,0994266589819558;0,00010578113330987;0,00196190293202892;0,000274216984956929;0,00763512155917219;0,297431946279312;0,000675446851791234
"michel_temer";-0,760773886963461;0,815243150240013;0,30606322483189;-0,657927497945932;0,705033250018388;0,264687596640104;0,591529104732629;0,363882221537578;0,0445886737298031;0,00337241918936695;0,00387261812866879;0,000545824036616514;0,00582680329515773;0,717296498490489;0,00299797342488543
"país";0,333205916105991;0,486104015064493;-0,129981305411994;0,552117790510567;0,805467915732776;-0,215377301791129;0,452283532781165;0,51566230071198;0,0320541665068561;0,000771851700918212;0,00164273259509323;0,000117454658545022;0,00695197910387784;0,35928450554675;0,000897398697013993
"eua";1,89663711071962;-0,347795305900658;0,164499323383862;0,980039566762399;-0,179714484647804;0,0850008916891114;0,978936171272267;0,0176341657021171;0,00342966302561886;0,0219722448914346;0,00073884506210942;0,000165285278836639;0,00610809724733775;1,39007498629788;0,0118027280315339
"ministro";-0,768801439280225;-0,571477579597806;-0,963895022470977;-0,565733365163127;-0,420529824350787;-0,709295725612879;0,493073159194238;0,145949622894692;0,360977217911065;0,00237514829431122;0,00131238345984716;0,00373354878177346;0,00401848503114326;0,793943649211042;0,00253303804750873
"nuclear";2,16753558734792;-0,434507517684051;0,0342484507151135;0,980375907628727;-0,196527662340352;0,0154905673294109;0,978815223012876;0,0210709651499055;0,000113811837221192;0,0219004388427037;0,000880065373485188;5,46766886319972e-06;0,00466144263612618;1,58871886115306;0,0117656099616188
"norte";2,08354893543006;-0,30503420167164;-0,00311081683965284;0,989451505039975;-0,144856952865556;-0,00147728827077579;0,988647487325998;0,0113514862654301;1,02640857362974e-06;0,02180618930245;0,000467379265568892;4,8609510799014e-08;0,00502310628892907;1,51954702273782;0,0115984687277044
"brasil";-0,696265496909851;1,64256359959569;0,146980244785397;-0,388956685770045;0,917589765255847;0,0821079733795857;0,249867155166866;0,744947057678441;0,00518578715470485;0,00208447111569307;0,0116008689621336;9,28889524700728e-05;0,00429977898332329;1,01006997306925;0,00438681231678053
"governo";-0,153579313868246;0,778842353969861;0,476048399565725;-0,165917408523955;0,841412178271843;0,514292679127876;0,0519431291395935;0,715621502299403;0,232435368561013;0,000102365015471571;0,00263260215119268;0,000983531625587361;0,00433996383363472;0,488652180532992;0,00103630070252288
"trump";1,99487338041506;-0,262168074002245;-0,0400870050709633;0,991277823775155;-0,130274633173057;-0,0199197400389092;0,990647902208131;0,00916578906093151;0,00018630873094005;0,0159916407630645;0,000276198911095224;6,45757675531219e-06;0,00401848503114326;1,45340565441603;0,00848859954305195
"coreia";2,19537880960015;-0,424541614307504;0,00655549123274332;0,981806522861723;-0,189861414499701;0,00293171457459885;0,980356572109479;0,0196393567795386;4,07111098551177e-06;0,0197552014466313;0,000738759469256171;1,76146090450577e-07;0,00409885473176612;1,60786139584886;0,0105964341315101
"sérgio_moro";-1,03590029230457;-1,6719100891063;-2,53012525373059;-0,323247153715498;-0,521710614029773;-0,789512072626826;0,193282221245188;0,269713963444203;0,537003815310606;0,00396721825336128;0,0103341799412136;0,0236665103299178;0,0036970062286518;1,70865024839749;0,0107933567114362
"ano";-0,427531200450849;0,118359160071374;-0,122527174880127;-0,928966366164713;0,257178139789245;-0,266234661434741;0,926517585740274;0,0380402519482569;0,0354421623114712;0,000749200666691271;5,74204082308911e-05;6,15357313875321e-05;0,00409885473176612;0,322086226453266;0,000425213293214075
"rcifrão";-0,985430141200763;-1,1188529979561;2,37600808967814;-0,351305429031062;-0,398870621098224;0,847045880196592;0,227367587689192;0,157016223408963;0,615616188901848;0,00292668041949053;0,00377285120866594;0,0170145100729836;0,00301386377335744;1,49862418575082;0,00676875964471766
"míssil";2,16027213806472;-0,43710731856489;0,0414727010148619;0,979963853849977;-0,198284912765952;0,0188132537563072;0,978374230137802;0,0214578314473609;0,000167938414839323;0,0172530988694347;0,00070636039102893;6,35879499743089e-06;0,0036970062286518;1,58375184666214;0,00927308948708575
"dilma";-0,805816630013223;0,584900871748944;0,135602574973647;-0,801882014143678;0,582044936333394;0,134940459023727;0,771947138039913;0,217871911732551;0,0101809502275438;0,0022440537650675;0,00118229361303798;6,35472379825428e-05;0,0034558971267832;0,66507958573609;0,00152864993213616
"kim";2,19537880960015;-0,424541614307505;0,00655549123274326;0,981806522861723;-0,189861414499701;0,00293171457459882;0,980356572109479;0,0196393567795386;4,07111098551169e-06;0,0185931307733001;0,000695303029888162;1,65784555718187e-07;0,00385774562989753;1,60786139584886;0,00997311447671535
"público";-0,71629374407428;0,778757482543646;-0,171831215966076;-0,668218796328358;0,726490203107307;-0,160298549658396;0,602407590757522;0,38144698066464;0,0161454285778471;0,00185561203544286;0,00219335702212556;0,000106784689983292;0,00361663652802893;0,669232637577324;0,00161979140397361
