"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";0;0;0;0;0;0;0;0;1
"2";0;0;0;0;0;0;0;0;1
"3";0;0;0;0;0;0;0;0;1
"4";0;0;0;0;0;0;0;0;0
"5";0;0;0;0;0;0;0;0;1
"6";0;0;0;2;2;2;2;2;2
"7";0;0;0;0;0;0;0;0;0
"8";0;0;0;0;0;0;0;0;0
"9";0;0;0;3;3;3;3;3;3
"10";0;0;0;0;0;0;0;0;1
"11";0;0;0;0;0;0;0;0;1
"12";0;0;0;3;3;3;3;3;3
"13";0;0;0;3;3;3;3;3;3
"14";0;0;0;3;3;3;3;3;3
"15";0;0;0;3;3;3;3;3;3
"16";0;0;0;3;3;3;3;3;3
"17";0;0;0;0;0;0;0;0;1
"18";0;0;0;0;0;0;0;0;0
"19";0;0;0;0;0;0;0;0;0
"20";0;0;0;0;0;0;0;0;0
"21";0;0;0;3;3;3;3;3;3
"22";0;0;0;0;0;0;0;0;0
"23";0;0;0;0;0;0;0;0;0
"24";0;0;0;0;0;0;0;0;0
"25";0;0;0;2;2;2;2;2;2
"26";0;0;0;0;0;0;0;0;1
"27";0;0;0;0;0;0;0;0;1
"28";0;0;0;0;0;0;0;0;1
"29";0;0;0;0;0;0;0;0;1
"30";0;0;0;3;3;3;3;3;3
"31";0;0;0;3;3;3;3;3;3
"32";0;0;0;0;0;0;0;0;1
"33";0;0;0;3;3;3;3;3;3
"34";0;0;0;3;3;3;3;3;3
"35";0;0;0;3;3;3;3;3;3
"36";0;0;0;0;0;0;0;0;1
"37";0;0;0;0;0;0;0;0;0
"38";0;0;0;0;0;0;0;0;1
"39";0;0;0;0;0;0;0;0;0
"40";0;0;0;0;0;0;0;0;1
"41";0;0;0;0;0;0;0;0;1
"42";0;0;0;0;0;0;0;0;1
"43";0;0;0;0;0;0;0;0;1
"44";0;0;0;0;0;0;0;0;1
"45";0;0;0;2;2;2;2;2;2
"46";0;0;0;2;2;2;2;2;2
"47";0;0;0;0;0;0;0;0;1
"48";0;0;0;0;0;0;0;0;1
"49";0;0;0;0;0;0;0;0;1
"50";0;0;0;0;0;0;0;0;1
"51";0;0;0;0;0;0;0;0;1
"52";0;0;0;0;0;0;0;0;1
"53";0;0;0;0;0;0;0;0;1
"54";0;0;0;0;0;0;0;0;1
"55";0;0;0;0;0;0;0;0;1
"56";0;0;0;0;0;0;0;0;0
"57";0;0;0;0;0;0;0;0;1
"58";0;0;0;3;3;3;3;3;3
"59";0;0;0;0;0;0;0;0;1
"60";0;0;0;2;2;2;2;2;2
"61";0;0;0;2;2;2;2;2;2
"62";0;0;0;2;2;2;2;2;2
"63";0;0;0;3;3;3;3;3;3
"64";0;0;0;2;2;2;2;2;2
"65";0;0;0;0;0;0;0;0;0
"66";0;0;0;2;2;2;2;2;2
"67";0;0;0;0;0;0;0;0;0
"68";0;0;0;0;0;0;0;0;1
"69";0;0;0;0;0;0;0;0;1
"70";0;0;0;0;0;0;0;0;1
"71";0;0;0;0;0;0;0;0;1
"72";0;0;0;0;0;0;0;0;1
"73";0;0;0;0;0;0;0;0;1
"74";0;0;0;2;2;2;2;2;2
"75";0;0;0;0;0;0;0;0;1
"76";0;0;0;0;0;0;0;0;1
"77";0;0;0;0;0;0;0;0;1
"78";0;0;0;0;0;0;0;0;1
"79";0;0;0;0;0;0;0;0;1
"80";0;0;0;3;3;3;3;3;3
"81";0;0;0;0;0;0;0;0;0
"82";0;0;0;0;0;0;0;0;1
"83";0;0;0;0;0;0;0;0;1
"84";0;0;0;3;3;3;3;3;3
"85";0;0;0;0;0;0;0;0;1
"86";0;0;0;3;3;3;3;3;3
"87";0;0;0;3;3;3;3;3;3
"88";0;0;0;2;2;2;2;2;2
"89";0;0;0;3;3;3;3;3;3
"90";0;0;0;0;0;0;0;0;1
"91";0;0;0;0;0;0;0;0;1
"92";0;0;0;0;0;0;0;0;1
"93";0;0;0;0;0;0;0;0;1
"94";0;0;0;0;0;0;0;0;1
"95";0;0;0;0;0;0;0;0;1
"96";0;0;0;2;2;2;2;2;2
"97";0;0;0;0;0;0;0;0;0
"98";0;0;0;3;3;3;3;3;3
"99";0;0;0;0;0;0;0;0;1
"100";0;0;0;0;0;0;0;0;1
"101";0;0;0;0;0;0;0;0;1
"102";0;0;0;0;0;0;0;0;1
"103";4;4;4;4;4;4;4;4;4
"104";4;4;4;4;4;4;4;4;4
"105";4;4;4;4;4;4;4;4;4
"106";4;4;4;4;4;4;4;4;4
"107";4;4;4;4;4;4;4;4;4
"108";4;4;4;4;4;4;4;4;4
"109";4;4;4;4;4;4;4;4;4
"110";0;0;0;0;0;0;0;0;1
"111";0;0;0;3;3;3;3;3;3
"112";0;0;0;3;3;3;3;3;3
"113";0;0;0;0;0;0;0;0;1
"114";0;0;0;0;0;0;0;0;1
"115";0;0;0;0;0;0;0;0;1
"116";0;0;0;3;3;3;3;3;3
"117";0;0;0;2;2;2;2;2;2
"118";0;0;0;3;3;3;3;3;3
"119";0;0;0;3;3;3;3;3;3
"120";0;0;0;0;0;0;0;0;1
"121";0;0;0;0;0;0;0;0;1
"122";0;0;0;0;0;0;0;0;1
"123";0;0;0;0;0;0;0;0;1
"124";4;4;4;4;4;4;4;4;4
"125";0;0;0;0;0;0;0;0;1
"126";0;0;0;3;3;3;3;3;3
"127";0;0;0;0;0;0;0;0;0
"128";0;0;0;2;2;2;2;2;2
"129";0;0;0;0;0;0;0;0;1
"130";0;0;0;0;0;0;0;0;1
"131";0;0;0;0;0;0;0;0;1
"132";0;0;0;0;0;0;0;0;1
"133";0;0;0;0;0;0;0;0;1
"134";0;0;0;0;0;0;0;0;1
"135";4;4;4;4;4;4;4;4;4
"136";0;0;0;0;0;0;0;0;1
"137";0;0;0;2;2;2;2;2;2
"138";0;0;0;0;0;0;0;0;1
"139";0;0;0;0;0;0;0;0;1
"140";0;0;0;0;0;0;0;0;1
"141";0;0;0;0;0;0;0;0;1
"142";0;0;0;0;0;0;0;0;1
"143";0;0;0;0;0;0;0;0;1
"144";0;0;0;0;0;0;0;0;1
"145";0;0;0;0;0;0;0;0;1
"146";0;0;0;0;0;0;0;0;1
"147";0;0;0;0;0;0;0;0;1
"148";0;0;0;0;0;0;0;0;1
"149";0;0;0;0;0;0;0;0;1
"150";0;0;0;0;0;0;0;0;1
"151";0;0;0;0;0;0;0;0;1
"152";0;0;0;3;3;3;3;3;3
"153";0;0;0;2;2;2;2;2;2
"154";0;0;0;0;0;0;0;0;1
"155";0;0;0;2;2;2;2;2;2
"156";0;0;0;0;0;0;0;0;1
"157";0;0;0;2;2;2;2;2;2
"158";0;0;0;0;0;0;0;0;1
"159";0;0;0;0;0;0;0;0;1
"160";0;0;0;2;2;2;2;2;2
"161";0;0;0;3;3;3;3;3;3
"162";0;0;0;3;3;3;3;3;3
"163";0;0;0;2;2;2;2;2;2
"164";0;0;0;2;2;2;2;2;2
"165";0;0;0;2;2;2;2;2;2
"166";0;0;0;2;2;2;2;2;2
"167";0;0;0;3;3;3;3;3;3
"168";0;0;0;2;2;2;2;2;2
"169";0;0;0;0;0;0;0;0;1
"170";0;0;0;0;0;0;0;0;1
"171";0;0;0;0;0;0;0;0;1
"172";0;0;0;0;0;0;0;0;1
"173";0;0;0;0;0;0;0;0;0
"174";0;0;0;0;0;0;0;0;1
"175";0;0;0;0;0;0;0;0;1
"176";0;0;0;2;2;2;2;2;2
"177";0;0;0;2;2;2;2;2;2
"178";0;0;0;0;0;0;0;0;1
"179";0;0;0;0;0;0;0;0;1
"180";0;0;0;0;0;0;0;0;1
"181";0;0;0;3;3;3;3;3;3
"182";0;0;0;0;0;0;0;0;0
"183";4;4;4;4;4;4;4;4;4
"184";4;4;4;4;4;4;4;4;4
"185";0;0;0;0;0;0;0;0;1
"186";0;0;0;0;0;0;0;0;0
"187";4;4;4;4;4;4;4;4;4
"188";4;4;4;4;4;4;4;4;4
"189";4;4;4;4;4;4;4;4;4
"190";0;0;0;0;0;0;0;0;1
"191";0;0;0;2;2;2;2;2;2
"192";0;0;0;3;3;3;3;3;3
"193";0;0;0;3;3;3;3;3;3
"194";0;0;0;0;0;0;0;0;1
"195";0;0;0;0;0;0;0;0;0
"196";0;0;0;0;0;0;0;0;1
"197";0;0;0;0;0;0;0;0;1
"198";0;0;0;0;0;0;0;0;0
"199";0;0;0;0;0;0;0;0;0
"200";0;0;0;0;0;0;0;0;0
"201";0;0;0;0;0;0;0;0;1
"202";0;0;0;0;0;0;0;0;1
"203";0;0;0;2;2;2;2;2;2
"204";0;0;0;0;0;0;0;0;1
"205";0;0;0;0;0;0;0;0;1
"206";0;0;0;0;0;0;0;0;0
"207";0;0;0;0;0;0;0;0;1
"208";0;0;0;0;0;0;0;0;1
"209";0;0;0;0;0;0;0;0;0
"210";0;0;0;2;2;2;2;2;2
"211";0;0;0;2;2;2;2;2;2
"212";0;0;0;0;0;0;0;0;1
"213";0;0;0;0;0;0;0;0;1
"214";0;0;0;0;0;0;0;0;1
"215";0;0;0;2;2;2;2;2;2
"216";0;0;0;2;2;2;2;2;2
"217";0;0;0;3;3;3;3;3;3
"218";0;0;0;3;3;3;3;3;3
"219";0;0;0;0;0;0;0;0;1
"220";0;0;0;2;2;2;2;2;2
"221";0;0;0;0;0;0;0;0;1
"222";0;0;0;0;0;0;0;0;0
"223";0;0;0;0;0;0;0;0;1
"224";0;0;0;0;0;0;0;0;1
"225";0;0;0;3;3;3;3;3;3
"226";0;0;0;0;0;0;0;0;1
"227";0;0;0;3;3;3;3;3;3
"228";0;0;0;3;3;3;3;3;3
"229";0;0;0;3;3;3;3;3;3
"230";0;0;0;3;3;3;3;3;3
"231";0;0;0;3;3;3;3;3;3
"232";0;0;0;3;3;3;3;3;3
"233";0;0;0;2;2;2;2;2;2
"234";0;0;0;3;3;3;3;3;3
"235";0;0;0;2;2;2;2;2;2
"236";0;0;0;2;2;2;2;2;2
"237";0;0;0;2;2;2;2;2;2
"238";0;0;0;2;2;2;2;2;2
"239";0;0;0;2;2;2;2;2;2
"240";0;0;0;0;0;0;0;0;1
"241";0;0;0;0;0;0;0;0;1
"242";0;0;0;0;0;0;0;0;1
"243";0;0;0;0;0;0;0;0;1
"244";0;0;0;0;0;0;0;0;1
"245";0;0;0;0;0;0;0;0;1
"246";0;0;0;0;0;0;0;0;1
"247";0;0;0;0;0;0;0;0;0
"248";0;0;0;2;2;2;2;2;2
"249";0;0;0;0;0;0;0;0;1
"250";0;0;0;0;0;0;0;0;1
"251";0;0;0;2;2;2;2;2;2
"252";0;0;0;2;2;2;2;2;2
"253";0;0;0;2;2;2;2;2;2
"254";0;0;0;0;0;0;0;0;1
"255";0;0;0;0;0;0;0;0;1
"256";0;0;0;0;0;0;0;0;1
"257";0;0;0;0;0;0;0;0;1
"258";0;0;0;3;3;3;3;3;3
"259";0;0;0;3;3;3;3;3;3
"260";0;0;0;3;3;3;3;3;3
"261";0;0;0;0;0;0;0;0;0
"262";0;0;0;3;3;3;3;3;3
"263";0;0;0;2;2;2;2;2;2
"264";0;0;0;0;0;0;0;0;1
"265";0;0;0;2;2;2;2;2;2
"266";0;0;0;0;0;0;0;0;1
"267";0;0;0;0;0;0;0;0;1
"268";0;0;0;0;0;0;0;0;1
"269";0;0;0;0;0;0;0;0;1
"270";0;0;0;0;0;0;0;0;0
"271";0;0;0;0;0;0;0;0;1
"272";0;0;0;0;0;0;0;0;1
"273";0;0;0;0;0;0;0;0;1
"274";0;0;0;3;3;3;3;3;3
"275";0;0;0;3;3;3;3;3;3
"276";0;0;0;3;3;3;3;3;3
"277";0;0;0;0;0;0;0;0;0
"278";0;0;0;0;0;0;0;0;1
"279";0;0;0;0;0;0;0;0;1
"280";0;0;0;0;0;0;0;0;1
"281";0;0;0;0;0;0;0;0;1
"282";0;0;0;0;0;0;0;0;0
"283";0;0;0;0;0;0;0;0;0
"284";0;0;0;3;3;3;3;3;3
"285";0;0;0;0;0;0;0;0;1
"286";0;0;0;0;0;0;0;0;1
"287";0;0;0;0;0;0;0;0;1
"288";0;0;0;0;0;0;0;0;1
"289";0;0;0;0;0;0;0;0;1
"290";4;4;4;4;4;4;4;4;4
"291";0;0;0;2;2;2;2;2;2
"292";0;0;0;3;3;3;3;3;3
"293";0;0;0;3;3;3;3;3;3
"294";0;0;0;3;3;3;3;3;3
"295";0;0;0;3;3;3;3;3;3
"296";0;0;0;3;3;3;3;3;3
"297";0;0;0;3;3;3;3;3;3
"298";0;0;0;3;3;3;3;3;3
"299";0;0;0;3;3;3;3;3;3
"300";0;0;0;3;3;3;3;3;3
"301";0;0;0;0;0;0;0;0;1
"302";0;0;0;2;2;2;2;2;2
"303";0;0;0;2;2;2;2;2;2
"304";0;0;0;2;2;2;2;2;2
"305";0;0;0;3;3;3;3;3;3
"306";0;0;0;3;3;3;3;3;3
"307";0;0;0;3;3;3;3;3;3
"308";0;0;0;3;3;3;3;3;3
"309";0;0;0;0;0;0;0;0;1
"310";0;0;0;0;0;0;0;0;1
"311";0;0;0;0;0;0;0;0;1
"312";0;0;0;3;3;3;3;3;3
"313";0;0;0;0;0;0;0;0;1
"314";0;0;0;3;3;3;3;3;3
"315";0;0;0;0;0;0;0;0;1
"316";0;0;0;0;0;0;0;0;1
"317";0;0;0;0;0;0;0;0;1
"318";0;0;0;0;0;0;0;0;1
