"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"622";"1747";"35.6";"****";""
"84";"107";" 78.50";"91.50";"brasil";"1.117702e-21"
"29";" 30";" 96.67";"49.64";"discurso";"1.846225e-12"
"32";" 37";" 86.49";"42.69";"câmara";"6.428856e-11"
"86";"145";" 59.31";"38.76";"michel_temer";"4.794532e-10"
"35";" 45";" 77.78";"35.83";"política";"2.150410e-09"
"16";" 16";"100.00";"29.21";"assistir";"6.506410e-08"
"30";" 40";" 75.00";"27.71";"social";"1.407819e-07"
"22";" 26";" 84.62";"27.65";"bom";"1.452334e-07"
"41";" 61";" 67.21";"27.54";"falar";"1.535173e-07"
"31";" 42";" 73.81";"27.40";"rede";"1.656207e-07"
"33";" 46";" 71.74";"26.91";"passar";"2.135809e-07"
"47";" 74";" 63.51";"26.25";"deputado";"2.994843e-07"
"16";" 17";" 94.12";"25.64";"dório";"4.122215e-07"
"22";" 27";" 81.48";"25.18";"crise";"5.235208e-07"
"46";" 73";" 63.01";"24.96";"dar";"5.840914e-07"
"46";" 73";" 63.01";"24.96";"brasileiro";"5.840914e-07"
"39";" 59";" 66.10";"24.77";"vídeo";"6.454448e-07"
"49";" 80";" 61.25";"24.05";"querer";"9.381759e-07"
"25";" 33";" 75.76";"23.65";"paulo";"1.153546e-06"
"53";" 90";" 58.89";"22.44";"público";"2.168970e-06"
"37";" 57";" 64.91";"22.08";"só";"2.621530e-06"
"30";" 44";" 68.18";"20.89";"coisa";"4.854236e-06"
"15";" 17";" 88.24";"20.74";"maia";"5.257967e-06"
"11";" 11";"100.00";"20.02";"venezuela";"7.657374e-06"
"11";" 11";"100.00";"20.02";"caro";"7.657374e-06"
"49";" 84";" 58.33";"19.88";"político";"8.229283e-06"
"17";" 21";" 80.95";"19.07";"conferir";"1.263317e-05"
"17";" 21";" 80.95";"19.07";"trabalhar";"1.263317e-05"
"14";" 16";" 87.50";"18.97";"tirar";"1.329087e-05"
"14";" 16";" 87.50";"18.97";"cara";"1.329087e-05"
"12";" 13";" 92.31";"18.37";"futuro";"1.821208e-05"
"12";" 13";" 92.31";"18.37";"médico";"1.821208e-05"
"10";" 10";"100.00";"18.19";"gerar";"1.998268e-05"
"15";" 18";" 83.33";"18.07";"prefeito";"2.128005e-05"
"16";" 20";" 80.00";"17.39";"senado";"3.040153e-05"
"13";" 15";" 86.67";"17.21";"renan";"3.353190e-05"
"11";" 12";" 91.67";"16.56";"votar";"4.703401e-05"
" 9";"  9";"100.00";"16.36";"olhar";"5.231197e-05"
" 9";"  9";"100.00";"16.36";"manifestante";"5.231197e-05"
" 9";"  9";"100.00";"16.36";"golpista";"5.231197e-05"
"38";" 65";" 58.46";"15.38";"pt";"8.770018e-05"
"17";" 23";" 73.91";"14.92";"achar";"1.122439e-04"
"10";" 11";" 90.91";"14.77";"votação";"1.216054e-04"
"10";" 11";" 90.91";"14.77";"internautas";"1.216054e-04"
"10";" 11";" 90.91";"14.77";"emprego";"1.216054e-04"
" 8";"  8";"100.00";"14.54";"calheiros";"1.375053e-04"
"47";" 86";" 54.65";"14.31";"dilma";"1.547937e-04"
"21";" 31";" 67.74";"14.22";"colocar";"1.628608e-04"
"16";" 22";" 72.73";"13.39";"conhecido";"2.526210e-04"
"56";"108";" 51.85";"13.25";"governo";"2.718603e-04"
"12";" 15";" 80.00";"13.01";"seguinte";"3.103693e-04"
" 9";" 10";" 90.00";"12.98";"policial";"3.148513e-04"
" 9";" 10";" 90.00";"12.98";"palácio";"3.148513e-04"
"24";" 38";" 63.16";"12.86";"precisar";"3.351193e-04"
" 7";"  7";"100.00";"12.71";"pec";"3.633738e-04"
" 7";"  7";"100.00";"12.71";"previdência";"3.633738e-04"
" 7";"  7";"100.00";"12.71";"diferente";"3.633738e-04"
" 7";"  7";"100.00";"12.71";"oposição";"3.633738e-04"
"14";" 19";" 73.68";"12.15";"projeto";"4.910957e-04"
"14";" 19";" 73.68";"12.15";"apoio";"4.910957e-04"
"10";" 12";" 83.33";"12.01";"henrique";"5.303590e-04"
"10";" 12";" 83.33";"12.01";"jogar";"5.303590e-04"
"10";" 12";" 83.33";"12.01";"pobre";"5.303590e-04"
"10";" 12";" 83.33";"12.01";"ideia";"5.303590e-04"
"11";" 14";" 78.57";"11.36";"mandato";"7.486560e-04"
" 8";"  9";" 88.89";"11.20";"gostar";"8.166055e-04"
" 8";"  9";" 88.89";"11.20";"renunciar";"8.166055e-04"
" 8";"  9";" 88.89";"11.20";"desembarcar";"8.166055e-04"
" 8";"  9";" 88.89";"11.20";"legislativo";"8.166055e-04"
" 6";"  6";"100.00";"10.89";"hospital";"9.671148e-04"
" 6";"  6";"100.00";"10.89";"zé";"9.671148e-04"
" 6";"  6";"100.00";"10.89";"virar";"9.671148e-04"
" 6";"  6";"100.00";"10.89";"ladrão";"9.671148e-04"
" 6";"  6";"100.00";"10.89";"educação";"9.671148e-04"
" 6";"  6";"100.00";"10.89";"dente";"9.671148e-04"
" 6";"  6";"100.00";"10.89";"protestar";"9.671148e-04"
" 6";"  6";"100.00";"10.89";"hélio";"9.671148e-04"
" 6";"  6";"100.00";"10.89";"companheiro";"9.671148e-04"
"13";" 18";" 72.22";"10.64";"população";"1.108602e-03"
"30";" 53";" 56.60";"10.51";"chegar";"1.185295e-03"
" 9";" 11";" 81.82";"10.31";"deus";"1.321877e-03"
"25";" 43";" 58.14";" 9.77";"jornalista";"1.778605e-03"
" 7";"  8";" 87.50";" 9.44";"pesquisa";"2.122436e-03"
" 7";"  8";" 87.50";" 9.44";"lixo";"2.122436e-03"
" 7";"  8";" 87.50";" 9.44";"relato";"2.122436e-03"
" 7";"  8";" 87.50";" 9.44";"frase";"2.122436e-03"
"11";" 15";" 73.33";" 9.39";"minuto";"2.177240e-03"
"12";" 17";" 70.59";" 9.16";"bolsonaro";"2.468197e-03"
"12";" 17";" 70.59";" 9.16";"parecer";"2.468197e-03"
" 5";"  5";"100.00";" 9.07";"nunes";"2.599273e-03"
" 5";"  5";"100.00";" 9.07";"lobo";"2.599273e-03"
" 5";"  5";"100.00";" 9.07";"aeroporto";"2.599273e-03"
" 5";"  5";"100.00";" 9.07";"punir";"2.599273e-03"
" 5";"  5";"100.00";" 9.07";"ética";"2.599273e-03"
" 5";"  5";"100.00";" 9.07";"vagabundo";"2.599273e-03"
" 5";"  5";"100.00";" 9.07";"noruega";"2.599273e-03"
" 5";"  5";"100.00";" 9.07";"intervenção";"2.599273e-03"
" 5";"  5";"100.00";" 9.07";"amanda";"2.599273e-03"
" 5";"  5";"100.00";" 9.07";"solução";"2.599273e-03"
" 5";"  5";"100.00";" 9.07";"safado";"2.599273e-03"
" 5";"  5";"100.00";" 9.07";"rapaz";"2.599273e-03"
" 5";"  5";"100.00";" 9.07";"protesto";"2.599273e-03"
" 5";"  5";"100.00";" 9.07";"diploma";"2.599273e-03"
" 5";"  5";"100.00";" 9.07";"clube";"2.599273e-03"
" 5";"  5";"100.00";" 9.07";"alegre";"2.599273e-03"
"26";" 46";" 56.52";" 9.02";"chamar";"2.675979e-03"
" 8";" 10";" 80.00";" 8.65";"golpe";"3.277424e-03"
" 8";" 10";" 80.00";" 8.65";"manifestar";"3.277424e-03"
"22";" 38";" 57.89";" 8.42";"parlamentar";"3.714392e-03"
"22";" 38";" 57.89";" 8.42";"república";"3.714392e-03"
" 9";" 12";" 75.00";" 8.18";"professor";"4.236756e-03"
" 9";" 12";" 75.00";" 8.18";"rápido";"4.236756e-03"
" 9";" 12";" 75.00";" 8.18";"roubar";"4.236756e-03"
"10";" 14";" 71.43";" 7.90";"diário";"4.943340e-03"
"11";" 16";" 68.75";" 7.74";"impeachment";"5.407329e-03"
"11";" 16";" 68.75";" 7.74";"gente";"5.407329e-03"
"11";" 16";" 68.75";" 7.74";"amigo";"5.407329e-03"
"11";" 16";" 68.75";" 7.74";"maneira";"5.407329e-03"
" 6";"  7";" 85.71";" 7.70";"ocupar";"5.530251e-03"
" 6";"  7";" 85.71";" 7.70";"francisco";"5.530251e-03"
" 6";"  7";" 85.71";" 7.70";"sangue";"5.530251e-03"
" 6";"  7";" 85.71";" 7.70";"rico";"5.530251e-03"
" 6";"  7";" 85.71";" 7.70";"servidor";"5.530251e-03"
" 6";"  7";" 85.71";" 7.70";"desemprego";"5.530251e-03"
" 6";"  7";" 85.71";" 7.70";"ator";"5.530251e-03"
" 6";"  7";" 85.71";" 7.70";"aprender";"5.530251e-03"
"12";" 18";" 66.67";" 7.65";"assunto";"5.664362e-03"
"14";" 22";" 63.64";" 7.64";"site";"5.720002e-03"
" 4";"  4";"100.00";" 7.25";"plenário";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"manifestação";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"vândalo";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"venezuelano";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"rj";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"poço";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"meirelles";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"igreja";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"fácil";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"filósofo";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"diogo";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"brückner";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"boechat";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"andar";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"acalmar";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"ódio";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"vaca";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"suécia";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"sessão";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"quebrado";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"perdoar";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"patético";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"parceiro";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"mst";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"mortadela";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"lascar";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"jogador";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"jogada";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"impopular";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"grito";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"gravata";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"fada";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"esquerdo";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"derramamento";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"curvar";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"crescer";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"cachorro";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"botar";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"besteira";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"assaltado";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"aprontar";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"aposentadoria";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"apoiador";"7.084853e-03"
" 4";"  4";"100.00";" 7.25";"alessandra";"7.084853e-03"
" 7";"  9";" 77.78";" 7.02";"sociedade";"8.069256e-03"
" 7";"  9";" 77.78";" 7.02";"reforma";"8.069256e-03"
" 7";"  9";" 77.78";" 7.02";"setor";"8.069256e-03"
" 7";"  9";" 77.78";" 7.02";"esposo";"8.069256e-03"
" 7";"  9";" 77.78";" 7.02";"postar";"8.069256e-03"
" 7";"  9";" 77.78";" 7.02";"inteiro";"8.069256e-03"
"18";" 31";" 58.06";" 6.94";"cargo";"8.409022e-03"
"18";" 31";" 58.06";" 6.94";"voltar";"8.409022e-03"
" 8";" 11";" 72.73";" 6.65";"rio";"9.894113e-03"
" 9";" 13";" 69.23";" 6.46";"economia";"1.103568e-02"
"12";" 19";" 63.16";" 6.36";"cair";"1.166657e-02"
"12";" 19";" 63.16";" 6.36";"ganhar";"1.166657e-02"
"11";" 17";" 64.71";" 6.34";"honesto";"1.179529e-02"
"11";" 17";" 64.71";" 6.34";"apoiar";"1.179529e-02"
"18";" 32";" 56.25";" 6.06";"ler";"1.382499e-02"
" 5";"  6";" 83.33";" 5.98";"min";"1.445096e-02"
" 5";"  6";" 83.33";" 5.98";"randolfe";"1.445096e-02"
" 5";"  6";" 83.33";" 5.98";"alexandre";"1.445096e-02"
" 5";"  6";" 83.33";" 5.98";"michel";"1.445096e-02"
" 5";"  6";" 83.33";" 5.98";"hostilizar";"1.445096e-02"
" 5";"  6";" 83.33";" 5.98";"vergonha";"1.445096e-02"
