"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"dizer";-0,00820712559392866;-0,0522241004274439;-0,167627718849337;0,179245974779078;-0,18185335756262;0,327360522902224;-0,0182039982306705;-0,115836832384146;-0,371810405777395;0,397580537837386;-0,403363901456605;0,72610931945673;0,000930854871839018;0,0229121045418278;0,197564994450408;0,179329779676302;0,16657923827761;0,432683028182033;8,17624076154642e-07;3,31065135990284e-05;0,000341085441127926;0,000390005144644204;0,000401434006714137;0,00130084072241355;0,0121386813900617;0,168586254721702;0,000344997412270465
"estar";-0,273954810767927;0,642814915390917;-0,228204486843592;0,128942252525657;0,268130869827973;0,647816189785617;-0,267540421443286;0,627764020247133;-0,222861297504659;0,125923193266295;0,261852842498539;0,632648194595307;0,14766305162133;0,494207232388768;0,0521291741273303;0,0132116864063092;0,0515568076082721;0,241232047847986;0,000844861815197134;0,00465157159668359;0,000586240985303536;0,000187162279079964;0,000809322200340345;0,00472423414587039;0,0112571335776922;0,446801973462722;0,00224728412967131
"presidente";-0,156264048038442;0,0640997870424036;0,465565297464399;0,573055741223237;-0,562672050008904;-0,123805764900458;-0,164206799018556;0,0673579174488993;0,48922953289898;0,602183612332406;-0,591272128099749;-0,130098692626642;0,0626600560251172;0,006409276982531;0,282977789447951;0,340345605856185;0,296115901775815;0,0114913699123978;0,000207329691727971;3,48864303760643e-05;0,00184036753376188;0,00278828457785233;0,00268815338758427;0,000130144283317103;0,00849069735071684;0,391233245395318;0,00129961544895686
"lula";0,948783620704429;-0,771283675256785;-0,669781501130475;-1,07301946118941;-0,645039317250142;0,639219477713182;0,479224956054505;-0,389570790762667;-0,338302647137882;-0,541975739159936;-0,325805517419368;0,322865951131036;0,404381450981589;0,162445758736119;0,102527808708812;0,208893939755243;0,0681251780279082;0,0536258637903219;0,00608744698242256;0,00402280622186435;0,00303366158013494;0,00778602927046321;0,00281367031533363;0,00276312692225043;0,00676239966593978;0,935068951360528;0,00591273081745595
"afirmar";-0,0391164988940933;-0,484540117406159;-0,144453296608389;0,144183919120851;-0,467104695766571;-0,0404597786016192;-0,0554418134823325;-0,686763477648464;-0,204741041603795;0,204359239120375;-0,662051363275829;-0,0573457124790421;0,00628982872313554;0,586680395617199;0,043640758562112;0,0345148740487186;0,326908144005022;0,00196599904381415;9,50411555362677e-06;0,00145831463878386;0,000129612435038071;0,000129129481469484;0,00135525251345805;1,01680754192628e-05;0,00621143228320883;0,309109703035392;0,000593494953805056
"ano";-0,0571356423904819;0,544154420214982;-0,112055111315207;-0,41846743805094;0,425990593240461;-0,230613683295765;-0,0672560900094252;0,640540600119378;-0,131903455309486;-0,492590657985779;0,501446391139582;-0,271462330556187;0,00954369814837158;0,5262232319573;0,0186760194642215;0,206766216179036;0,193366346124624;0,045424488126442;1,77022359145698e-05;0,00160567711508801;6,80890441799998e-05;0,000949592411281713;0,000984042630202009;0,000288392551577674;0,00542267897740454;0,366539546600104;0,000728543640516356
"governo";-0,36225248199959;0,905065626275318;-0,021936481608265;0,415891384282018;-1,12022112373911;-0,434532620646293;-0,226075490828904;0,564835759200662;-0,013690177688426;0,259550599388788;-0,699110573344569;-0,271184271675721;0,108288122458823;0,410905028191197;0,000202027522739705;0,0576463355842069;0,377436596159762;0,0455218900832709;0,000707034714448729;0,00441344928157744;2,59269806030434e-06;0,000931918310850533;0,00676122694683021;0,00101733214586675;0,00538788103744258;0,689910935696456;0,00256450798700191
"michel_temer";0,609493013632211;0,436926755058108;0,821155364755016;1,57599470167228;-0,596421849119559;-0,45226768109034;0,294585230216069;0,211179071535711;0,396887637362628;0,761722860849047;-0,288267566319965;-0,218593775438551;0,183615755601;0,0573605079621578;0,169567125918941;0,495833380526209;0,0640852344208554;0,0295379955708356;0,00188300373048125;0,000967678285132124;0,00341793961571263;0,0125899273183375;0,0018031041231017;0,00103682348387475;0,00506889992112467;0,891427096018822;0,00402796212713697
"país";-1,05152207363515;0,358884873435891;-0,38594543086667;0,085710853788614;0,455915894311164;-0,503625030913833;-0,772615379722673;0,263693915438053;-0,283576905419054;0,0629768271219587;0,334988337988083;-0,370043058774954;0,782736159426524;0,0554258224363885;0,0536474305736628;0,00210040975259007;0,0536323074668381;0,0524578703439973;0,00560467590795297;0,000652865958225523;0,000755032288314823;3,72379152529192e-05;0,00105361800298781;0,00128566650884347;0,00506889992112467;0,744873916063688;0,00281241399008964
"público";0,578365717917898;0,126121635919525;0,0429780737502357;0,0554365857335983;0,611054033357757;-0,431227993329936;0,604739454414241;0,131872839162006;0,0449378932158321;0,057964518941082;0,638918371719342;-0,450892183501638;0,623173346224907;0,01801383599895;0,00175071796252879;0,00231233369898812;0,253537043514473;0,101212722600153;0,00142591851593788;6,780610749987e-05;7,87378436361131e-06;1,31003401659976e-05;0,00159165469010605;0,000792690245789751;0,0042627476453394;0,459166482741353;0,000898731535468977
