"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"dizer";0,958;0;0,018;0;0;0,202;0,128
"estar";0;0;0;0,066;0;0,854;0,625
"presidente";0;0;0;0;0;0;0
"lula";0;0;0;0;0;0;0
"afirmar";0;0,028;0,022;0;0;0,186;0
"ano";0,074;0,001;0;0;0;0,191;0,007
"governo";0,078;0;0;0,001;0;0;0,05
"michel_temer";0;0;0;0;0;0;0
"país";0,411;0;0;0;0;0,003;0
"público";0,001;0;0;0;0,603;0,001;0
"federal";0;0;0;0;0,276;0,318;0
"ministro";0;0;0;0;0;0,1;0
"ex_presidente";0;0;0,705;0;0;0,001;0
"brasil";0;0;0;0;0;0,847;0
"lava_jato";0;0;0;0;0;0;0
"dia";0;0;0,055;0;0;0,133;0,953
"caso";0;0;0,683;0,961;0,022;0,114;0
"pessoa";0;0,009;0,01;0,286;0;0,003;0
"stf";0;0;0;0;0;0;0
"rcifrão";0;0;0,083;0,943;0;0;0
"mesmo";0;0,917;0,006;0,303;0,063;0,025;0,012
"processo";0;0;0,144;0;0,298;0,002;0
"coreia";0;0;0;0;0;0;0
"ver";0;0,009;0,064;0,536;0,004;0,262;0,373
"defesa";0;0;0,006;0;0;0;0,719
"novo";0,087;0,006;0,866;0,329;0,011;0,267;0
"acordo";0;0;0;0,4;0;0;0,029
"dar";0;0,048;0,046;0,011;0,306;0,207;0,004
"pedir";0;0;0;0;0,002;0,012;0,112
"ministério";0;0,009;0;0,207;0,106;0;0
"operação";0;0,806;0;0;0;0;0
"empresa";0;0;0,563;0;0;0;0
"político";0,581;0,787;0,331;0;0,596;0,021;0
"decisão";0;0;0,423;0,001;0;0,018;0
"odebrecht";0;0;0,001;0;0;0;0
"dever";0,269;0,002;0,039;0,536;0;0;0,588
"norte";0;0;0;0;0;0;0
"justiça";0;0;0;0;0,315;0,003;0
"deputado";0;0,684;0;0;0;0;0
"delação";0;0,014;0;0;0;0;0
"ação";0;0;0,034;0,174;0,491;0,001;0
"trump";0;0;0;0;0;0;0
"querer";0;0,005;0,008;0;0,003;0,01;0,001
"dinheiro";0;0;0,003;0;0;0;0
"juiz";0;0;0,003;0;0;0;0
"joesley";0;0;0;0;0,037;0;0
"receber";0;0,055;0,165;0,002;0;0,006;0
"república";0;0,412;0;0;0,006;0,02;0
"paulo";0,207;0,202;0,083;0,003;0;0,018;0
"corrupção";0,148;0;0;0,006;0,744;0,004;0
"senador";0;0,897;0;0;0,018;0;0
"dilma";0,252;0,943;0,015;0;0;0,138;0
"partido";0,024;0;0,001;0;0,772;0;0
"investigação";0;0,167;0;0;0,139;0;0
"ficar";0;0,1;0,005;0,304;0,711;0,941;0
"falar";0;0,011;0,664;0,006;0,194;0,855;0,001
"brasileiro";0;0;0,002;0;0;0,093;0
"eua";0;0;0;0,001;0;0;0
"saber";0;0;0,092;0;0,015;0,567;0
"relação";0;0,615;0,082;0,563;0,005;0,358;0
"lei";0,091;0;0,004;0,001;0;0;0
"política";0;0;0;0;0;0,005;0,856
"vez";0;0,98;0,002;0,699;0,012;0,473;0,012
"câmara";0;0,496;0;0;0;0;0
"só";0;0,84;0,127;0,384;0;0,084;0,001
"grupo";0,266;0;0;0,061;0;0,42;0,458
"pt";0,988;0,502;0;0;0;0;0
"sérgio_moro";0;0;0,001;0;0;0;0
"crime";0;0;0;0;0,005;0;0
"aécio";0,113;0;0;0;0,003;0,993;0
"propina";0;0;0,585;0;0;0;0
"unido";0;0;0;0,002;0;0;0
"momento";0,001;0;0,148;0,233;0,003;0;0,526
"contar";0,092;0,008;0,026;0,08;0;0,005;0
"americano";0;0;0;0,001;0;0;0
"segurança";0,043;0,001;0,001;0,053;0;0,675;0
"advogado";0;0;0;0;0;0;0
"polícia";0,599;0,001;0;0,001;0,097;0;0
"porcento";0;0;0;0;0,227;0,23;0,003
"depoimento";0;0,012;0,009;0;0;0;0
"meio";0,005;0,106;0,794;0;0;0,022;0,069
"fato";0,362;0;0,199;0,487;0,957;0,006;0
"prisão";0;0;0;0;0;0;0
"militar";0,043;0;0;0;0;0;0
"reforma";0;0;0;0,048;0,03;0;0
"passar";0;0,035;0,043;0;0,001;0,045;0
"empresário";0;0;0;0;0;0;0
"deixar";0;0,532;0,341;0,055;0;0,008;0,369
"chegar";0;0,003;0,799;0,039;0,817;0,445;0,761
"pedido";0;0;0;0;0;0;0
"grande";0;0;0;0;0;0,718;0,534
"nuclear";0;0;0;0;0;0;0
"direito";0;0,132;0;0,26;0;0,613;0,001
"míssil";0;0;0;0;0;0;0
"nacional";0,154;0;0,109;0;0;0;0,047
"maior";0,329;0;0,001;0;0,207;0,001;0,446
"último";0,064;0,723;0,751;0,845;0,002;0,441;0
"nota";0;0,752;0;0;0;0;0
"jbs";0;0;0;0,007;0;0;0
"vir";0;0,233;0,301;0,181;0,376;0,475;0,642
"forma";0,003;0,822;0,001;0,026;0,929;0,039;0,664
"recurso";0;0;0;0,448;0;0,006;0
"rio";0;0,532;0,031;0,003;0,01;0;0
"denúncia";0;0;0;0;0;0,284;0
"campanha";0,001;0,007;0;0,295;0;0,99;0
"pagar";0;0;0,376;0,433;0;0;0
"casa";0,346;0,006;0,302;0,075;0,052;0;0,731
"defender";0,52;0,597;0,519;0,459;0;0;0,23
"precisar";0;0;0;0;0;0,017;0,037
"valor";0;0;0;0,309;0;0;0
"mês";0,037;0;0,048;0,37;0,001;0,648;0,349
"levar";0,352;0,001;0,354;0,079;0,038;0,23;0,055
"apresentar";0;0;0,671;0,001;0,129;0,728;0
"semana";0,003;0,242;0,016;0,313;0;0;0
"prova";0;0;0,061;0;0;0;0,002
"pagamento";0;0;0,719;0,001;0;0;0
"econômico";0;0;0;0;0,044;0,859;0,673
"próprio";0,195;0;0,802;0,068;0,98;0,754;0,064
"medida";0,007;0,236;0,399;0,009;0,004;0;0,514
"conversa";0,007;0;0;0;0,595;0,025;0,174
"bem";0;0,146;0,025;0,298;0,8;0,007;0,015
"sul";0;0;0;0,009;0;0;0
"sírio";0;0;0;0;0;0;0
"projeto";0;0,553;0;0,119;0,075;0;0
"mundo";0;0;0;0,014;0;0,002;0
"passado";0,005;0,841;0,085;0,001;0;0,222;0,429
"informar";0;0,032;0;0,107;0,036;0,003;0,001
"autoridade";0,007;0;0,294;0;0,066;0,809;0,836
"ataque";0;0;0;0;0;0;0
"crise";0,339;0;0;0;0;0,617;0,157
"eleição";0,067;0,05;0;0;0;0;0
"tempo";0;0,055;0;0,028;0,003;0,897;0,646
"gente";0;0;0;0,218;0;0,851;0
"conseguir";0;0;0,129;0,416;0,349;0,462;0,238
"relator";0;0;0;0;0;0,902;0
"informação";0,002;0,984;0;0,024;0;0;0
"eleitoral";0;0;0,004;0,182;0,002;0;0
"cunha";0;0,038;0;0;0,275;0,005;0
"coisa";0;0,002;0;0,001;0;0,059;0
"voto";0;0;0,116;0,001;0;0;0
"base";0,001;0,27;0,27;0,033;0;0,013;0
"acontecer";0;0,005;0;0,766;0;0,017;0,189
"preso";0;0;0;0;0,074;0;0
"apartamento";0;0;0;0;0;0;0
"manter";0,005;0;0,4;0,108;0,841;0,942;0,354
"líder";0,207;0;0,004;0;0;0;0
"força";0,003;0;0;0,021;0;0,703;0
"marcelo";0;0,937;0,011;0;0;0;0
"continuar";0,038;0,004;0,834;0,286;0,002;0,139;0
"social";0;0;0;0;0;0,72;0
"condenar";0;0;0,004;0;0,209;0;0,194
"situação";0;0,001;0,003;0,012;0;0,831;0,434
"julgamento";0,003;0;0,008;0,001;0;0,003;0
"batista";0;0;0;0;0,87;0;0
"realizar";0;0,14;0,009;0,025;0,125;0,009;0
"começar";0;0,366;0,002;0,52;0,001;0,495;0,713
"candidato";0,003;0;0;0,008;0,005;0;0
"cargo";0,032;0;0,168;0,002;0,001;0;0,001
"pouco";0;0,001;0;0;0;0,116;0,283
"tribunal";0;0;0,114;0;0,002;0;0
"achar";0;0;0;0,529;0;0;0,002
"final";0,001;0;0,228;0,133;0,566;0,874;0,032
"pmdb";0;0,01;0;0;0,038;0;0
"executivo";0;0,015;0;0,057;0;0,295;0
"china";0;0;0;0,059;0;0;0
"senado";0;0,01;0,163;0;0;0;0
"eduardo";0;0,119;0;0;0,247;0,001;0
"tomar";0,394;0,104;0,029;0;0;0,391;0,736
"ocorrer";0,914;0,002;0,094;0,012;0,005;0,01;0,504
"rodrigo";0;0;0;0;0;0;0
"dono";0;0;0;0;0;0;0
"considerar";0,003;0;0,003;0;0,117;0,575;0,674
