"";"";"";"";"igualmente";""
"1";"igualmente";"-0.0747781603130176";"0.836888342194377";"0.840945484157106";"161"
"2";"relativamente";"0.308873814691779";"0.870808881323865";"0.834387296601666";"181"
"3";"tanto";"0.158008723144511";"0.668743815133644";"0.830273233579084";"195"
"4";"então";"0.198833654973945";"0.128604234537274";"0.828133025054894";"209"
"5";"reiteradamente";"0.22547496285924";"0.0716545070391029";"0.827074117698382";"213"
"6";"ontem";"0.0333633846090315";"0.637356594779098";"0.826498276839855";"215"
"7";"certamente";"-0.0630207373649237";"1.16531741225923";"0.823379138856171";"231"
"8";"especialmente";"-0.354752473522189";"0.461247669498789";"0.823001643182248";"232"
"9";"para";"0.011878179932495";"0.152371191063396";"0.822297837688493";"235"
"10";"entanto";"-0.0949039222335273";"0.190502730851885";"0.820016868065553";"263"
"11";"inclusive";"0.169940421076967";"0.217415361234472";"0.819511407756402";"265"
"12";"verdade";"0.318884873329716";"0.210850893639667";"0.819482615713476";"266"
"13";"dentro";"0.284632460432437";"0.485958516932343";"0.817150460236444";"285"
"14";"excessivamente";"0.333738341906618";"0.514319943123979";"0.816971309747125";"287"
"15";"qual";"0.0610044668881017";"0.287905650557029";"0.815090229609272";"311"
"16";"desde";"-0.181132263081967";"0.0317937999808799";"0.814501592287223";"315"
"17";"sobre";"0.0645937003945091";"0.175994500071281";"0.813871366458724";"322"
"18";"02";"-0.0245906847427397";"0.168369154520681";"0.813007605170935";"331"
"19";"89";"-0.0245906847427397";"0.168369154520681";"0.813007605170935";"332"
"20";"suficientemente";"-0.168302790901746";"-0.00728758789191634";"0.813007605170935";"333"
"21";"adiante";"0.063600355196789";"1.30964928717883";"0.812882839651587";"334"
"22";"tentar";"0.00408679785579704";"0.399465092130327";"0.812604516569966";"335"
"23";"durante";"-0.0641041149676853";"-0.0805341547748649";"0.811951896930303";"337"
"24";"fim";"-0.191249168573742";"0.252897870395507";"0.811942299582661";"338"
"25";"recentemente";"-0.635655908993026";"0.48640268336194";"0.811452834852913";"339"
"26";"politicamente";"0.21606933987408";"0.826477123898362";"0.811395250767061";"340"
"27";"lhe";"0.326356051052546";"0.337208280092955";"0.810829007256177";"344"
"28";"embora";"-0.0711554929488463";"0.120800026522219";"0.808954325350085";"354"
"29";"minimamente";"0.471069364802248";"0.982598375693836";"0.80870479431139";"356"
"30";"propriamente";"-0.0570435168778257";"0.534405077762391";"0.808288909246899";"357"
"31";"plenamente";"-0.0105998915046827";"0.489180450967982";"0.808288909246899";"358"
"32";"espontaneamente";"0.602760525740532";"0.67315455501676";"0.80564963864532";"364"
"33";"logo";"0.140200521158826";"0.798180697446822";"0.805364917331937";"366"
"34";"previamente";"-0.651934303312089";"0.358696771059499";"0.804939434919804";"368"
"35";"diariamente";"0.438083355814793";"0.93469197005285";"0.804069275400253";"370"
"36";"obviamente";"-0.0802189324674206";"0.279704390227167";"0.803973301923832";"371"
