"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";1;0;0;0;0;0;0;3;3;3
"2";2;0;0;0;0;0;0;4;4;4
"3";3;0;0;0;0;0;0;3;3;3
"4";4;0;0;5;5;5;5;5;5;5
"5";5;0;0;5;5;5;5;5;5;5
"6";6;0;0;5;5;5;5;5;5;5
"7";7;0;0;5;5;5;5;5;5;5
"8";8;0;0;0;0;0;0;0;0;0
"9";9;0;0;0;0;0;0;0;2;2
"10";10;0;0;0;0;0;0;4;4;4
"11";11;0;0;0;0;0;0;3;3;3
"12";12;0;0;0;0;0;0;0;0;1
"13";13;0;0;0;0;0;0;0;0;0
"14";14;0;0;0;0;0;0;0;0;1
"15";15;0;0;0;0;0;0;0;0;1
"16";16;0;0;0;0;0;0;0;0;1
"17";17;0;0;0;0;0;0;0;0;0
"18";18;0;0;0;0;0;0;0;0;0
"19";19;0;0;0;0;0;0;0;0;0
"20";20;0;0;0;0;0;0;0;0;0
"21";21;0;0;0;0;0;0;0;0;0
"22";22;0;0;0;0;0;0;0;0;0
"23";23;0;0;0;0;0;0;0;0;0
"24";24;0;0;0;0;0;0;3;3;3
"25";25;0;0;0;0;0;0;0;0;0
"26";26;0;0;0;0;0;0;4;4;4
"27";27;0;0;0;0;0;0;4;4;4
"28";28;0;0;0;0;0;0;0;0;0
"29";29;0;0;0;0;0;0;3;3;3
"30";30;0;0;0;0;0;0;0;0;1
"31";31;0;0;0;0;0;0;0;0;1
"32";32;0;0;0;0;0;0;0;2;2
"33";33;0;0;0;0;0;0;0;0;1
"34";34;0;0;0;0;0;0;0;0;1
"35";35;0;0;0;0;0;0;0;0;1
"36";36;0;0;5;5;5;5;5;5;5
"37";37;0;0;0;0;0;0;4;4;4
"38";38;0;0;0;0;0;0;4;4;4
"39";39;0;0;0;0;0;0;4;4;4
"40";40;0;0;0;0;0;0;0;0;0
"41";41;0;0;0;0;0;0;0;0;1
"42";42;0;0;0;0;0;0;3;3;3
"43";43;0;0;0;0;0;0;3;3;3
"44";44;0;0;0;0;0;0;3;3;3
"45";45;0;0;0;0;0;0;3;3;3
"46";46;0;0;0;0;0;0;0;2;2
"47";47;0;0;0;0;0;0;3;3;3
"48";48;0;0;0;0;0;0;3;3;3
"49";49;0;0;5;5;5;5;5;5;5
"50";50;0;0;5;5;5;5;5;5;5
"51";51;0;0;0;0;0;0;3;3;3
"52";52;0;0;5;5;5;5;5;5;5
"53";53;0;0;5;5;5;5;5;5;5
"54";54;0;0;0;0;0;0;3;3;3
"55";55;0;0;0;0;0;0;3;3;3
"56";56;0;0;0;0;0;0;3;3;3
"57";57;0;0;0;0;0;0;4;4;4
"58";58;0;0;0;0;0;0;0;0;1
"59";59;0;0;0;0;0;0;4;4;4
"60";60;0;0;0;0;0;0;3;3;3
"61";61;0;0;0;0;0;0;0;2;2
"62";62;0;0;0;0;0;0;0;2;2
"63";63;0;0;0;0;0;0;0;2;2
"64";64;0;0;0;0;0;0;0;2;2
"65";65;0;0;0;0;0;0;0;2;2
"66";66;0;0;0;0;0;0;0;2;2
"67";67;0;0;0;0;0;0;0;2;2
"68";68;0;0;0;0;0;0;0;0;0
"69";69;0;0;0;0;0;0;3;3;3
"70";70;0;0;0;0;0;0;3;3;3
"71";71;0;0;0;0;0;0;3;3;3
"72";72;0;0;0;0;0;0;3;3;3
"73";73;0;0;0;0;0;0;3;3;3
"74";74;0;0;0;0;0;0;0;0;0
"75";75;0;0;0;0;0;0;3;3;3
"76";76;0;0;0;0;0;0;3;3;3
"77";77;0;0;0;0;0;0;0;2;2
"78";78;0;0;0;0;0;0;0;2;2
"79";79;0;0;0;0;0;0;3;3;3
"80";80;0;0;0;0;0;0;0;0;1
"81";81;0;0;0;0;0;0;4;4;4
"82";82;0;0;0;0;0;0;0;0;1
"83";83;0;0;0;0;0;0;0;0;1
"84";84;0;0;0;0;0;0;0;0;1
"85";85;0;0;0;0;0;0;3;3;3
