"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"6";"***";"";""
"**";"classe";"1";"**";"";""
"****";"1500";"10553";"14.21";"****";""
"  0";" 594";" 0.00";"-104.29";"coreia";"1.747112e-24"
" 23";" 837";" 2.75";" -98.02";"governo";"4.143865e-23"
"  4";" 578";" 0.69";" -91.69";"norte";"1.012234e-21"
"  2";" 505";" 0.40";" -83.05";"trump";"7.998846e-20"
" 29";" 818";" 3.55";" -82.77";"país";"9.205132e-20"
"  4";" 496";" 0.81";" -76.73";"eua";"1.962013e-18"
"152";"1856";" 8.19";" -67.03";"estar";"2.674425e-16"
"  0";" 389";" 0.00";" -66.92";"nuclear";"2.826702e-16"
"  0";" 366";" 0.00";" -62.82";"míssil";"2.262957e-15"
"  3";" 370";" 0.81";" -56.49";"americano";"5.643771e-14"
" 96";"1295";" 7.41";" -55.99";"presidente";"7.278663e-14"
"  3";" 352";" 0.85";" -53.32";"unido";"2.838157e-13"
"  9";" 420";" 2.14";" -52.27";"joesley";"4.837900e-13"
"  7";" 388";" 1.80";" -50.87";"empresa";"9.845947e-13"
"186";"2000";" 9.30";" -48.87";"dizer";"2.738509e-12"
"  4";" 305";" 1.31";" -42.88";"militar";"5.821091e-11"
"  3";" 292";" 1.03";" -42.83";"ataque";"5.985155e-11"
"  0";" 250";" 0.00";" -42.43";"kim";"7.333842e-11"
"  4";" 278";" 1.44";" -38.22";"jbs";"6.335482e-10"
"  0";" 224";" 0.00";" -37.92";"china";"7.371867e-10"
"  0";" 223";" 0.00";" -37.75";"sírio";"8.055205e-10"
"  2";" 224";" 0.89";" -33.31";"sul";"7.876368e-09"
"  9";" 303";" 2.97";" -32.34";"grupo";"1.292282e-08"
"  2";" 218";" 0.92";" -32.28";"aécio";"1.338198e-08"
"  3";" 229";" 1.31";" -31.97";"batista";"1.569732e-08"
" 32";" 538";" 5.95";" -31.77";"brasil";"1.738785e-08"
"  1";" 201";" 0.50";" -31.62";"gente";"1.879268e-08"
" 14";" 351";" 3.99";" -31.13";"propina";"2.409191e-08"
"  5";" 242";" 2.07";" -29.97";"mundo";"4.376776e-08"
" 20";" 402";" 4.98";" -29.25";"odebrecht";"6.346033e-08"
"  2";" 200";" 1.00";" -29.19";"arma";"6.552556e-08"
"  5";" 236";" 2.12";" -28.96";"reforma";"7.378918e-08"
" 24";" 435";" 5.52";" -28.14";"rcifrão";"1.127506e-07"
"  2";" 191";" 1.05";" -27.66";"guerra";"1.448835e-07"
"  1";" 170";" 0.59";" -26.31";"teste";"2.910624e-07"
"  1";" 169";" 0.59";" -26.14";"rússia";"3.179506e-07"
" 18";" 358";" 5.03";" -25.64";"política";"4.104417e-07"
"  0";" 151";" 0.00";" -25.38";"pyongyang";"4.701586e-07"
" 63";" 767";" 8.21";" -24.42";"michel_temer";"7.743236e-07"
"  4";" 191";" 2.09";" -23.43";"conversa";"1.293712e-06"
" 14";" 302";" 4.64";" -23.39";"senador";"1.321797e-06"
"  0";" 139";" 0.00";" -23.34";"donald";"1.358572e-06"
"  5";" 201";" 2.49";" -23.11";"crise";"1.532230e-06"
"  0";" 128";" 0.00";" -21.47";"norte_coreano";"3.596252e-06"
"  5";" 190";" 2.63";" -21.29";"social";"3.954652e-06"
"  5";" 188";" 2.66";" -20.96";"candidato";"4.697351e-06"
"  0";" 125";" 0.00";" -20.96";"previdência";"4.690634e-06"
"  8";" 221";" 3.62";" -20.78";"líder";"5.160697e-06"
" 21";" 355";" 5.92";" -20.75";"saber";"5.241544e-06"
" 12";" 262";" 4.58";" -20.45";"precisar";"6.122306e-06"
"  9";" 229";" 3.93";" -20.30";"casa";"6.612652e-06"
"  8";" 216";" 3.70";" -19.98";"situação";"7.837885e-06"
"  0";" 119";" 0.00";" -19.94";"jong_un";"7.982325e-06"
"  0";" 116";" 0.00";" -19.43";"russo";"1.041493e-05"
"  4";" 166";" 2.41";" -19.27";"dono";"1.133097e-05"
"  6";" 185";" 3.24";" -18.59";"congresso";"1.623890e-05"
"  6";" 185";" 3.24";" -18.59";"aprovar";"1.623890e-05"
"  0";" 111";" 0.00";" -18.59";"balístico";"1.623067e-05"
"  2";" 136";" 1.47";" -18.35";"programa";"1.839273e-05"
"  0";" 107";" 0.00";" -17.91";"japão";"2.315365e-05"
"  5";" 169";" 2.96";" -17.84";"bom";"2.398012e-05"
"  1";" 117";" 0.85";" -17.32";"rodrigo";"3.164210e-05"
"  1";" 117";" 0.85";" -17.32";"lançar";"3.164210e-05"
"  9";" 209";" 4.31";" -17.17";"achar";"3.426365e-05"
" 11";" 229";" 4.80";" -17.00";"pagar";"3.737549e-05"
"  8";" 195";" 4.10";" -16.66";"pouco";"4.475863e-05"
" 12";" 234";" 5.13";" -16.20";"coisa";"5.696043e-05"
"  3";" 135";" 2.22";" -16.13";"encontrar";"5.922811e-05"
"  1";" 108";" 0.93";" -15.80";"lançamento";"7.036973e-05"
"  5";" 154";" 3.25";" -15.42";"maia";"8.626437e-05"
"  0";"  92";" 0.00";" -15.38";"viver";"8.802441e-05"
"  0";"  91";" 0.00";" -15.21";"onu";"9.624240e-05"
" 25";" 350";" 7.14";" -14.84";"partido";"1.167610e-04"
" 17";" 274";" 6.20";" -14.80";"grande";"1.195304e-04"
" 11";" 213";" 5.16";" -14.60";"conseguir";"1.328822e-04"
"  7";" 171";" 4.09";" -14.60";"problema";"1.329106e-04"
"  1";" 100";" 1.00";" -14.46";"químico";"1.434178e-04"
"  0";"  86";" 0.00";" -14.37";"coréia";"1.504556e-04"
"  0";"  85";" 0.00";" -14.20";"mundial";"1.645375e-04"
"  2";" 111";" 1.80";" -14.17";"intervenção";"1.666979e-04"
" 20";" 295";" 6.78";" -13.76";"contar";"2.081825e-04"
" 10";" 197";" 5.08";" -13.75";"nacional";"2.091687e-04"
"  0";"  82";" 0.00";" -13.69";"neve";"2.152490e-04"
"  0";"  82";" 0.00";" -13.69";"aéreo";"2.152490e-04"
"  6";" 154";" 3.90";" -13.64";"entrevista";"2.209054e-04"
"  0";"  81";" 0.00";" -13.52";"washington";"2.354346e-04"
"  2";" 106";" 1.89";" -13.34";"votação";"2.592533e-04"
" 19";" 282";" 6.74";" -13.28";"empresário";"2.679685e-04"
"  0";"  79";" 0.00";" -13.19";"chinês";"2.817006e-04"
"  6";" 149";" 4.03";" -12.86";"internacional";"3.351922e-04"
"  2";" 103";" 1.94";" -12.85";"maneira";"3.379699e-04"
" 12";" 210";" 5.71";" -12.69";"projeto";"3.666951e-04"
" 13";" 219";" 5.94";" -12.57";"força";"3.924490e-04"
"  2";" 101";" 1.98";" -12.52";"aliado";"4.033508e-04"
"  8";" 168";" 4.76";" -12.51";"ameaça";"4.051373e-04"
"  9";" 178";" 5.06";" -12.45";"senado";"4.174293e-04"
"  0";"  74";" 0.00";" -12.35";"fazenda";"4.415268e-04"
"  1";"  87";" 1.15";" -12.28";"violência";"4.580285e-04"
"  1";"  87";" 1.15";" -12.28";"exército";"4.580285e-04"
" 10";" 187";" 5.35";" -12.27";"colocar";"4.594490e-04"
"  0";"  73";" 0.00";" -12.18";"carne";"4.831266e-04"
"  0";"  72";" 0.00";" -12.01";"difícil";"5.286763e-04"
"  1";"  85";" 1.18";" -11.95";"funaro";"5.479299e-04"
"  4";" 121";" 3.31";" -11.94";"povo";"5.481004e-04"
"  6";" 143";" 4.20";" -11.93";"reunião";"5.518416e-04"
" 14";" 224";" 6.25";" -11.90";"acontecer";"5.601367e-04"
