"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"estar";-67,03;-59,992;146,307;26,741;-4,266;3,825
"dizer";-48,868;48,679;4,817;-21,641;-0,367;3,263
"presidente";-55,991;-0,343;-24,487;-18,383;137,199;28,202
"lula";588,691;26,91;-3,584;-54,75;-18,15;-226,913
"michel_temer";-24,421;78,215;-10,878;-9,888;213,689;-162,068
"afirmar";-3,201;31,379;-37,65;-30,824;4,846;19,269
"ano";37,815;-21,6;4,882;1,188;-0,036;-11,482
"governo";-98,019;-31,701;-3,564;0,361;316,503;-0,006
"país";-82,773;-83,093;0,003;47,415;-17,559;240,663
"público";116,598;6,894;-5,63;6,804;-7,478;-113,322
"ministro";80,76;-4,05;-0,025;-20,016;29,29;-42,463
"federal";221,022;71,696;-39,541;-42,527;-0,003;-117,737
"ex_presidente";425,885;40,282;-30,241;-62,832;-12,554;-98,116
"brasil";-31,766;-26,453;59,73;173,771;-0,116;-75,81
"lava_jato";131,409;137,72;-23,91;-9,111;-38,321;-106,937
"dia";38,733;-35,504;11,827;-12,596;1,097;0,064
"caso";236,381;-20,644;-18,774;-0,03;-0,006;-23,948
"rcifrão";-28,142;933,949;-41,265;-66,921;-33,292;-94,813
"pessoa";-7,631;-19,795;92,444;55,538;-10,615;-30,489
"coreia";-104,291;-185,651;-98,939;-120,098;-105,406;2874,386
"stf";306,078;-0,737;-19,828;-19,081;0,149;-50,888
"mesmo";0,02;-14,492;8,347;16,812;0,605;-10,653
"acordo";-2,12;194,37;-26,51;-18,517;-27,629;-0,106
"defesa";425,855;6,823;-74,581;-53,635;-53,289;-0,002
"ver";-11,286;-0,352;81,062;-2,444;-0,648;-4,662
"norte";-91,693;-166,902;-82,049;-111,628;-95,12;2558,848
"dar";-11,231;-1,26;55,376;3,615;0,13;-21,397
"novo";-5,322;-21,788;-2,001;3,876;2,566;26,46
"pedir";35,28;41,034;-9,919;-33,585;-3,505;-5,152
"processo";788,468;-11,356;-33,798;-15,949;-7,324;-106,466
"político";-4,003;0,281;-0,967;100,62;0,933;-72,935
"operação";2,952;345,41;-33,291;-15,589;-42,421;-48,681
"ministério";57,598;57,453;-19,009;-14,881;-7,049;-26,459
"empresa";-50,875;656,829;-21,281;-19,001;-37,372;-58,801
"deputado";-2,845;0;-44,588;-48,015;666,26;-91,554
"trump";-83,05;-156,031;-32,27;-21,418;-59,715;1517,907
"delação";-5,587;914,944;-50,202;-77,04;-50,351;-93,602
"dever";2,386;-41,471;-0,005;8,911;19,871;-1,649
"justiça";265,15;5,113;-18,439;-4,788;-8,084;-76,485
"eua";-76,728;-124,777;-53,19;-43,368;-79,637;1735,332
"odebrecht";-29,255;1106,259;-58,006;-73,41;-57,757;-89,654
