"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"estar";0;0;0;0;0,039;0,05
"dizer";0;0;0,028;0;0,545;0,071
"presidente";0;0,558;0;0;0;0
"lula";0;0;0,058;0;0;0
"michel_temer";0;0;0,001;0,002;0;0
"afirmar";0,074;0;0;0;0,028;0
"ano";0;0;0,027;0,276;0,849;0,001
"governo";0;0;0,059;0,548;0;0,937
"país";0;0;0,956;0;0;0
"público";0;0,009;0,018;0,009;0,006;0
"ministro";0;0,044;0,875;0;0;0
"federal";0;0;0;0;0,956;0
"ex_presidente";0;0;0;0;0;0
"brasil";0;0;0;0;0,734;0
"lava_jato";0;0;0;0,003;0;0
"dia";0;0;0,001;0;0,295;0,8
"caso";0;0;0;0,862;0,939;0
"rcifrão";0;0;0;0;0;0
"pessoa";0,006;0;0;0;0,001;0
"coreia";0;0;0;0;0;0
"stf";0;0,391;0;0;0,699;0
"mesmo";0,888;0;0,004;0;0,437;0,001
"acordo";0,145;0;0;0;0;0,745
"defesa";0;0,009;0;0;0;0,964
"ver";0,001;0,553;0;0,118;0,421;0,031
"norte";0;0;0;0;0;0
"dar";0,001;0,262;0;0,057;0,718;0
"novo";0,021;0;0,157;0,049;0,109;0
"pedir";0;0;0,002;0;0,061;0,023
"processo";0;0,001;0;0;0,007;0
"político";0,045;0,596;0,325;0;0,334;0
"operação";0,086;0;0;0;0;0
"ministério";0;0;0;0;0,008;0
"empresa";0;0;0;0;0;0
"deputado";0,092;0,998;0;0;0;0
"trump";0;0;0;0;0;0
"delação";0,018;0;0;0;0;0
"dever";0,122;0;0,945;0,003;0;0,199
"justiça";0;0,024;0;0,029;0,004;0
"eua";0;0;0;0;0;0
"odebrecht";0;0;0;0;0;0
"decisão";0;0;0;0,183;0,069;0
"querer";0,02;0;0;0,008;0,834;0
"juiz";0;0;0;0;0;0
"receber";0,353;0;0,001;0;0,005;0
"dinheiro";0;0;0,001;0;0;0
"joesley";0;0;0;0;0;0
"ação";0;0,005;0;0,015;0;0
"dilma";0,95;0;0,749;0,009;0,029;0
"senador";0;0;0,001;0;0;0
"sérgio_moro";0;0,074;0;0;0;0
"brasileiro";0,001;0;0;0;0,736;0
"falar";0,003;0,494;0;0,01;0,292;0
"república";0,289;0;0,027;0,101;0,572;0
"corrupção";0;0,279;0,031;0,294;0,001;0
"saber";0;0,15;0;0,044;0,01;0
"ficar";0,01;0,053;0;0,039;0,448;0
"vez";0,968;0;0;0,959;0,122;0,102
"paulo";0,993;0;0,212;0,027;0,015;0
"nuclear";0;0;0;0;0;0
"pt";0,397;0;0,683;0,106;0;0
"só";0,394;0;0;0,63;0,066;0
"aécio";0;0;0,053;0;0,323;0
"investigação";0;0;0;0,984;0;0
"propina";0;0;0;0;0;0
"política";0;0;0,835;0;0,482;0,022
"grupo";0;0;0;0,078;0,227;0,319
"partido";0;0,17;0,001;0,142;0;0
"relação";0,117;0,275;0,001;0,492;0,148;0
"câmara";0,045;0,082;0;0;0;0
"crime";0;0,799;0;0,038;0;0
"míssil";0;0;0;0;0;0
"lei";0;0;0,014;0;0;0
"militar";0;0;0,001;0;0;0
"americano";0;0;0;0;0;0
"unido";0;0;0;0;0;0
"advogado";0;0;0;0;0;0
"contar";0;0;0,599;0,209;0,001;0
"polícia";0,352;0;0,213;0,127;0,053;0
"prisão";0;0,007;0;0;0;0
"momento";0,011;0;0,593;0;0,039;0,24
"depoimento";0;0;0;0;0;0
"porcento";0,001;0,022;0,195;0,091;0;0,907
"passar";0,019;0,019;0;0;0,027;0
"segurança";0,006;0;0,04;0,68;0,346;0
"chegar";0,016;0,334;0;0,059;0,296;0,293
"último";0,191;0,082;0,248;0,186;0,955;0
"fato";0;0,209;0,617;0,884;0,001;0
"empresário";0;0;0;0;0;0
"meio";0,364;0,289;0,044;0;0,021;0,142
"grande";0;0,001;0,48;0;0,22;0,222
"deixar";0,367;0;0,297;0,024;0,039;0,552
"jbs";0;0;0;0;0;0
"pedido";0;0;0;0;0,004;0
"maior";0,006;0,906;0,225;0;0,012;0,113
"reforma";0;0;0;0,02;0;0
"ataque";0;0;0;0;0;0
"nacional";0;0,207;0,032;0,519;0;0,2
"direito";0,508;0;0,637;0;0,243;0
"vir";0,098;0,705;0;0,063;0,142;0,07
"pagar";0;0;0,014;0;0;0
"nota";0;0;0;0;0,011;0
"casa";0;0,905;0,048;0,073;0;0,192
"mundo";0;0;0,076;0,084;0;0
"precisar";0;0;0;0;0,316;0
"defender";0,019;0;0,025;0,878;0;0,326
"semana";0,015;0,023;0,004;0,007;0;0
"denúncia";0;0;0;0;0,506;0
"campanha";0,004;0;0,017;0;0,38;0
