"";"x"
"1";3
"2";4
"3";3
"4";5
"5";5
"6";5
"7";5
"8";0
"9";2
"10";4
"11";3
"12";1
"13";0
"14";1
"15";1
"16";1
"17";0
"18";0
"19";0
"20";0
"21";0
"22";0
"23";0
"24";3
"25";0
"26";4
"27";4
"28";0
"29";3
"30";1
"31";1
"32";2
"33";1
"34";1
"35";1
"36";5
"37";4
"38";4
"39";4
"40";0
"41";1
"42";3
"43";3
"44";3
"45";3
"46";2
"47";3
"48";3
"49";5
"50";5
"51";3
"52";5
"53";5
"54";3
"55";3
"56";3
"57";4
"58";1
"59";4
"60";3
"61";2
"62";2
"63";2
"64";2
"65";2
"66";2
"67";2
"68";0
"69";3
"70";3
"71";3
"72";3
"73";3
"74";0
"75";3
"76";3
"77";2
"78";2
"79";3
"80";1
"81";4
"82";1
"83";1
"84";1
"85";3
"86";0
"87";0
"88";0
"89";0
"90";3
"91";3
"92";3
"93";4
"94";4
"95";3
"96";0
"97";0
"98";3
"99";0
"100";0
"101";5
"102";3
"103";6
"104";6
"105";6
"106";6
"107";6
"108";6
"109";6
"110";3
"111";1
"112";1
"113";4
"114";0
"115";5
"116";1
"117";0
"118";1
"119";0
"120";4
"121";3
"122";4
"123";3
"124";6
"125";3
"126";0
"127";1
"128";0
"129";5
"130";3
"131";4
"132";4
"133";0
"134";3
"135";6
"136";5
"137";0
"138";0
"139";0
"140";3
"141";3
"142";5
"143";3
"144";4
"145";3
"146";3
"147";3
"148";3
"149";3
"150";0
"151";2
"152";2
"153";2
"154";5
"155";2
"156";3
"157";2
"158";4
"159";1
"160";0
"161";1
"162";4
"163";4
"164";0
"165";2
"166";0
"167";2
"168";0
"169";4
"170";4
"171";0
"172";1
"173";0
"174";5
"175";4
"176";2
"177";2
"178";4
"179";4
"180";0
"181";2
"182";0
"183";6
"184";4
"185";4
"186";4
"187";0
"188";0
"189";4
"190";0
"191";0
"192";1
"193";1
"194";3
"195";3
"196";3
"197";3
"198";1
"199";1
"200";1
"201";4
"202";3
"203";0
"204";0
"205";0
"206";3
"207";0
"208";3
"209";3
"210";0
"211";5
"212";5
"213";5
"214";5
"215";2
"216";2
"217";2
"218";0
"219";0
"220";2
"221";3
"222";0
"223";1
"224";4
"225";0
"226";4
"227";2
"228";0
"229";0
"230";0
"231";2
"232";0
"233";0
"234";0
"235";2
"236";2
"237";0
"238";2
"239";2
"240";3
