"";"";"";"";"pyongyang";""
"1";"pyongyang";"-2.92554914879221";"-1.37107643879057";"1.33776980526521";"28"
"2";"lançamento";"-2.68167802078913";"-1.17169007516478";"1.11805872403175";"60"
"3";"químico";"-2.6861101805377";"-1.4362440753277";"1.10956748926573";"64"
"4";"sanção";"-2.67162528926911";"-1.24118768959682";"1.04472068352344";"89"
"5";"assad";"-2.70064473629542";"-1.35731141194744";"0.996111341458126";"118"
"6";"contrato";"1.27896270176732";"-2.0464260827943";"0.989007832762285";"124"
"7";"tensão";"-2.7218230304682";"-1.12110823738904";"0.980990623238062";"129"
"8";"porta_aviões";"-2.94377572792077";"-1.39344011626083";"0.96474781628139";"143"
"9";"execução";"1.08120614904372";"-0.0852078820492421";"0.944283055037516";"164"
"10";"tillerson";"-2.86929152474801";"-1.31445104407836";"0.934597978921803";"176"
"11";"japonês";"-2.54529563605574";"-1.26397611429193";"0.931184386520363";"183"
"12";"norte_coreana";"-2.83010568649361";"-1.42164816612691";"0.927416611007503";"188"
"13";"intercontinental";"-2.94377572792077";"-1.39344011626083";"0.925192280001735";"192"
"14";"benjamin";"1.07668595707223";"-0.411388406450713";"0.917214763412413";"203"
"15";"jinping";"-2.86514105796615";"-1.29695682203197";"0.916650665741424";"207"
"16";"jon_un";"-2.86514105796615";"-1.29695682203197";"0.916650665741424";"208"
"17";"bashar";"-2.94377572792077";"-1.39344011626083";"0.914418701478944";"211"
"18";"absolver";"1.18098694488666";"-0.402580122978033";"0.912710378626881";"219"
"19";"guarujá";"1.22547113922548";"-0.314306548391925";"0.911005109077504";"222"
"20";"foguete";"-2.86037532039314";"-1.29110934965446";"0.909478457735178";"227"
"21";"mendes";"0.964321659054984";"0.193712281531859";"0.906863303985774";"232"
"22";"lava_jato";"1.02038912691155";"-0.751308694818058";"0.906361799019821";"233"
"23";"reino";"-2.839416157077";"-1.26470925909953";"0.905893880383398";"236"
"24";"pentágono";"-2.8577690576579";"-1.28791151319801";"0.905893880383398";"238"
"25";"moscou";"-2.84446345702376";"-1.28812135335087";"0.898727778982522";"257"
"26";"asiático";"-2.60206127864505";"-1.3635650839821";"0.896922513770222";"263"
"27";"al_assad";"-2.94377572792077";"-1.39344011626083";"0.896476731578263";"265"
"28";"doleiro";"1.34132447586728";"-2.35684681162808";"0.89346159517717";"275"
"29";"paulsen";"1.16106052928301";"-0.209861924294591";"0.891222760983649";"278"
"30";"geddel";"1.26750900828349";"-2.01253420308493";"0.888953393763282";"282"
"31";"cassação";"1.0242852317054";"0.142478471342415";"0.88457953766752";"289"
"32";"gravação";"1.22545577628341";"-1.63151225021141";"0.884552821269029";"290"
"33";"ex_deputado";"1.26964828486329";"-1.75321328131481";"0.884384889621373";"291"
"34";"criminoso";"1.07611931025271";"-0.804631045278605";"0.884278787353082";"292"
"35";"martins";"1.12434232003667";"-0.266153356911762";"0.882895641236935";"296"
"36";"investigação";"0.843995396546318";"-0.858558262034493";"0.882678856746324";"298"
"37";"legislativo";"0.376174165930231";"1.94811606055025";"0.88178347573405";"300"
"38";"fiscal";"1.03481142306692";"-1.05525138871758";"0.881427002645617";"301"
"39";"compra";"1.1053466153357";"-1.748487730851";"0.879656850414191";"304"
"40";"rousseff";"1.06699392720396";"-1.02308690745254";"0.878751546168192";"309"
"41";"planilha";"1.34599023094078";"-2.30803409226064";"0.878031730060285";"312"
"42";"leandro";"1.22547113922548";"-0.314306548391924";"0.869274857960706";"327"
"43";"absolvição";"1.25159543610999";"-0.688400368005839";"0.867580274970725";"330"
"44";"psd";"0.56386529448971";"1.72904764022571";"0.86660550808865";"331"
"45";"inocência";"0.979227019187237";"0.0193511574656795";"0.865911645053563";"332"
"46";"alegação";"0.88140312930959";"-0.769770168868309";"0.864925428286421";"334"
"47";"revisor";"1.22547113922548";"-0.314306548391924";"0.864642234462419";"336"
"48";"constitucional";"-0.00861170421131255";"1.97251284416556";"0.855236535542352";"361"
"49";"constituição";"-0.00482364480652655";"1.69036623711139";"0.854478553150887";"363"
"50";"favorável";"0.346564635931224";"1.31009616194369";"0.853199219326018";"367"
"51";"foro";"0.335058693401464";"1.87718532181501";"0.852976328230039";"369"
"52";"aprovação";"0.371489958799667";"1.13428248320758";"0.851377160948953";"371"
"53";"discurso";"-0.126446731329158";"1.54164909145943";"0.849068864119356";"374"
"54";"andar";"0.183931290185692";"1.72520211635194";"0.848942152057943";"375"
"55";"cidadão";"-0.176187493763671";"1.25069203526286";"0.848049824348354";"381"
"56";"botar";"0.250220734560242";"1.29000414871712";"0.847780370386434";"382"
"57";"preciso";"0.107221412736761";"1.33391177985152";"0.847317795029709";"384"
"58";"gosto";"0.0495906581044009";"1.890036134467";"0.846317838400486";"386"
"59";"comida";"0.0444579630955865";"1.8446012345431";"0.845916329097454";"387"
"60";"precisar";"-0.0857572065407068";"1.25496929120725";"0.845517873097107";"388"
"61";"crer";"-0.00691893905268213";"1.33891580970039";"0.845442303855662";"389"
"62";"responsabilidade";"-0.102583621989424";"1.22997356542198";"0.84041885761374";"404"
"63";"roubar";"0.315233052787917";"1.17870212107536";"0.839847126686039";"406"
"64";"intolerância";"-0.0741202725636901";"1.80382274311709";"0.839597519191569";"409"
"65";"melhor";"-0.252806303173663";"1.15259265972844";"0.839147157045583";"410"
"66";"mexer";"0.0355923989894532";"1.76612277103818";"0.838720457995403";"411"
"67";"livro";"-0.195098277764333";"1.63123563173742";"0.838191473305287";"412"
"68";"pobre";"-0.245006413769788";"1.58810030523904";"0.838179260094548";"413"
