"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"6";"***";"";""
"**";"classe";"1";"**";"";""
"****";"1500";"10578";"14.18";"****";""
"  0";" 594";" 0.00";"-103.99";"coreia";"2.034642e-24"
" 23";" 839";" 2.74";" -97.98";"governo";"4.218256e-23"
"  4";" 578";" 0.69";" -91.41";"norte";"1.170344e-21"
"  2";" 507";" 0.39";" -83.16";"trump";"7.552569e-20"
" 29";" 821";" 3.53";" -82.93";"país";"8.510641e-20"
"  4";" 496";" 0.81";" -76.49";"eua";"2.217815e-18"
"152";"1865";" 8.15";" -67.66";"estar";"1.946088e-16"
"  0";" 389";" 0.00";" -66.73";"nuclear";"3.113226e-16"
"  0";" 366";" 0.00";" -62.64";"míssil";"2.477410e-15"
"  3";" 370";" 0.81";" -56.32";"americano";"6.173981e-14"
" 96";"1295";" 7.41";" -55.53";"presidente";"9.200137e-14"
"  3";" 353";" 0.85";" -53.33";"unido";"2.826207e-13"
"  9";" 419";" 2.15";" -51.90";"joesley";"5.829496e-13"
"  7";" 387";" 1.81";" -50.52";"empresa";"1.178795e-12"
"186";"2005";" 9.28";" -48.88";"dizer";"2.720532e-12"
"  4";" 310";" 1.29";" -43.60";"militar";"4.022625e-11"
"  3";" 291";" 1.03";" -42.52";"ataque";"7.012025e-11"
"  0";" 250";" 0.00";" -42.31";"kim";"7.794994e-11"
"  4";" 278";" 1.44";" -38.09";"jbs";"6.765058e-10"
"  0";" 224";" 0.00";" -37.81";"china";"7.784949e-10"
"  0";" 223";" 0.00";" -37.64";"sírio";"8.504474e-10"
"  2";" 224";" 0.89";" -33.20";"sul";"8.308941e-09"
"  9";" 303";" 2.97";" -32.21";"grupo";"1.382894e-08"
"  2";" 218";" 0.92";" -32.17";"aécio";"1.409606e-08"
" 32";" 538";" 5.95";" -31.57";"brasil";"1.926803e-08"
"  3";" 227";" 1.32";" -31.52";"batista";"1.974948e-08"
"  1";" 198";" 0.51";" -31.01";"gente";"2.569806e-08"
" 14";" 351";" 3.99";" -30.99";"propina";"2.596876e-08"
"  5";" 240";" 2.08";" -29.53";"mundo";"5.506013e-08"
" 20";" 404";" 4.95";" -29.40";"odebrecht";"5.874698e-08"
"  2";" 200";" 1.00";" -29.10";"arma";"6.871777e-08"
"  5";" 237";" 2.11";" -29.03";"reforma";"7.143653e-08"
" 24";" 436";" 5.50";" -28.13";"rcifrão";"1.136611e-07"
"  2";" 191";" 1.05";" -27.57";"guerra";"1.516080e-07"
"  1";" 171";" 0.58";" -26.40";"teste";"2.776165e-07"
"  1";" 169";" 0.59";" -26.06";"rússia";"3.311173e-07"
" 18";" 359";" 5.01";" -25.66";"política";"4.076703e-07"
"  0";" 151";" 0.00";" -25.31";"pyongyang";"4.877279e-07"
" 63";" 769";" 8.19";" -24.43";"michel_temer";"7.692696e-07"
" 14";" 304";" 4.61";" -23.58";"senador";"1.198024e-06"
"  4";" 191";" 2.09";" -23.35";"conversa";"1.351932e-06"
"  0";" 139";" 0.00";" -23.27";"donald";"1.405274e-06"
"  5";" 200";" 2.50";" -22.85";"crise";"1.748001e-06"
"  0";" 128";" 0.00";" -21.41";"norte_coreano";"3.710070e-06"
"  5";" 191";" 2.62";" -21.37";"candidato";"3.788739e-06"
" 21";" 359";" 5.85";" -21.19";"saber";"4.153264e-06"
"  5";" 189";" 2.65";" -21.04";"social";"4.498271e-06"
"  0";" 125";" 0.00";" -20.90";"previdência";"4.835614e-06"
"  8";" 220";" 3.64";" -20.53";"líder";"5.885089e-06"
"  9";" 231";" 3.90";" -20.52";"casa";"5.887115e-06"
" 12";" 262";" 4.58";" -20.35";"precisar";"6.462379e-06"
"  0";" 119";" 0.00";" -19.89";"jong_un";"8.217251e-06"
"  8";" 215";" 3.72";" -19.73";"situação";"8.924886e-06"
"  0";" 116";" 0.00";" -19.38";"russo";"1.071377e-05"
"  4";" 167";" 2.40";" -19.37";"dono";"1.079499e-05"
"  6";" 186";" 3.23";" -18.67";"aprovar";"1.554462e-05"
"  2";" 138";" 1.45";" -18.62";"programa";"1.593231e-05"
"  0";" 111";" 0.00";" -18.54";"balístico";"1.667650e-05"
"  6";" 185";" 3.24";" -18.51";"congresso";"1.691646e-05"
"  0";" 107";" 0.00";" -17.86";"japão";"2.376699e-05"
"  5";" 169";" 2.96";" -17.77";"bom";"2.490465e-05"
"  1";" 119";" 0.84";" -17.60";"lançar";"2.726608e-05"
"  1";" 116";" 0.86";" -17.10";"rodrigo";"3.555479e-05"
"  9";" 208";" 4.33";" -16.93";"achar";"3.883667e-05"
" 11";" 228";" 4.82";" -16.76";"pagar";"4.240708e-05"
" 12";" 236";" 5.08";" -16.41";"coisa";"5.102191e-05"
"  8";" 193";" 4.15";" -16.27";"pouco";"5.497786e-05"
"  3";" 136";" 2.21";" -16.23";"encontrar";"5.601005e-05"
"  1";" 109";" 0.92";" -15.92";"lançamento";"6.609304e-05"
"  0";"  94";" 0.00";" -15.67";"viver";"7.535839e-05"
"  5";" 154";" 3.25";" -15.35";"maia";"8.926208e-05"
"  0";"  91";" 0.00";" -15.17";"onu";"9.841723e-05"
"  7";" 173";" 4.05";" -14.84";"problema";"1.168734e-04"
"  2";" 115";" 1.74";" -14.79";"intervenção";"1.203224e-04"
" 17";" 274";" 6.20";" -14.70";"grande";"1.257608e-04"
" 25";" 349";" 7.16";" -14.60";"partido";"1.327300e-04"
" 11";" 213";" 5.16";" -14.52";"conseguir";"1.386645e-04"
"  1";" 100";" 1.00";" -14.41";"químico";"1.469098e-04"
"  0";"  86";" 0.00";" -14.33";"coréia";"1.536734e-04"
"  0";"  85";" 0.00";" -14.16";"mundial";"1.680168e-04"
" 10";" 200";" 5.00";" -14.12";"nacional";"1.717132e-04"
" 20";" 298";" 6.71";" -14.06";"contar";"1.774117e-04"
"  0";"  83";" 0.00";" -13.82";"aéreo";"2.008691e-04"
"  0";"  82";" 0.00";" -13.66";"neve";"2.196447e-04"
"  6";" 154";" 3.90";" -13.58";"entrevista";"2.283693e-04"
"  0";"  81";" 0.00";" -13.49";"washington";"2.401857e-04"
"  2";" 106";" 1.89";" -13.30";"votação";"2.657934e-04"
"  0";"  79";" 0.00";" -13.15";"chinês";"2.872497e-04"
" 19";" 281";" 6.76";" -13.06";"empresário";"3.023967e-04"
"  2";" 104";" 1.92";" -12.97";"maneira";"3.170298e-04"
" 12";" 211";" 5.69";" -12.76";"projeto";"3.538461e-04"
"  1";"  90";" 1.11";" -12.74";"violência";"3.578511e-04"
"  6";" 148";" 4.05";" -12.65";"internacional";"3.760372e-04"
" 10";" 190";" 5.26";" -12.64";"colocar";"3.772130e-04"
"  1";"  89";" 1.12";" -12.57";"exército";"3.912486e-04"
"  2";" 101";" 1.98";" -12.47";"aliado";"4.130354e-04"
"  8";" 168";" 4.76";" -12.44";"ameaça";"4.194109e-04"
"  9";" 178";" 5.06";" -12.39";"senado";"4.327373e-04"
" 13";" 218";" 5.96";" -12.35";"força";"4.410323e-04"
"  0";"  74";" 0.00";" -12.31";"fazenda";"4.496930e-04"
"  0";"  73";" 0.00";" -12.15";"carne";"4.919461e-04"
"  6";" 144";" 4.17";" -12.03";"reunião";"5.237823e-04"
"  0";"  72";" 0.00";" -11.98";"difícil";"5.382003e-04"
" 14";" 225";" 6.22";" -11.96";"acontecer";"5.424342e-04"
"  1";"  85";" 1.18";" -11.91";"funaro";"5.592862e-04"
"  4";" 121";" 3.31";" -11.89";"povo";"5.631066e-04"
