"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"estar";-67,657;-60,83;14,725;175,279;-3,959;3,607
"dizer";-48,88;48,59;-16,353;2,011;-0,381;3,25
"presidente";-55,531;-0,288;-17,987;-22,197;129,727;28,694
"lula";588,877;26,965;-45,755;-9,181;-15,163;-226,708
"michel_temer";-24,433;78,077;-14,161;-6,145;210,678;-162,031
"afirmar";-3,289;30,902;-27,375;-37,53;4,263;18,96
"ano";37,966;-21,47;0,515;6,366;-0,047;-11,404
"governo";-97,984;-31,682;0,022;-2,04;320,967;-0,006
"país";-82,928;-83,32;62,853;-0,311;-19,747;239,703
"público";115,099;6,547;6,291;-4,421;-6,73;-113,883
"ministro";80,193;-4,147;-17,801;-0,036;26,787;-42,642
"federal";216,662;69,173;-36,412;-41,555;0,002;-118,796
"ex_presidente";427,631;40,741;-60,01;-35,79;-11,178;-97,763
"brasil";-31,567;-26,177;153,166;64,912;0,015;-75,488
"lava_jato";132,853;139,495;-12,568;-20,464;-37,428;-106,384
"dia";38,156;-35,904;-11,334;9,197;1,452;0,046
"caso";235,469;-20,781;-1,046;-10,134;-0,026;-24,067
"rcifrão";-28,126;933,402;-65,894;-42,375;-32,794;-94,758
"pessoa";-7,709;-19,951;57,746;81,83;-8,72;-30,634
"coreia";-103,989;-185,049;-112,007;-108,934;-104,282;2882,28
"stf";304,957;-0,763;-16,84;-18,238;0,002;-50,963
"mesmo";0,016;-14,616;3,795;18,562;2,576;-10,744
"acordo";-2,062;195,485;-16,762;-29,756;-26,965;-0,09
"defesa";427,578;6,993;-54,742;-74,213;-52,422;0
"ver";-10,642;-0,193;-1,15;63,7;-1,067;-4,155
"norte";-91,406;-166,33;-108,683;-86,989;-94,043;2566,003
"dar";-11,003;-1,144;0,13;73,302;0,216;-21,05
"novo";-5,316;-21,764;1,411;-0,347;2,77;26,459
"pedir";35,275;41,017;-32,275;-11,194;-3,31;-5,147
"processo";799,195;-10,736;-13,016;-41,482;-7,388;-105,446
"político";-3,591;0,478;93,487;-1,109;1,66;-71,526
"operação";2,868;343,182;-14,811;-32,464;-42,106;-48,882
"ministério";57,542;57,37;-17,375;-16,207;-6,806;-26,458
