"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";0;0;0;0;0;0;4;4;4
"2";0;0;0;0;0;0;3;3;3
"3";0;0;0;0;0;0;4;4;4
"4";0;0;5;5;5;5;5;5;5
"5";0;0;5;5;5;5;5;5;5
"6";0;0;5;5;5;5;5;5;5
"7";0;0;5;5;5;5;5;5;5
"8";0;0;0;0;0;0;0;0;0
"9";0;0;0;0;0;0;0;2;2
"10";0;0;0;0;0;0;3;3;3
"11";0;0;0;0;0;0;4;4;4
"12";0;0;0;0;0;0;0;0;1
"13";0;0;0;0;0;0;0;0;0
"14";0;0;0;0;0;0;0;0;1
"15";0;0;0;0;0;0;0;0;1
"16";0;0;0;0;0;0;0;0;1
"17";0;0;0;0;0;0;0;0;0
"18";0;0;0;0;0;0;0;0;0
"19";0;0;0;0;0;0;0;0;0
"20";0;0;0;0;0;0;0;0;0
"21";0;0;0;0;0;0;0;0;0
"22";0;0;0;0;0;0;0;0;0
"23";0;0;0;0;0;0;0;0;0
"24";0;0;0;0;0;0;4;4;4
"25";0;0;0;0;0;0;0;0;0
"26";0;0;0;0;0;0;4;4;4
"27";0;0;0;0;0;0;3;3;3
"28";0;0;0;0;0;0;0;0;0
"29";0;0;0;0;0;0;4;4;4
"30";0;0;0;0;0;0;0;0;1
"31";0;0;0;0;0;0;0;0;1
"32";0;0;0;0;0;0;0;2;2
"33";0;0;0;0;0;0;0;0;1
"34";0;0;0;0;0;0;0;0;1
"35";0;0;0;0;0;0;0;0;1
"36";0;0;5;5;5;5;5;5;5
"37";0;0;0;0;0;0;3;3;3
"38";0;0;0;0;0;0;3;3;3
"39";0;0;0;0;0;0;3;3;3
"40";0;0;0;0;0;0;0;0;0
"41";0;0;0;0;0;0;0;0;1
"42";0;0;0;0;0;0;4;4;4
"43";0;0;0;0;0;0;4;4;4
"44";0;0;0;0;0;0;4;4;4
"45";0;0;0;0;0;0;4;4;4
"46";0;0;0;0;0;0;0;2;2
"47";0;0;0;0;0;0;4;4;4
"48";0;0;0;0;0;0;4;4;4
"49";0;0;5;5;5;5;5;5;5
"50";0;0;5;5;5;5;5;5;5
"51";0;0;0;0;0;0;4;4;4
"52";0;0;5;5;5;5;5;5;5
"53";0;0;5;5;5;5;5;5;5
"54";0;0;0;0;0;0;4;4;4
"55";0;0;0;0;0;0;4;4;4
"56";0;0;0;0;0;0;3;3;3
"57";0;0;0;0;0;0;3;3;3
"58";0;0;0;0;0;0;0;0;1
"59";0;0;0;0;0;0;3;3;3
"60";0;0;0;0;0;0;4;4;4
"61";0;0;0;0;0;0;0;2;2
"62";0;0;0;0;0;0;0;2;2
"63";0;0;0;0;0;0;0;2;2
"64";0;0;0;0;0;0;0;2;2
"65";0;0;0;0;0;0;0;2;2
"66";0;0;0;0;0;0;0;2;2
"67";0;0;0;0;0;0;0;2;2
"68";0;0;0;0;0;0;0;0;0
"69";0;0;0;0;0;0;4;4;4
"70";0;0;0;0;0;0;4;4;4
"71";0;0;0;0;0;0;4;4;4
"72";0;0;0;0;0;0;4;4;4
"73";0;0;0;0;0;0;4;4;4
"74";0;0;0;0;0;0;0;0;0
"75";0;0;0;0;0;0;4;4;4
"76";0;0;0;0;0;0;4;4;4
"77";0;0;0;0;0;0;0;2;2
"78";0;0;0;0;0;0;0;2;2
"79";0;0;0;0;0;0;4;4;4
"80";0;0;0;0;0;0;0;0;1
"81";0;0;0;0;0;0;4;4;4
"82";0;0;0;0;0;0;0;0;1
"83";0;0;0;0;0;0;0;0;1
"84";0;0;0;0;0;0;0;0;1
"85";0;0;0;0;0;0;4;4;4
"86";0;0;0;0;0;0;0;0;0
"87";0;0;0;0;0;0;0;0;0
"88";0;0;0;0;0;0;0;0;0
"89";0;0;0;0;0;0;0;0;0
"90";0;0;0;0;0;0;4;4;4
"91";0;0;0;0;0;0;4;4;4
"92";0;0;0;0;0;0;4;4;4
"93";0;0;0;0;0;0;3;3;3
"94";0;0;0;0;0;0;3;3;3
"95";0;0;0;0;0;0;4;4;4
"96";0;0;0;0;0;0;0;0;0
"97";0;0;0;0;0;0;0;0;0
"98";0;0;0;0;0;0;4;4;4
"99";0;0;0;0;0;0;0;0;0
"100";0;0;0;0;0;0;0;0;0
"101";0;0;5;5;5;5;5;5;5
"102";0;0;0;0;0;0;4;4;4
"103";6;6;6;6;6;6;6;6;6
"104";6;6;6;6;6;6;6;6;6
"105";6;6;6;6;6;6;6;6;6
"106";6;6;6;6;6;6;6;6;6
"107";6;6;6;6;6;6;6;6;6
"108";6;6;6;6;6;6;6;6;6
"109";6;6;6;6;6;6;6;6;6
"110";0;0;0;0;0;0;4;4;4
"111";0;0;0;0;0;0;0;0;1
"112";0;0;0;0;0;0;0;0;1
"113";0;0;0;0;0;0;3;3;3
"114";0;0;0;0;0;0;0;0;0
"115";0;0;5;5;5;5;5;5;5
"116";0;0;0;0;0;0;0;0;1
"117";0;0;0;0;0;0;0;0;0
"118";0;0;0;0;0;0;0;0;1
"119";0;0;0;0;0;0;0;0;0
"120";0;0;0;0;0;0;3;3;3
"121";0;0;0;0;0;0;4;4;4
"122";0;0;0;0;0;0;3;3;3
"123";0;0;0;0;0;0;4;4;4
"124";6;6;6;6;6;6;6;6;6
"125";0;0;0;0;0;0;4;4;4
"126";0;0;0;0;0;0;0;0;0
"127";0;0;0;0;0;0;0;0;1
"128";0;0;0;0;0;0;0;0;0
"129";0;0;5;5;5;5;5;5;5
"130";0;0;0;0;0;0;4;4;4
"131";0;0;0;0;0;0;3;3;3
"132";0;0;0;0;0;0;3;3;3
"133";0;0;0;0;0;0;0;0;0
"134";0;0;0;0;0;0;4;4;4
"135";6;6;6;6;6;6;6;6;6
"136";0;0;5;5;5;5;5;5;5
"137";0;0;0;0;0;0;0;0;0
"138";0;0;0;0;0;0;0;0;0
"139";0;0;0;0;0;0;0;0;0
"140";0;0;0;0;0;0;4;4;4
"141";0;0;0;0;0;0;4;4;4
"142";0;0;5;5;5;5;5;5;5
"143";0;0;0;0;0;0;4;4;4
"144";0;0;0;0;0;0;3;3;3
"145";0;0;0;0;0;0;4;4;4
"146";0;0;0;0;0;0;4;4;4
"147";0;0;0;0;0;0;4;4;4
"148";0;0;0;0;0;0;4;4;4
"149";0;0;0;0;0;0;4;4;4
"150";0;0;0;0;0;0;0;0;0
"151";0;0;0;0;0;0;0;2;2
"152";0;0;0;0;0;0;0;2;2
"153";0;0;0;0;0;0;0;2;2
"154";0;0;5;5;5;5;5;5;5
"155";0;0;0;0;0;0;0;2;2
"156";0;0;0;0;0;0;4;4;4
"157";0;0;0;0;0;0;0;2;2
"158";0;0;0;0;0;0;3;3;3
"159";0;0;0;0;0;0;0;0;1
"160";0;0;0;0;0;0;0;0;0
"161";0;0;0;0;0;0;0;0;1
"162";0;0;0;0;0;0;3;3;3
"163";0;0;0;0;0;0;3;3;3
"164";0;0;0;0;0;0;0;0;0
"165";0;0;0;0;0;0;0;2;2
"166";0;0;0;0;0;0;0;0;0
"167";0;0;0;0;0;0;0;2;2
"168";0;0;0;0;0;0;0;0;0
"169";0;0;0;0;0;0;3;3;3
"170";0;0;0;0;0;0;3;3;3
"171";0;0;0;0;0;0;0;0;0
"172";0;0;0;0;0;0;0;0;1
"173";0;0;0;0;0;0;0;0;0
"174";0;0;5;5;5;5;5;5;5
"175";0;0;0;0;0;0;3;3;3
"176";0;0;0;0;0;0;0;2;2
"177";0;0;0;0;0;0;0;2;2
"178";0;0;0;0;0;0;3;3;3
"179";0;0;0;0;0;0;4;4;4
"180";0;0;0;0;0;0;0;0;0
"181";0;0;0;0;0;0;0;2;2
"182";0;0;0;0;0;0;0;0;0
"183";6;6;6;6;6;6;6;6;6
"184";0;0;0;0;0;0;3;3;3
"185";0;0;0;0;0;0;3;3;3
"186";0;0;0;0;0;0;3;3;3
"187";0;0;0;0;0;0;0;0;0
"188";0;0;0;0;0;0;0;0;0
"189";0;0;0;0;0;0;3;3;3
"190";0;0;0;0;0;0;0;0;0
"191";0;0;0;0;0;0;0;0;0
"192";0;0;0;0;0;0;0;0;1
"193";0;0;0;0;0;0;0;0;1
"194";0;0;0;0;0;0;4;4;4
"195";0;0;0;0;0;0;4;4;4
"196";0;0;0;0;0;0;4;4;4
"197";0;0;0;0;0;0;4;4;4
"198";0;0;0;0;0;0;0;0;1
"199";0;0;0;0;0;0;0;0;1
"200";0;0;0;0;0;0;0;0;1
"201";0;0;0;0;0;0;3;3;3
"202";0;0;0;0;0;0;4;4;4
"203";0;0;0;0;0;0;0;0;0
"204";0;0;0;0;0;0;0;0;0
"205";0;0;0;0;0;0;0;0;0
"206";0;0;0;0;0;0;4;4;4
"207";0;0;0;0;0;0;0;0;0
"208";0;0;0;0;0;0;4;4;4
"209";0;0;0;0;0;0;3;3;3
"210";0;0;0;0;0;0;0;0;0
"211";0;0;5;5;5;5;5;5;5
"212";0;0;5;5;5;5;5;5;5
"213";0;0;5;5;5;5;5;5;5
"214";0;0;5;5;5;5;5;5;5
"215";0;0;0;0;0;0;0;2;2
"216";0;0;0;0;0;0;0;2;2
"217";0;0;0;0;0;0;0;2;2
"218";0;0;0;0;0;0;0;0;0
"219";0;0;0;0;0;0;0;0;0
"220";0;0;0;0;0;0;0;2;2
"221";0;0;0;0;0;0;4;4;4
"222";0;0;0;0;0;0;0;0;0
"223";0;0;0;0;0;0;0;0;1
"224";0;0;0;0;0;0;3;3;3
"225";0;0;0;0;0;0;0;0;0
"226";0;0;0;0;0;0;3;3;3
"227";0;0;0;0;0;0;0;2;2
"228";0;0;0;0;0;0;0;0;0
"229";0;0;0;0;0;0;0;0;0
"230";0;0;0;0;0;0;0;0;0
"231";0;0;0;0;0;0;0;2;2
"232";0;0;0;0;0;0;0;0;0
"233";0;0;0;0;0;0;0;0;0
"234";0;0;0;0;0;0;0;0;0
"235";0;0;0;0;0;0;0;2;2
"236";0;0;0;0;0;0;0;2;2
"237";0;0;0;0;0;0;0;0;0
"238";0;0;0;0;0;0;0;2;2
"239";0;0;0;0;0;0;0;2;2
"240";0;0;0;0;0;0;4;4;4
"241";0;0;0;0;0;0;0;0;0
"242";0;0;0;0;0;0;0;0;0
"243";0;0;0;0;0;0;4;4;4
"244";0;0;0;0;0;0;0;0;0
"245";0;0;0;0;0;0;3;3;3
"246";0;0;0;0;0;0;4;4;4
"247";0;0;5;5;5;5;5;5;5
"248";0;0;0;0;0;0;0;0;0
"249";0;0;0;0;0;0;0;0;1
"250";0;0;0;0;0;0;0;0;1
"251";0;0;0;0;0;0;0;2;2
"252";0;0;0;0;0;0;0;2;2
"253";0;0;0;0;0;0;0;2;2
"254";0;0;0;0;0;0;4;4;4
"255";0;0;0;0;0;0;4;4;4
"256";0;0;0;0;0;0;4;4;4
"257";0;0;0;0;0;0;4;4;4
"258";0;0;0;0;0;0;0;0;1
"259";0;0;0;0;0;0;0;0;1
"260";0;0;0;0;0;0;0;0;1
"261";0;0;0;0;0;0;3;3;3
"262";0;0;0;0;0;0;0;0;0
"263";0;0;0;0;0;0;3;3;3
"264";0;0;0;0;0;0;0;0;0
"265";0;0;0;0;0;0;4;4;4
"266";0;0;0;0;0;0;3;3;3
"267";0;0;0;0;0;0;3;3;3
"268";0;0;0;0;0;0;0;0;0
"269";0;0;0;0;0;0;0;0;0
"270";0;0;0;0;0;0;3;3;3
"271";0;0;0;0;0;0;0;0;0
"272";0;0;0;0;0;0;0;2;2
"273";0;0;0;0;0;0;0;2;2
"274";0;0;0;0;0;0;4;4;4
"275";0;0;0;0;0;0;3;3;3
"276";0;0;0;0;0;0;4;4;4
"277";0;0;0;0;0;0;4;4;4
"278";0;0;0;0;0;0;3;3;3
"279";0;0;0;0;0;0;4;4;4
"280";0;0;0;0;0;0;4;4;4
"281";0;0;0;0;0;0;0;0;0
"282";0;0;0;0;0;0;0;0;0
"283";0;0;0;0;0;0;3;3;3
"284";0;0;0;0;0;0;3;3;3
"285";0;0;0;0;0;0;3;3;3
"286";0;0;5;5;5;5;5;5;5
"287";0;0;0;0;0;0;4;4;4
"288";0;0;0;0;0;0;3;3;3
"289";0;0;0;0;0;0;0;2;2
"290";0;0;0;0;0;0;0;0;0
"291";0;0;0;0;0;0;0;2;2
"292";0;0;0;0;0;0;0;0;0
"293";0;0;0;0;0;0;0;0;0
"294";0;0;0;0;0;0;0;0;0
"295";0;0;0;0;0;0;0;0;1
"296";0;0;0;0;0;0;0;0;1
"297";0;0;0;0;0;0;0;0;1
"298";0;0;0;0;0;0;0;0;1
"299";0;0;0;0;0;0;0;0;1
"300";0;0;0;0;0;0;0;0;1
"301";0;0;0;0;0;0;0;2;2
"302";0;0;0;0;0;0;0;0;1
"303";0;0;0;0;0;0;0;2;2
"304";0;0;0;0;0;0;0;2;2
"305";0;0;0;0;0;0;0;2;2
"306";0;0;0;0;0;0;0;0;1
"307";0;0;0;0;0;0;0;0;1
"308";0;0;0;0;0;0;0;0;1
"309";0;0;0;0;0;0;0;0;0
"310";0;0;0;0;0;0;0;0;0
"311";0;0;0;0;0;0;4;4;4
"312";0;0;0;0;0;0;0;0;1
"313";0;0;0;0;0;0;4;4;4
"314";0;0;0;0;0;0;0;0;1
"315";0;0;0;0;0;0;3;3;3
"316";0;0;0;0;0;0;3;3;3
"317";0;0;0;0;0;0;0;0;0
"318";0;0;0;0;0;0;0;0;0
"319";0;0;0;0;0;0;0;0;0
"320";0;0;0;0;0;0;4;4;4
"321";0;0;0;0;0;0;0;0;0
"322";0;0;0;0;0;0;4;4;4
"323";0;0;0;0;0;0;4;4;4
"324";0;0;0;0;0;0;4;4;4
"325";0;0;0;0;0;0;4;4;4
"326";0;0;0;0;0;0;0;0;0
"327";0;0;0;0;0;0;0;2;2
"328";0;0;0;0;0;0;0;0;0
"329";0;0;0;0;0;0;0;0;0
"330";0;0;0;0;0;0;0;0;1
"331";0;0;0;0;0;0;0;2;2
"332";0;0;0;0;0;0;0;0;0
"333";0;0;0;0;0;0;0;0;1
"334";0;0;0;0;0;0;4;4;4
"335";0;0;0;0;0;0;0;0;1
"336";0;0;0;0;0;0;0;0;1
"337";0;0;0;0;0;0;0;0;1
"338";0;0;0;0;0;0;4;4;4
"339";0;0;0;0;0;0;4;4;4
"340";0;0;0;0;0;0;4;4;4
"341";0;0;0;0;0;0;4;4;4
"342";0;0;0;0;0;0;0;2;2
"343";0;0;0;0;0;0;0;2;2
"344";0;0;0;0;0;0;0;2;2
"345";0;0;0;0;0;0;4;4;4
"346";0;0;0;0;0;0;0;0;0
"347";0;0;5;5;5;5;5;5;5
"348";0;0;5;5;5;5;5;5;5
"349";0;0;0;0;0;0;4;4;4
"350";0;0;5;5;5;5;5;5;5
"351";0;0;0;0;0;0;0;0;0
"352";0;0;0;0;0;0;0;0;0
"353";0;0;0;0;0;0;0;2;2
"354";0;0;0;0;0;0;0;0;0
"355";0;0;0;0;0;0;3;3;3
"356";0;0;0;0;0;0;0;0;0
"357";0;0;0;0;0;0;0;0;0
"358";0;0;0;0;0;0;4;4;4
"359";0;0;0;0;0;0;4;4;4
"360";0;0;0;0;0;0;0;0;0
"361";0;0;0;0;0;0;0;0;0
"362";0;0;0;0;0;0;0;2;2
"363";0;0;0;0;0;0;0;0;0
"364";0;0;0;0;0;0;4;4;4
"365";0;0;0;0;0;0;0;0;1
"366";0;0;0;0;0;0;0;0;0
"367";0;0;0;0;0;0;0;0;1
"368";0;0;0;0;0;0;0;2;2
"369";0;0;0;0;0;0;0;2;2
"370";0;0;0;0;0;0;0;2;2
"371";0;0;0;0;0;0;0;2;2
"372";0;0;0;0;0;0;0;2;2
"373";0;0;0;0;0;0;0;2;2
"374";0;0;0;0;0;0;4;4;4
"375";0;0;0;0;0;0;0;0;0
"376";0;0;0;0;0;0;4;4;4
"377";0;0;5;5;5;5;5;5;5
"378";0;0;0;0;0;0;0;2;2
"379";0;0;0;0;0;0;0;2;2
"380";0;0;0;0;0;0;0;2;2
"381";0;0;0;0;0;0;0;2;2
"382";0;0;0;0;0;0;4;4;4
"383";0;0;0;0;0;0;0;2;2
"384";0;0;0;0;0;0;0;2;2
"385";0;0;0;0;0;0;4;4;4
"386";0;0;0;0;0;0;0;2;2
"387";0;0;0;0;0;0;0;2;2
"388";0;0;0;0;0;0;0;2;2
"389";0;0;0;0;0;0;0;2;2
"390";0;0;0;0;0;0;0;2;2
"391";0;0;0;0;0;0;0;2;2
"392";0;0;0;0;0;0;0;0;0
"393";0;0;0;0;0;0;0;2;2
"394";0;0;0;0;0;0;4;4;4
"395";0;0;0;0;0;0;0;0;0
"396";0;0;0;0;0;0;0;0;1
"397";0;0;0;0;0;0;0;0;0
"398";0;0;0;0;0;0;0;0;0
