"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"6";"***";"";""
"**";"classe";"1";"**";"";""
"****";"1500";"10578";"14.18";"****";""
"279";"403";" 69.23";"1043.33";"juiz";"6.863943e-229"
"248";"352";" 70.45";" 947.51";"sérgio_moro";"4.610565e-208"
"276";"471";" 58.60";" 799.20";"processo";"8.073800e-176"
"162";"196";" 82.65";" 769.38";"tribunal";"2.456278e-169"
"188";"260";" 72.31";" 740.06";"prisão";"5.813939e-163"
"129";"150";" 86.00";" 644.92";"instância";"2.844100e-142"
"159";"226";" 70.35";" 598.79";"condenar";"3.061448e-132"
"395";"994";" 39.74";" 588.88";"lula";"4.397572e-130"
"124";"164";" 75.61";" 516.54";"condenação";"2.389559e-114"
"123";"165";" 74.55";" 501.89";"pena";"3.686877e-111"
"102";"120";" 85.00";" 500.23";"lavagem";"8.473887e-111"
"118";"171";" 69.01";" 429.30";"julgamento";" 2.303811e-95"
"243";"551";" 44.10";" 427.63";"ex_presidente";" 5.326258e-95"
"235";"523";" 44.93";" 427.58";"defesa";" 5.470307e-95"
"189";"371";" 50.94";" 427.00";"decisão";" 7.310278e-95"
" 80";" 90";" 88.89";" 416.31";"sentença";" 1.549236e-92"
" 75";" 81";" 92.59";" 412.40";"desembargador";" 1.101912e-91"
"157";"285";" 55.09";" 402.75";"advogado";" 1.388244e-89"
" 73";" 79";" 92.41";" 400.22";"trf_4";" 4.938368e-89"
" 83";"113";" 73.45";" 329.73";"superior";" 1.103102e-73"
"137";"266";" 51.50";" 312.34";"crime";" 6.746791e-70"
" 74";" 97";" 76.29";" 310.31";"penal";" 1.868308e-69"
" 63";" 74";" 85.14";" 308.30";"passivo";" 5.131083e-69"
"125";"233";" 53.65";" 304.96";"stf";" 2.740949e-68"
" 50";" 53";" 94.34";" 281.25";"stj";" 4.013454e-63"
" 89";"142";" 62.68";" 278.16";"relator";" 1.893512e-62"
" 45";" 46";" 97.83";" 265.62";"habeas";" 1.021321e-59"
" 46";" 48";" 95.83";" 264.17";"trf";" 2.114729e-59"
"162";"379";" 42.74";" 263.54";"justiça";" 2.909625e-59"
" 47";" 50";" 94.00";" 263.01";"triplex";" 3.787542e-59"
" 44";" 45";" 97.78";" 259.52";"corpus";" 2.180564e-58"
" 71";"105";" 67.62";" 248.86";"réu";" 4.597397e-56"
"112";"224";" 50.00";" 241.27";"prova";" 2.074143e-54"
"189";"505";" 37.43";" 235.47";"caso";" 3.824689e-53"
" 56";" 74";" 75.68";" 231.57";"recorrer";" 2.704247e-52"
"112";"230";" 48.70";" 230.16";"pedido";" 5.510527e-52"
"139";"325";" 42.77";" 225.19";"corrupção";" 6.663135e-51"
"195";"549";" 35.52";" 216.66";"federal";" 4.837223e-49"
" 60";" 87";" 68.97";" 216.35";"julgar";" 5.656363e-49"
" 62";" 92";" 67.39";" 215.93";"curitiba";" 6.992490e-49"
" 36";" 38";" 94.74";" 203.36";"4a";" 3.853583e-46"
" 38";" 44";" 86.36";" 189.17";"execução";" 4.815201e-43"
" 48";" 66";" 72.73";" 187.07";"turma";" 1.389038e-42"
"102";"223";" 45.74";" 186.44";"recurso";" 1.900488e-42"
" 64";"107";" 59.81";" 184.96";"tse";" 4.004704e-42"
" 47";" 67";" 70.15";" 173.56";"magistrado";" 1.234124e-39"
" 45";" 64";" 70.31";" 166.71";"chapa";" 3.868650e-38"
" 29";" 31";" 93.55";" 160.94";"herman";" 7.065823e-37"
" 29";" 31";" 93.55";" 160.94";"gebran";" 7.065823e-37"
" 30";" 34";" 88.24";" 153.71";"benjamin";" 2.675777e-35"
" 45";" 68";" 66.18";" 152.05";"corte";" 6.189064e-35"
" 26";" 27";" 96.30";" 149.99";"trf4";" 1.744866e-34"
" 31";" 37";" 83.78";" 147.81";"absolver";" 5.214232e-34"
" 24";" 24";"100.00";" 145.58";"guarujá";" 1.605213e-33"
" 30";" 36";" 83.33";" 141.95";"cristiano";" 9.981140e-33"
" 40";" 59";" 67.80";" 140.15";"mendes";" 2.465838e-32"
" 37";" 53";" 69.81";" 135.46";"criminal";" 2.616918e-31"
" 33";" 44";" 75.00";" 134.30";"vara";" 4.697277e-31"
"153";"475";" 32.21";" 132.85";"lava_jato";" 9.736167e-31"
" 38";" 57";" 66.67";" 129.73";"gilmar";" 4.695952e-30"
" 84";"201";" 41.79";" 128.35";"apresentar";" 9.393522e-30"
" 29";" 37";" 78.38";" 125.75";"zanin";" 3.495691e-29"
" 32";" 44";" 72.73";" 124.45";"juízo";" 6.713552e-29"
" 36";" 54";" 66.67";" 122.87";"preventivo";" 1.491444e-28"
" 45";" 78";" 57.69";" 122.25";"determinar";" 2.034380e-28"
" 21";" 22";" 95.45";" 119.66";"paulsen";" 7.499779e-28"
"105";"294";" 35.71";" 115.23";"fato";" 7.012822e-27"
"172";"590";" 29.15";" 115.10";"público";" 7.485948e-27"
" 28";" 38";" 73.68";" 110.96";"cassação";" 6.041004e-26"
" 60";"130";" 46.15";" 110.57";"criminoso";" 7.367629e-26"
" 18";" 18";"100.00";" 109.12";"8a";" 1.526226e-25"
" 26";" 34";" 76.47";" 108.75";"martins";" 1.837959e-25"
" 60";"141";" 42.55";"  94.53";"mpf";" 2.411952e-22"
" 15";" 15";"100.00";"  90.91";"leandro";" 1.504405e-21"
" 19";" 23";" 82.61";"  88.69";"absolvição";" 4.619861e-21"
" 22";" 30";" 73.33";"  86.50";"inocência";" 1.394951e-20"
" 26";" 40";" 65.00";"  85.21";"alegação";" 2.682109e-20"
" 14";" 14";"100.00";"  84.84";"revisor";" 3.234660e-20"
" 14";" 14";"100.00";"  84.84";"laus";" 3.234660e-20"
" 44";" 93";" 47.31";"  84.63";"analisar";" 3.597504e-20"
" 18";" 22";" 81.82";"  82.88";"alegre";" 8.734181e-20"
" 18";" 22";" 81.82";"  82.88";"embargo";" 8.734181e-20"
" 21";" 29";" 72.41";"  81.03";"interrogatório";" 2.220088e-19"
" 71";"195";" 36.41";"  80.67";"denúncia";" 2.666592e-19"
"124";"428";" 28.97";"  80.19";"ministro";" 3.395638e-19"
" 23";" 34";" 67.65";"  80.13";"suspensão";" 3.514169e-19"
" 58";"147";" 39.46";"  78.26";"acusação";" 9.052117e-19"
" 18";" 23";" 78.26";"  77.78";"indenização";" 1.153621e-18"
" 15";" 17";" 88.24";"  76.73";"proferido";" 1.957270e-18"
" 37";" 75";" 49.33";"  76.70";"neto";" 1.989045e-18"
" 77";"224";" 34.38";"  76.69";"mês";" 1.999781e-18"
" 51";"124";" 41.13";"  74.88";"decidir";" 5.012224e-18"
" 26";" 44";" 59.09";"  73.23";"entendimento";" 1.154276e-17"
" 53";"133";" 39.85";"  72.93";"acusar";" 1.344155e-17"
" 13";" 14";" 92.86";"  71.31";"liminar";" 3.060099e-17"
" 31";" 60";" 51.67";"  69.68";"caber";" 6.983965e-17"
" 65";"185";" 35.14";"  67.94";"preso";" 1.685481e-16"
" 55";"146";" 37.67";"  67.13";"negar";" 2.542674e-16"
" 28";" 53";" 52.83";"  65.38";"audiência";" 6.160738e-16"
" 22";" 36";" 61.11";"  65.38";"auto";" 6.186373e-16"
" 12";" 13";" 92.31";"  65.28";"penitenciária";" 6.483493e-16"
" 14";" 17";" 82.35";"  65.03";"apelação";" 7.388612e-16"
" 13";" 15";" 86.67";"  64.86";"despacho";" 8.060786e-16"
" 52";"140";" 37.14";"  61.47";"região";" 4.490734e-15"
" 23";" 41";" 56.10";"  59.43";"apresentado";" 1.269460e-14"
