"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"estar";0;0;0;0;0,047;0,058
"dizer";0;0;0;0,156;0,537;0,071
"presidente";0;0,591;0;0;0;0
"lula";0;0;0;0,002;0;0
"michel_temer";0;0;0;0,013;0;0
"afirmar";0,07;0;0;0;0,039;0
"ano";0;0;0,473;0,012;0,829;0,001
"governo";0;0;0,882;0,153;0;0,936
"país";0;0;0;0,577;0;0
"público";0;0,011;0,012;0,036;0,009;0
"ministro";0;0,042;0;0,85;0;0
"federal";0;0;0;0;0,962;0
"ex_presidente";0;0;0;0;0,001;0
"brasil";0;0;0;0;0,902;0
"lava_jato";0;0;0;0;0;0
"dia";0;0;0,001;0,002;0,228;0,83
"caso";0;0;0,306;0,001;0,873;0
"rcifrão";0;0;0;0;0;0
"pessoa";0,005;0;0;0;0,003;0
"coreia";0;0;0;0;0;0
"stf";0;0,382;0;0;0,968;0
"mesmo";0,9;0;0,051;0;0,109;0,001
"acordo";0,151;0;0;0;0;0,764
"defesa";0;0,008;0;0;0;0,985
"ver";0,001;0,66;0,284;0;0,302;0,042
"norte";0;0;0;0;0;0
"dar";0,001;0,285;0,718;0;0,642;0
"novo";0,021;0;0,235;0,556;0,096;0
"pedir";0;0;0;0,001;0,069;0,023
"processo";0;0,001;0;0;0,007;0
"político";0,058;0,489;0;0,292;0,198;0
"operação";0,09;0;0;0;0;0
"ministério";0;0;0;0;0,009;0
"empresa";0;0;0;0;0;0
"deputado";0,088;0,98;0;0;0;0
"trump";0;0;0;0;0;0
"delação";0,019;0;0;0;0;0
"dever";0,128;0;0,001;0,905;0;0,192
"justiça";0;0,026;0,101;0;0,003;0
"eua";0;0;0;0;0;0
"odebrecht";0;0;0;0;0;0
"decisão";0;0;0,299;0;0,076;0
"querer";0,019;0;0,004;0;0,917;0
"juiz";0;0;0;0;0;0
"receber";0,352;0;0;0,001;0,004;0
"dinheiro";0;0;0;0,002;0;0
"joesley";0;0;0;0;0;0
"ação";0;0,005;0,009;0;0;0
"dilma";0,934;0;0,015;0,486;0,034;0
"senador";0;0;0;0;0;0
"sérgio_moro";0;0,073;0;0;0;0
"brasileiro";0,001;0;0;0;0,689;0
"falar";0,002;0,423;0,003;0;0,215;0
"república";0,294;0;0,172;0,1;0,478;0
"corrupção";0;0,303;0,348;0,029;0,001;0
"saber";0;0,18;0,07;0;0,009;0
"ficar";0,009;0,046;0,008;0;0,552;0
"vez";0,971;0;0,1;0;0,133;0,102
"paulo";0,94;0;0,008;0,371;0,003;0
"nuclear";0;0;0;0;0;0
"pt";0,407;0;0,146;0,695;0;0
"só";0,403;0;0,605;0;0,105;0
"aécio";0;0;0;0,116;0,394;0
"investigação";0;0;0,952;0;0;0
"propina";0;0;0;0;0;0
"política";0;0;0;0,367;0,451;0,022
"grupo";0;0;0,065;0;0,251;0,328
"partido";0;0,187;0,146;0;0;0
"relação";0,137;0,225;0,345;0,001;0,186;0
"câmara";0,049;0,092;0;0;0;0
"crime";0;0,867;0,012;0,001;0;0
"míssil";0;0;0;0;0;0
"lei";0;0;0;0,031;0;0
"militar";0;0;0,001;0,007;0;0
"americano";0;0;0;0;0;0
"unido";0;0;0;0;0;0
"advogado";0;0;0;0;0;0
"contar";0;0;0,027;0,094;0,001;0
"polícia";0,278;0;0,561;0,165;0,041;0
"prisão";0;0,008;0;0;0;0
"momento";0,012;0;0;0,544;0,033;0,248
"depoimento";0;0;0;0;0;0
"porcento";0,001;0,025;0,076;0,177;0;0,934
"passar";0,013;0,012;0;0;0,057;0
"segurança";0,006;0;0,266;0,068;0,829;0
"chegar";0,018;0,378;0,104;0;0,347;0,326
"último";0,212;0,098;0,04;0,441;0,866;0
"fato";0;0,228;0,86;0,485;0,002;0
"empresário";0;0;0;0;0;0
"meio";0,356;0,279;0;0,001;0,015;0,146
"grande";0;0,001;0;0,633;0,319;0,215
"deixar";0,362;0;0,066;0,14;0,035;0,56
"jbs";0;0;0;0;0;0
"pedido";0;0;0;0;0,004;0
"maior";0,006;0,891;0,001;0,806;0,014;0,109
"reforma";0;0;0,067;0;0;0
"ataque";0;0;0;0;0;0
"nacional";0;0,177;0,089;0,016;0;0,175
"direito";0,663;0;0;0,887;0,184;0
"vir";0,105;0,746;0,144;0;0,227;0,077
"pagar";0;0;0;0,007;0;0
"nota";0;0;0;0;0,012;0
"casa";0;0,863;0,04;0,023;0;0,178
"mundo";0;0;0,092;0,104;0;0
"precisar";0;0;0;0;0,374;0
"defender";0,021;0;0,397;0,011;0;0,307
"semana";0,016;0,026;0,003;0,007;0;0
"denúncia";0;0;0;0;0,501;0
"campanha";0,004;0;0;0,03;0,489;0
"mês";0;0,013;0;0,079;0,776;0,042
"informar";0,114;0;0;0;0,007;0
"forma";0,836;0,011;0;0,012;0,02;0,157
"recurso";0;0,011;0;0,002;0,006;0
"sul";0;0;0;0;0;0
"valor";0,003;0;0,001;0;0;0
"rio";0,001;0,01;0,891;0,338;0;0
"levar";0,006;0,005;0,876;0,234;0,094;0,41
"bem";0,275;0,006;0;0;0,047;0,018
"informação";0,019;0;0,004;0,002;0;0
"cunha";0,065;0;0;0;0;0
"sírio";0;0;0;0;0;0
"próprio";0;0,762;0,488;0,018;0,637;0,09
"prova";0;0;0;0;0;0
"apresentar";0;0,84;0,001;0;0,327;0
"projeto";0;0;0,123;0,001;0;0
"coisa";0;0;0,47;0;0,004;0
"crise";0;0;0;0,157;0,685;0,605
"pf";0,857;0;0,001;0,113;0;0
"preso";0;0;0;0,004;0,001;0
"china";0;0;0;0;0;0
"pagamento";0,001;0;0;0;0;0
"força";0;0;0,975;0,194;0,139;0
"tempo";0,003;0;0;0;0,164;0,136
"acontecer";0,001;0;0,086;0;0,158;0,261
"continuar";0,001;0,001;0,001;0,65;0,041;0
"medida";0,886;0,003;0,625;0,019;0;0,419
"econômico";0,003;0,009;0;0,376;0,558;0,86
"conversa";0;0;0,017;0,169;0,008;0,041
"relator";0;0;0;0;0;0
"kim";0;0;0;0;0;0
"condenar";0;0;0;0;0;0,002
"autoridade";0,204;0,013;0,077;0;0,079;0,634
"social";0;0;0;0;0,616;0
"situação";0;0;0;0,749;0,109;0,873
"conseguir";0;0,415;0,619;0;0,861;0,645
"eleição";0,001;0;0,187;0,018;0;0
"batista";0;0;0;0;0;0
"passado";0,165;0,486;0,61;0,766;0,084;0,227
"pouco";0;0;0,002;0;0,064;0,999
"pmdb";0,011;0;0;0,003;0;0
"gente";0;0;0,426;0;0,076;0
"cargo";0,024;0,07;0,566;0,498;0;0
"realizar";0,223;0,009;0,006;0;0,001;0
"manter";0;0,252;0,052;0,053;0,358;0,407
"líder";0;0;0,076;0,001;0;0
"eduardo";0,318;0;0;0;0;0
"rodrigo";0;0,236;0;0,014;0;0
"base";0,132;0;0,025;0;0,031;0
"eleitoral";0;0,011;0,098;0;0,011;0
"senado";0;0;0;0;0;0
"arma";0;0;0;0;0;0
"achar";0;0;0;0;0,119;0
"voto";0;0;0,008;0,004;0;0
"marcelo";0,417;0;0;0,002;0;0
"declarar";0,002;0,002;0,033;0,007;0,129;0
"começar";0,616;0;0,047;0;0,632;0,335
"tomar";0,993;0;0;0,026;0,586;0,32
"divulgar";0,262;0,022;0,006;0,168;0,329;0,001
"parlamentar";0,059;0,096;0;0,135;0;0
"apartamento";0,01;0;0,116;0,138;0,16;0,002
"ocorrer";0,001;0,652;0,092;0,295;0,009;0,177
"dono";0;0;0;0;0;0
"julgamento";0;0;0,308;0,001;0,01;0
"petista";0;0,496;0,352;0,774;0,024;0
"tribunal";0;0;0;0;0;0
"questão";0,091;0,001;0,415;0,021;0,191;0,306
"executivo";0,002;0;0,001;0;0,453;0
"colocar";0;0,002;0;0,771;0,05;0,385
"candidato";0;0,001;0,001;0,075;0;0
"final";0;0,874;0,516;0,05;0,274;0,012
"bom";0;0;0;0;0,911;0,001
"sistema";0,017;0,019;0;0,535;0,263;0,006
"filho";0,765;0,052;0;0;0,288;0
"responder";0,025;0,516;0,002;0,915;0,087;0,002
"possível";0,648;0,014;0,567;0,16;0,351;0
"congresso";0;0;0,066;0;0;0
"próximo";0,481;0;0,155;0,223;0;0,791
"fachin";0;0;0,063;0,021;0,024;0,011
"considerar";0;0,005;0,307;0,006;0,492;0,425
"documento";0;0;0,007;0;0,032;0
"delator";0,446;0;0;0;0;0
"janot";0,791;0;0,21;0,46;0,055;0,002
"guerra";0;0;0,073;0,005;0;0
"proposta";0,009;0;0,005;0,004;0;0
"petrobras";0,645;0;0;0;0;0
"aprovar";0;0;0;0;0;0
"problema";0;0;0;0;0,002;0,761
"acabar";0,063;0;0,028;0;0,264;0,073
"procurador";0;0;0,014;0;0;0
"mpf";0;0;0;0;0;0
"presidência";0,286;0,688;0,278;0,007;0;0
"usar";0,03;0,659;0,801;0,287;0,024;0
"apoio";0,006;0,644;0,679;0,091;0,002;0,031
"joão";0,013;0;0;0,017;0,861;0
"voltar";0,498;0;0,257;0,171;0;0,527
"reunião";0,001;0,168;0,129;0,006;0,614;0
"sair";0,002;0,152;0,673;0;0,071;0
"negar";0;0;0;0;0,053;0,019
"pena";0;0;0;0;0,001;0
"mostrar";0,007;0,241;0;0,334;0,092;0,18
"principal";0,316;0,083;0,222;0,082;0;0,027
"mandato";0,001;0,128;0,162;0,028;0;0
"investigar";0,218;0;0,002;0,007;0,181;0
"instância";0;0;0;0;0,001;0
"hora";0,181;0;0,29;0;0,055;0
"região";0;0;0,063;0,822;0;0,001
"josé";0,012;0;0,007;0,022;0,63;0
"entrar";0,815;0,003;0,186;0,864;0,551;0,133
"ato";0;0,005;0,042;0,033;0,145;0,014
"psdb";0,084;0,782;0;0;0;0
"palocci";0,024;0;0;0;0;0
"ex_ministro";0,086;0;0;0;0,001;0
"entrevista";0;0,756;0,633;0,384;0;0,083
"acusação";0;0;0,006;0;0,001;0
"rússia";0;0;0;0;0;0
"confirmar";0,192;0;0,003;0,001;0,009;0,449
"teste";0;0;0;0;0;0
"citar";0,068;0;0,089;0,294;0,115;0,004
"cidade";0,442;0,014;0,405;0,06;0,253;0,057
"responsável";0;0,001;0,022;0,002;0,008;0,009
"ameaça";0;0;0,004;0;0;0
"acusar";0;0;0;0;0,005;0,017
"trabalhar";0,004;0,001;0;0;0,031;0,551
"sociedade";0,003;0;0;0,888;0,005;0
"regime";0,4;0;0;0;0,001;0
"brasília";0,527;0,023;0,003;0,619;0,008;0,026
"época";0,079;0;0,549;0,409;0,01;0
"neve";0;0;0,003;0,004;0,064;0
"internacional";0;0;0,121;0,001;0,003;0
"existir";0,029;0,052;0;0,046;0,644;0,018
"votar";0,021;0;0;0,003;0;0
"claro";0,003;0,003;0;0;0,883;0,263
"importante";0,003;0;0;0,035;0,698;0,783
"g1";0,596;0,455;0,086;0;0,715;0
"esperar";0,06;0;0,218;0;0,586;0,243
"encontrar";0;0,002;0,207;0;0,004;0,369
"decidir";0;0,014;0,01;0,053;0,303;0,063
"janeiro";0;0,009;0,529;0,21;0;0,032
"criminoso";0;0;0,001;0,004;0;0
"criar";0,001;0,453;0;0,153;0,444;0,661
"exemplo";0,009;0,069;0,098;0,255;0;0,072
"condenação";0;0;0;0;0,002;0
"programa";0;0;0,003;0,674;0,329;0
"partir";0,717;0;0,379;0,018;0,003;0,365
"melhor";0,006;0;0;0,001;0,613;0,203
"assunto";0,002;0,022;0,047;0,439;0,245;0,05
"cercar";0,091;0;0,01;0,03;0,009;0,001
"tratar";0,431;0;0,013;0,248;0,845;0,091
"premiar";0,025;0;0;0;0;0
"ordem";0,006;0;0;0,002;0,097;0,004
"família";0,424;0,696;0,042;0;0,784;0
"parecer";0,157;0;0;0,917;0,017;0,243
"número";0,017;0,96;0,025;0,613;0,341;0,208
"maia";0;0;0;0;0;0
"atual";0,006;0,567;0,549;0,013;0;0,251
"área";0,003;0,476;0,01;0,05;0,199;0,716
"ponto";0,435;0,023;0;0,199;0,917;0,004
"foro";0,411;0;0,263;0,272;0;0
"serviço";0,065;0,024;0,1;0,515;0,055;0,995
