"";"x"
"1";4
"2";3
"3";4
"4";5
"5";5
"6";5
"7";5
"8";0
"9";2
"10";3
"11";4
"12";1
"13";0
"14";1
"15";1
"16";1
"17";0
"18";0
"19";0
"20";0
"21";0
"22";0
"23";0
"24";4
"25";0
"26";4
"27";3
"28";0
"29";4
"30";1
"31";1
"32";2
"33";1
"34";1
"35";1
"36";5
"37";3
"38";3
"39";3
"40";0
"41";1
"42";4
"43";4
"44";4
"45";4
"46";2
"47";4
"48";4
"49";5
"50";5
"51";4
"52";5
"53";5
"54";4
"55";4
"56";3
"57";3
"58";1
"59";3
"60";4
"61";2
"62";2
"63";2
"64";2
"65";2
"66";2
"67";2
"68";0
"69";4
"70";4
"71";4
"72";4
"73";4
"74";0
"75";4
"76";4
"77";2
"78";2
"79";4
"80";1
"81";4
"82";1
"83";1
"84";1
"85";4
"86";0
"87";0
"88";0
"89";0
"90";4
"91";4
"92";4
"93";3
"94";3
"95";4
"96";0
"97";0
"98";4
"99";0
"100";0
"101";5
"102";4
"103";6
"104";6
"105";6
"106";6
"107";6
"108";6
"109";6
"110";4
"111";1
"112";1
"113";3
"114";0
"115";5
"116";1
"117";0
"118";1
"119";0
"120";3
"121";4
"122";3
"123";4
"124";6
"125";4
"126";0
"127";1
"128";0
"129";5
"130";4
"131";3
"132";3
"133";0
"134";4
"135";6
"136";5
"137";0
"138";0
"139";0
"140";4
"141";4
"142";5
"143";4
"144";3
"145";4
"146";4
"147";4
"148";4
"149";4
"150";0
"151";2
"152";2
"153";2
"154";5
"155";2
"156";4
"157";2
"158";3
"159";1
"160";0
"161";1
"162";3
"163";3
"164";0
"165";2
"166";0
"167";2
"168";0
"169";3
"170";3
"171";0
"172";1
"173";0
"174";5
"175";3
"176";2
"177";2
"178";3
"179";4
"180";0
"181";2
"182";0
"183";6
"184";3
"185";3
"186";3
"187";0
"188";0
"189";3
"190";0
"191";0
"192";1
"193";1
"194";4
"195";4
"196";4
"197";4
"198";1
"199";1
"200";1
"201";3
"202";4
"203";0
"204";0
"205";0
"206";4
"207";0
"208";4
"209";3
"210";0
"211";5
"212";5
"213";5
"214";5
"215";2
"216";2
"217";2
"218";0
"219";0
"220";2
"221";4
"222";0
"223";1
"224";3
"225";0
"226";3
"227";2
"228";0
"229";0
"230";0
"231";2
"232";0
"233";0
"234";0
"235";2
"236";2
"237";0
"238";2
"239";2
"240";4
"241";0
"242";0
"243";4
"244";0
"245";3
"246";4
"247";5
"248";0
"249";1
"250";1
"251";2
"252";2
"253";2
"254";4
"255";4
"256";4
"257";4
"258";1
"259";1
"260";1
"261";3
"262";0
"263";3
"264";0
"265";4
"266";3
"267";3
"268";0
"269";0
"270";3
"271";0
"272";2
"273";2
"274";4
"275";3
"276";4
"277";4
"278";3
"279";4
"280";4
"281";0
"282";0
"283";3
"284";3
"285";3
"286";5
"287";4
"288";3
"289";2
"290";0
"291";2
"292";0
"293";0
"294";0
"295";1
"296";1
"297";1
"298";1
"299";1
"300";1
"301";2
"302";1
"303";2
"304";2
"305";2
"306";1
"307";1
"308";1
"309";0
"310";0
"311";4
"312";1
"313";4
"314";1
"315";3
"316";3
"317";0
"318";0
"319";0
"320";4
"321";0
"322";4
"323";4
"324";4
"325";4
"326";0
"327";2
"328";0
"329";0
"330";1
"331";2
"332";0
"333";1
"334";4
"335";1
"336";1
"337";1
"338";4
"339";4
"340";4
"341";4
"342";2
"343";2
"344";2
"345";4
"346";0
"347";5
"348";5
"349";4
"350";5
"351";0
"352";0
"353";2
"354";0
"355";3
"356";0
"357";0
"358";4
"359";4
"360";0
"361";0
"362";2
"363";0
"364";4
"365";1
"366";0
"367";1
"368";2
"369";2
"370";2
"371";2
"372";2
"373";2
"374";4
"375";0
"376";4
"377";5
"378";2
"379";2
"380";2
"381";2
"382";4
"383";2
"384";2
"385";4
"386";2
"387";2
"388";2
"389";2
"390";2
"391";2
"392";0
"393";2
"394";4
"395";0
"396";1
"397";0
"398";0
"399";0
"400";4
"401";4
"402";4
"403";4
"404";2
"405";0
"406";1
"407";1
"408";5
"409";4
"410";2
"411";2
"412";2
"413";2
"414";0
"415";2
"416";0
"417";2
"418";2
"419";4
"420";5
"421";5
"422";2
"423";4
"424";3
"425";0
"426";4
"427";0
"428";5
"429";0
"430";5
"431";4
"432";5
"433";5
"434";0
"435";5
"436";5
"437";5
"438";5
"439";5
"440";1
"441";1
"442";2
"443";1
"444";2
"445";2
"446";0
"447";1
"448";0
"449";4
"450";1
"451";4
"452";1
"453";1
"454";0
"455";0
"456";2
"457";2
"458";1
"459";4
"460";4
"461";1
"462";4
"463";1
"464";4
"465";4
"466";4
"467";1
"468";1
"469";0
"470";1
"471";4
"472";2
"473";3
"474";5
"475";4
"476";5
"477";4
"478";3
"479";4
"480";3
"481";4
"482";0
"483";0
"484";2
"485";0
"486";1
"487";0
"488";1
"489";0
"490";0
"491";2
"492";5
"493";0
"494";0
"495";0
"496";0
"497";1
"498";1
"499";3
"500";1
"501";4
"502";4
"503";3
"504";4
"505";4
"506";4
"507";6
"508";0
"509";0
"510";4
"511";2
"512";1
"513";0
"514";0
"515";2
"516";0
"517";4
"518";2
"519";0
"520";0
"521";0
"522";2
"523";0
"524";4
"525";0
"526";0
"527";2
"528";2
"529";2
"530";2
"531";5
"532";6
"533";0
"534";0
"535";2
"536";0
"537";1
"538";2
"539";3
"540";1
"541";1
"542";1
"543";4
"544";4
"545";1
"546";0
"547";0
"548";1
"549";3
"550";3
"551";0
"552";0
"553";0
"554";2
"555";0
"556";4
"557";3
"558";0
"559";2
"560";2
"561";0
"562";4
"563";3
"564";0
"565";4
"566";0
"567";3
"568";1
"569";4
"570";3
"571";5
"572";5
"573";5
"574";0
"575";4
"576";0
"577";3
"578";4
"579";0
"580";4
"581";4
"582";5
"583";0
"584";4
"585";3
"586";3
"587";3
"588";4
"589";4
"590";3
"591";4
"592";4
"593";3
"594";0
"595";2
"596";0
"597";0
"598";0
"599";0
"600";1
"601";4
"602";4
"603";4
"604";4
"605";0
"606";3
"607";3
"608";4
"609";2
"610";0
"611";5
"612";4
"613";5
"614";0
"615";4
"616";3
"617";2
"618";6
"619";6
"620";6
"621";6
"622";6
"623";6
"624";1
"625";1
"626";1
"627";0
"628";0
"629";0
"630";0
"631";0
"632";4
"633";2
"634";0
"635";4
"636";2
"637";0
"638";4
"639";0
"640";3
"641";3
"642";0
"643";0
"644";0
"645";2
"646";0
"647";0
"648";5
"649";0
"650";4
"651";3
"652";2
"653";2
"654";0
"655";1
"656";2
"657";1
"658";0
"659";0
"660";3
"661";5
"662";4
"663";0
"664";3
"665";0
"666";2
"667";2
"668";2
"669";0
"670";2
"671";3
"672";2
"673";1
"674";0
"675";3
"676";0
"677";0
"678";0
"679";0
"680";0
"681";5
"682";0
"683";5
"684";3
"685";5
"686";5
"687";3
"688";3
"689";3
"690";4
"691";2
"692";0
"693";2
"694";6
"695";0
"696";2
"697";1
"698";5
"699";4
"700";0
"701";0
"702";0
"703";2
"704";0
"705";0
"706";4
"707";0
"708";0
"709";0
"710";5
"711";5
"712";4
"713";4
"714";4
