"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"estar";-0,219936056098332;0,47685122385398;-0,317376365189179;0,61617930870454;-0,464433919964713;-0,223097146546286;0,483704897033179;-0,321937942832261;0,625035512464518;-0,471109122085505;0,113293082492757;0,320072210644118;0,117033331816466;0,341232782307351;0,108368592739313;0,000599300346724054;0,00281719861464282;0,00124796046411916;0,0047039845233652;0,00267238807330591;0,0123894396048196;0,42686906184245;0,00225756894428436
"dizer";-0,0100195396708119;-0,0876403824150541;-0,395173294573674;0,0771448103395086;-0,323910170641203;-0,0191130370088379;-0,167180721630089;-0,75382323462361;0,147159616459638;-0,617883384107868;0,000938458787546552;0,0431518911681236;0,724176988120927;0,0213480935422646;0,210384568381145;1,34029138166248e-06;0,000102544462866486;0,00208486943351973;7,94542473524749e-05;0,00140072492433247;0,0133506892293315;0,213668307414392;0,000609514309847216
"presidente";-0,195394889915735;0,208288923403273;-0,38849483730777;-0,692778623066799;0,00839266650292485;-0,231483183382689;0,24675866944901;-0,460247561778741;-0,820730783267348;0,00994274292436269;0,118088937982278;0,0806467374892368;0,231581144101895;0,569636446982283;4,67334443068882e-05;0,00033004249585602;0,000375038462789495;0,00130470991626551;0,00414889473414731;6,08896379179368e-07;0,00864457127599212;0,371456991038125;0,00119278050510645
"lula";0,915736727562669;-0,20873908728665;1,09190239221932;0,119716516801424;-0,466588295186906;0,602976220405811;-0,137446388371978;0,718974305273143;0,0788285657311169;-0,307229838281372;0,55593267089384;0,0173604161239881;0,392101446442915;0,0036459866582709;0,0309594798809664;0,00555298664379378;0,000288531294074121;0,00789501570348925;9,49059646867942e-05;0,00144162744973652;0,00662194185774841;0,802341909015845;0,00426289188379217
"michel_temer";0,68002821135769;0,386278166859914;-0,768777236441512;-0,875301760468581;0,0892320044542464;0,483668066369689;0,274739210705614;-0,54679054958077;-0,62255580416375;0,0634660008685664;0,405289050174634;0,0785928382212801;0,256957867208854;0,25766332866378;0,00149691573147578;0,00236767950630402;0,000763957815972542;0,00302600809666291;0,00392269605708419;4,0767150126589e-05;0,00511998931944862;0,697821647947892;0,00249320466705647
"afirmar";-0,0548426132008792;-0,321682059783321;-0,186192012210926;-0,463934743110016;0,0598971766539833;-0,0914071937174721;-0,536153414979468;-0,310329656730092;-0,773248582819957;0,0998317277385412;0,0181451912210474;0,375189425430639;0,103752181593096;0,498270369247292;0,0046428325079248;1,80697640294458e-05;0,000621684275076239;0,000208275550682809;0,00129309369699343;2,15540508928716e-05;0,00600781015319916;0,265972851228096;0,000425001847944747
"ano";0,137252259920317;0,402595524560171;0,397356779888098;0,309594690471289;-0,251317379087229;0,194527947563544;0,570599574363479;0,563174689341845;0,43878927566595;-0,356192706548295;0,0769203582097182;0,397751489242522;0,319825746986849;0,150181105397983;0,0553213001629279;8,91577159837323e-05;0,000767110295949256;0,000747276252867623;0,000453635396074373;0,000298926880592591;0,004732819331798;0,323294858789627;0,000494672221189825
"governo";-0,163044294722331;0,885793936798677;-0,65014442901701;-0,896384158756597;0,113644076682539;-0,113866142251168;0,618616791127288;-0,454044946278736;-0,626012742773346;0,0793662398526371;0,0260895933088443;0,46279977769651;0,20579066241543;0,302601057094001;0,00271890948521486;0,000148528693893645;0,004383939534854;0,00236166797285145;0,00448939165433997;7,21593741872925e-05;0,00558726344247522;0,659434849984442;0,00242964565261534
"país";-0,92288300511492;0,226586528962372;-0,236052566279316;0,504960069597133;0,365207162288854;-0,795135029466337;0,19522180534762;-0,203377528033183;0,435062123360309;0,31465419358514;0,821588178447742;0,0297646442881376;0,0266641789343438;0,0943845604159456;0,027598437913833;0,00465072105500013;0,000280346518992709;0,000304259710226544;0,00139232643505897;0,000728292046291042;0,00546043189479657;0,665149855288597;0,00241582792251381
"público";0,705666594914688;0,101332273132524;0,591184233676684;0,415376409110127;0,367413073241123;0,653713887906416;0,0938719711507179;0,547659966690761;0,38479549591945;0,340363324985132;0,64446511463589;0,00798670244240421;0,224386053279647;0,0856860157277321;0,0374761139143299;0,00194791689931975;4,01667670159725e-05;0,00136715260314851;0,000674924140647515;0,000528056651671529;0,00391175194419412;0,574248402328794;0,00128994412309484
"ministro";0,527744989607019;0,41493663464121;0,634286321903451;-0,475438516221883;-0,593835678197083;0,441062146911803;0,346782719895625;0,530103918378928;-0,397347083949647;-0,496297348712808;0,374370479125275;0,139087646032849;0,26827112328438;0,116591819570412;0,101678931987085;0,000792011573362459;0,000489606134554259;0,00114407364809935;0,000642794295472749;0,00100280355268589;0,0028436968058476;0,563473199436599;0,000902879555434688
"federal";0,997548195459369;-0,442700901923897;0,797108498142945;-0,392919824650542;-0,0128133351264808;0,708744348184115;-0,314532935453896;0,566334684900296;-0,279164160968008;-0,00910369934366964;0,669037212301128;0,0791908404212281;0,211917711750219;0,0398305571513455;2,36783760819278e-05;0,00360695974386358;0,000710385902275477;0,00230307668697142;0,000559604764938774;5,95110880714828e-07;0,00362471212576349;0,796725456115579;0,00230086378068462
"ex_presidente";0,982236051908515;-0,556127636162211;1,31498593854638;-0,186019905651747;-0,278389861037416;0,556495803519293;-0,315079756178813;0,745018628735994;-0,105391465386667;-0,157724601035181;0,473311584900877;0,0911876423995594;0,420830772408712;0,00651418715696422;0,00815581313388923;0,00354859985701094;0,00113755982233274;0,00636015218607295;0,00012727530002053;0,000285057267884023;0,00367811488268082;0,932700579087068;0,00319970384163662
