de;1448;2329;1264;1657;1467;1799
a;1220;1887;1084;1437;1230;1555
o;1179;1908;1096;1360;1263;1515
em;1097;1748;916;1200;1126;1297
que;976;1654;1105;1311;1039;1241
ser;683;895;816;1059;788;660
para;456;849;487;615;572;617
por;698;834;358;470;429;431
não;420;527;645;650;488;426
ir;409;778;496;425;481;378
com;320;781;402;479;415;573
um;285;478;473;592;383;672
ter;284;612;461;492;368;325
uma;247;471;417;535;353;595
se;259;323;363;427;348;351
ao;242;426;183;228;289;241
ele;201;412;314;258;250;200
como;155;283;213;313;210;195
fazer;142;295;255;230;181;194
mais;112;181;236;263;171;261
poder;195;161;196;287;199;268
haver;213;167;123;178;136;141
também;129;273;112;115;117;152
seu;73;155;115;165;95;285
sobre;108;187;82;148;135;125
sua;136;151;114;157;80;195
_;76;123;63;124;87;95
segundo;117;279;39;61;103;142
outro;111;201;109;134;88;92
eu;40;102;283;122;90;15
todo;114;153;110;156;87;92
já;101;134;113;100;120;88
estado;43;68;38;114;71;337
isso;62;76;188;189;83;68
ainda;124;156;62;93;109;81
contra;111;70;49;77;95;161
entre;42;169;41;87;74;124
muito;19;46;149;178;67;88
essa;40;74;127;171;69;49
dois;57;135;57;45;72;110
esse;51;89;117;125;78;53
até;72;101;84;78;67;64
milhão;22;319;17;20;21;22
quando;56;81;94;70;62;53
primeiro;112;57;44;70;50;83
após;79;84;21;27;59;103
porque;34;67;126;89;69;12
ela;39;70;90;99;44;31
sem;65;58;76;72;38;53
qualquer;73;92;33;57;25;86
parte;54;102;30;54;33;69
você;8;30;150;55;42;15
qual;40;74;52;69;46;47
depois;46;66;49;48;37;74
durante;49;72;25;35;54;66
quem;22;66;81;63;51;17
hoje;29;41;54;78;49;45
então;23;89;55;42;49;36
além;41;75;22;43;30;40
agora;34;38;81;56;48;28
2;30;117;20;17;26;21
desde;36;48;22;42;33;54
nós;13;24;60;74;29;30
mil;11;89;15;14;9;19
nome;17;64;30;28;57;6
antes;48;41;25;29;46;59
