"";"banalfreq";"X.gr_01";"X.gr_02"
"indicação";51;-0,3037;0,3037
"irregularidade";56;-1,2578;1,2578
"prazo";101;-0,8611;0,8611
"opinião";84;0,2665;-0,2665
"santana";86;0,4851;-0,4851
"igual";38;0,2498;-0,2498
"serenidade";10;-0,6062;0,6062
"adequado";32;-0,4136;0,4136
"estrangeiro";35;0,5206;-0,5206
"regional";48;-1,3848;1,3848
"oceano";15;-0,3979;0,3979
"carteira";14;0,5656;-0,5656
"durar";28;-1,6975;1,6975
"planejamento";40;-1,5803;1,5803
"miller";21;-0,3257;0,3257
"nascer";32;-0,4136;0,4136
"4";217;0,4054;-0,4054
"lamentável";12;0,3224;-0,3224
"zavascki";51;0,4629;-0,4629
"peça";51;-1,0614;1,0614
"criança";47;1,4404;-1,4404
"lgbt";10;0,4186;-0,4186
"retomada";15;-0,9093;0,9093
"linha";73;0,315;-0,315
"embarcar";10;-0,6062;0,6062
"acertar";25;-0,8393;0,8393
"bandido";48;1,3798;-1,3798
"marino";16;0,8366;-0,8366
"correção";20;-1,2125;1,2125
"unir";24;0,7097;-0,7097
"comemorar";18;0,3746;-0,3746
"maio";82;-0,8338;0,8338
"portugal";16;1,9146;-1,9146
"dni";11;-0,6668;0,6668
"rapidamente";18;1,649;-1,649
"hoffmann";14;-0,8487;0,8487
"posteriormente";24;-0,7926;0,7926
"mexer";15;-0,3979;0,3979
"evidência";24;-0,2096;0,2096
"parágrafo";16;-0,1854;0,1854
"90";24;-1,455;1,455
"pacífico";68;0,5724;-0,5724
"foloni";16;-0,97;0,97
"adquirir";45;0,432;-0,432
"absoluto";39;1,2242;-1,2242
"pinto";10;1,5013;-1,5013
"crítico";28;-1,6975;1,6975
"seleção";13;0,6294;-0,6294
"mediante";12;-0,7275;0,7275
"constante";22;0,8255;-0,8255
"luís";34;0,5563;-0,5563
"sede";88;-1,003;1,003
"preferir";34;0,3371;-0,3371
"sentir";33;0,5943;-0,5943
"aliar";36;-1,3767;1,3767
"romper";15;-0,3979;0,3979
"apoiador";18;0,6996;-0,6996
"vara";49;0,3379;-0,3379
"fim";261;-0,4826;0,4826
"surgir";46;0,6112;-0,6112
"necessário";148;-0,5957;0,5957
"exercício";116;0,9377;-0,9377
"abordar";22;-0,3569;0,3569
"financial";13;-0,3186;0,3186
"mdb";23;-1,3943;1,3943
"interessado";13;-0,7881;0,7881
"norte_coreanas";16;1,9146;-1,9146
"rs";12;0,3224;-0,3224
"bebê";11;-0,6668;0,6668
"satélite";27;-0,2797;0,2797
"rj";36;0,2903;-0,2903
"bancoop";33;-1,2265;1,2265
"gleisi";24;-0,7926;0,7926
"bater";37;0,2693;-0,2693
"alterar";32;0,6349;-0,6349
"deixar";365;-1,7482;1,7482
"humanidade";10;-0,2086;0,2086
"adotar";59;-0,6935;0,6935
"zelar";13;-0,3186;0,3186
"imenso";14;0,2509;-0,2509
"compromisso";57;-1,298;1,298
"170";11;-0,244;0,244
"edifício";24;-0,2096;0,2096
"finalidade";23;-0,7464;0,7464
"bacelar";15;-0,3979;0,3979
"recorrer";89;-1,0323;1,0323
"reproduzir";10;-0,2086;0,2086
"dominar";12;-0,7275;0,7275
"esta";135;-1,0361;1,0361
"pesado";17;1,7754;-1,7754
"reportagem";116;-1,0136;1,0136
"longo";149;-0,3732;0,3732
"longe";36;0,4872;-0,4872
"kremlin";13;-0,7881;0,7881
"conceder";63;-0,3843;0,3843
"cúpula";70;1,1815;-1,1815
"professor";106;0,3896;-0,3896
"ferida";10;-0,2086;0,2086
"até";663;1,1738;-1,1738
"107";11;-0,6668;0,6668
"referido";17;-0,4808;0,4808
"aliado";116;0,9377;-0,9377
"injustiça";14;-0,3577;0,3577
"opção";67;-0,3143;0,3143
"consideração";22;-1,3337;1,3337
"figueiredo";13;-0,7881;0,7881
"revolucionário";11;-0,244;0,244
"rico";37;0,9987;-0,9987
"irã";37;1,3531;-1,3531
"relacionar";39;-0,3838;0,3838
"motivar";28;-0,9819;0,9819
"caribe";11;-0,6668;0,6668
"ótimo";25;-0,4557;0,4557
"ocultação";10;-0,2086;0,2086
"policial";140;-0,9438;0,9438
"saud";78;-0,3688;0,3688
"diferença";56;-0,8869;0,8869
"bloqueio";40;-1,0358;1,0358
"consciência";20;0,5874;-0,5874
"expressão";25;0,6584;-0,6584
"novembro";60;-1,4206;1,4206
"acórdão";12;-0,7275;0,7275
"moçambicano";12;-0,7275;0,7275
"advertir";37;0,6992;-0,6992
"custar";23;0,454;-0,454
"nascimento";14;-0,8487;0,8487
"concentrar";16;0,4592;-0,4592
"senso";10;0,8814;-0,8814
"igualdade";11;-0,6668;0,6668
"depósito";21;-0,6555;0,6555
"basear";29;-0,3309;0,3309
"escalada";15;-0,9093;0,9093
"zelote";12;-0,2807;0,2807
"doméstico";10;0,4186;-0,4186
"chile";19;-0,2663;0,2663
"quão";10;-0,6062;0,6062
"cidade";193;-0,9552;0,9552
"efetivamente";20;-1,2125;1,2125
"ideológico";24;-0,2096;0,2096
"cobrir";24;-0,422;0,422
"delegação";13;-0,7881;0,7881
"suspenso";34;-0,7897;0,7897
"estrutura";27;-1,6368;1,6368
"homenagem";24;0,417;-0,417
"rex";26;-0,2555;0,2555
"bush";13;-0,7881;0,7881
"desaparecer";13;-0,3186;0,3186
"retaliação";30;0,4539;-0,4539
"comprometer";24;-1,455;1,455
"evolução";12;-0,7275;0,7275
"esconder";30;1,9296;-1,9296
"osmar";23;-0,389;0,389
"d";15;-0,9093;0,9093
"inelegível";12;-0,2807;0,2807
"abandonar";29;-0,598;0,598
"identidade";16;-0,97;0,97
"complexo";31;-0,6731;0,6731
"efetivo";25;-0,8393;0,8393
"esgotado";12;-0,2807;0,2807
"vincular";14;0,2509;-0,2509
"culpar";12;0,702;-0,702
"beneficiar";80;-0,4042;0,4042
"oposição";78;-0,7277;0,7277
"maneira";118;0,3254;-0,3254
"afinal";22;0,2515;-0,2515
"ciro";49;1,0101;-1,0101
"delito";29;0,2731;-0,2731
"influência";70;0,5222;-0,5222
"distribuição";24;-0,2096;0,2096
"emilio";40;-1,5803;1,5803
"nixon";10;-0,6062;0,6062
"sob";156;-0,9097;0,9097
"fazê_lo";10;-0,2086;0,2086
"concessão";45;-1,8393;1,8393
"alencar";20;-0,2955;0,2955
"profissão";12;0,702;-0,702
"lobista";14;-0,8487;0,8487
"memória";13;0,2841;-0,2841
"lourar";125;0,8775;-0,8775
"vontade";28;-0,3049;0,3049
"coercitivo";10;-0,6062;0,6062
"olimpíada";11;-0,6668;0,6668
"seguir";163;0,4267;-0,4267
"renan";138;0,7337;-0,7337
"peso";26;-0,8865;0,8865
"resultado";109;-1,3476;1,3476
"pensamento";22;-0,7007;0,7007
"liberal";21;-0,6555;0,6555
"melar";33;-0,4426;0,4426
"condenar";268;1,3514;-1,3514
"moderno";16;-0,4389;0,4389
"liberar";45;0,266;-0,266
"pasadena";13;0,2841;-0,2841
"marisa";79;-1,3414;1,3414
"petróleo";28;-0,5614;0,5614
"domingo";87;-0,9741;0,9741
"time";58;0,4671;-0,4671
"pior";51;-0,4787;0,4787
"interrogatório";38;0,2498;-0,2498
"entrevista";195;0,3998;-0,3998
"57";11;1,3512;-1,3512
"corpo";34;-0,4724;0,4724
"ver";659;-1,4564;1,4564
"vez";458;1,6539;-1,6539
"comum";62;-0,5428;0,5428
"tráfico";34;0,5563;-0,5563
"sonoro";14;-0,8487;0,8487
"caos";16;0,4592;-0,4592
"minuto";76;1,4659;-1,4659
"colapso";12;1,2211;-1,2211
"irmão";107;1,7135;-1,7135
"lícito";14;-0,3577;0,3577
"montar";32;0,3912;-0,3912
"planilha";38;0,4266;-0,4266
"56";10;-0,2086;0,2086
"ex_presidentes";23;0,454;-0,454
"século";40;0,8484;-0,8484
"juro";25;-0,8393;0,8393
"indagar";14;-0,8487;0,8487
"localizar";40;-0,2392;0,2392
"aprovação";73;-1,5075;1,5075
"finança";12;-0,2807;0,2807
"santo";116;-1,0136;1,0136
"fake";11;0,7852;-0,7852
"positivo";54;-1,6588;1,6588
"saneamento";15;-0,9093;0,9093
"funcionamento";21;-0,6555;0,6555
"angra";11;-0,244;0,244
"israel";22;-0,3569;0,3569
"taxação";10;-0,6062;0,6062
"herança";10;-0,6062;0,6062
"só";448;0,9933;-0,9933
"impasse";13;-0,7881;0,7881
"vigilância";16;0,4592;-0,4592
"lacerda";10;-0,2086;0,2086
"tirar";96;1,1546;-1,1546
"conviver";13;0,2841;-0,2841
"cautelar";18;0,3746;-0,3746
"trazer";93;-1,8644;1,8644
"apostar";14;-0,3577;0,3577
"bastante";41;-1,6318;1,6318
"colocar";232;0,8186;-0,8186
"aproveitar";29;-1,0302;1,0302
"determinação";29;0,2731;-0,2731
"justiça";570;-0,6218;0,6218
"padrão";26;-1,5762;1,5762
"data";63;0,52;-0,52
"natural";31;-0,6731;0,6731
"controlar";62;0,546;-0,546
"acionar";23;-0,7464;0,7464
"si";52;-0,3229;0,3229
"cármen";84;0,5277;-0,5277
"engenharia";12;-0,7275;0,7275
"falado";17;0,7646;-0,7646
"crítica";81;0,4395;-0,4395
"museu";11;-0,6668;0,6668
"acontecimento";17;-0,2111;0,2111
"satisfação";10;0,8814;-0,8814
"instabilidade";11;-0,244;0,244
"recorde";12;-0,7275;0,7275
"crédito";66;-1,2409;1,2409
"cidadania";17;-0,2111;0,2111
"subsidiário";14;0,2509;-0,2509
"projetar";13;1,7099;-1,7099
"bovino";17;1,2199;-1,2199
"japonês";51;0,6702;-0,6702
"26";63;-1,5457;1,5457
"emergência";16;0,8366;-0,8366
"organizar";40;-0,2392;0,2392
"dilma_michel_temer";14;-0,8487;0,8487
"envolvido";62;0,378;-0,378
"sorteio";11;-0,6668;0,6668
"internet";44;0,4591;-0,4591
"convocar";53;0,6052;-0,6052
"20";142;0,5214;-0,5214
"porcento";388;-0,7413;0,7413
"limitar";22;-1,3337;1,3337
"minimizar";14;-0,3577;0,3577
"brasil";820;1,7525;-1,7525
"incentivar";19;-0,2663;0,2663
"unidade";110;-1,7092;1,7092
"instaurar";11;-0,244;0,244
"indonésio";15;1,4384;-1,4384
"comigo";27;-0,5255;0,5255
"ong";14;-0,8487;0,8487
