"";"X.gr_01";"X.gr_02"
"lula";4,72;3,44
"indicação";0,1;0,11
"irregularidade";0,05;0,13
"prazo";0,15;0,23
"opinião";0,18;0,18
"santana";0,22;0,18
"igual";0,08;0,08
"serenidade";0;0,02
"adequado";0,05;0,07
"estrangeiro";0,1;0,07
"curioso";0,12;0,02
"regional";0,03;0,11
"atingir";0,52;0,29
"oficialmente";0,17;0,05
"oceano";0,02;0,03
"carteira";0,05;0,03
"durar";0;0,07
"planejamento";0,02;0,1
"trump";2,02;1,15
"imediatamente";0,28;0,06
"miller";0,03;0,05
"nascer";0,05;0,07
"4";0,5;0,47
"lamentável";0,03;0,02
"zavascki";0,13;0,11
"peça";0,05;0,12
"criança";0,18;0,09
"lgbt";0,03;0,02
"retomada";0;0,04
"china";1,15;0,52
"linha";0,17;0,16
"embarcar";0;0,02
"acertar";0,02;0,06
"bandido";0,18;0,09
"marino";0,07;0,03
"correção";0;0,05
"unir";0,08;0,05
"comemorar";0,05;0,04
"maio";0,12;0,19
"portugal";0,1;0,02
"dni";0;0,03
"rapidamente";0,1;0,03
"hoffmann";0;0,03
"posteriormente";0,02;0,06
"mexer";0,02;0,03
"evidência";0,05;0,05
"parágrafo";0,03;0,03
"90";0;0,06
"destruir";0,52;0,13
"pacífico";0,18;0,14
"foloni";0;0,04
"adquirir";0,12;0,09
"absoluto";0,15;0,07
"pinto";0,07;0,01
"crítico";0;0,07
"seleção";0,05;0,02
"área";0,13;0,42
"mediante";0;0,03
"milhar";0,15;0,05
"constante";0,08;0,04
"luís";0,1;0,07
"sede";0,12;0,2
"ordenar";0,25;0,06
"preferir";0,08;0,07
"sentir";0,1;0,07
"aliar";0,02;0,09
"lindbergh";0,12;0,03
"romper";0,02;0,03
"apoiador";0,07;0,03
"vara";0,12;0,1
"fim";0,52;0,57
"surgir";0,13;0,09
"necessário";0,27;0,33
"brasileiro";1,35;1
"exercício";0,33;0,24
"abordar";0,03;0,05
"folha";0,3;0,04
"financial";0,02;0,03
"mdb";0;0,06
"interessado";0;0,03
"norte_coreanas";0,1;0,02
"rs";0,03;0,02
"bebê";0;0,03
"satélite";0,05;0,06
"rj";0,08;0,08
"navio";0,43;0,1
"bancoop";0,02;0,08
"gleisi";0,02;0,06
"bater";0,08;0,08
"ato";0,22;0,46
"cofre";0,2;0,04
"alterar";0,1;0,06
