"";"X.gr_01";"X.gr_02"
"lula";5,8256;-5,8256
"indicação";-0,3037;0,3037
"irregularidade";-1,2578;1,2578
"prazo";-0,8611;0,8611
"opinião";0,2665;-0,2665
"santana";0,4851;-0,4851
"igual";0,2498;-0,2498
"serenidade";-0,6062;0,6062
"adequado";-0,4136;0,4136
"estrangeiro";0,5206;-0,5206
"curioso";3,0258;-3,0258
"regional";-1,3848;1,3848
"atingir";2,313;-2,313
"oficialmente";2,4546;-2,4546
"oceano";-0,3979;0,3979
"carteira";0,5656;-0,5656
"durar";-1,6975;1,6975
"planejamento";-1,5803;1,5803
"trump";6,9705;-6,9705
"imediatamente";4,896;-4,896
"miller";-0,3257;0,3257
"nascer";-0,4136;0,4136
"4";0,4054;-0,4054
"lamentável";0,3224;-0,3224
"zavascki";0,4629;-0,4629
"peça";-1,0614;1,0614
"criança";1,4404;-1,4404
"lgbt";0,4186;-0,4186
"retomada";-0,9093;0,9093
"china";7,0342;-7,0342
"linha";0,315;-0,315
"embarcar";-0,6062;0,6062
"acertar";-0,8393;0,8393
"bandido";1,3798;-1,3798
"marino";0,8366;-0,8366
"correção";-1,2125;1,2125
"unir";0,7097;-0,7097
"comemorar";0,3746;-0,3746
"maio";-0,8338;0,8338
"portugal";1,9146;-1,9146
"dni";-0,6668;0,6668
"rapidamente";1,649;-1,649
"hoffmann";-0,8487;0,8487
"posteriormente";-0,7926;0,7926
"mexer";-0,3979;0,3979
"evidência";-0,2096;0,2096
"parágrafo";-0,1854;0,1854
"90";-1,455;1,455
"destruir";7,557;-7,557
"pacífico";0,5724;-0,5724
"foloni";-0,97;0,97
"adquirir";0,432;-0,432
"absoluto";1,2242;-1,2242
"pinto";1,5013;-1,5013
"crítico";-1,6975;1,6975
"seleção";0,6294;-0,6294
"área";-3,8647;3,8647
"mediante";-0,7275;0,7275
"milhar";2,1412;-2,1412
"constante";0,8255;-0,8255
"luís";0,5563;-0,5563
"sede";-1,003;1,003
"ordenar";4,3796;-4,3796
"preferir";0,3371;-0,3371
"sentir";0,5943;-0,5943
"aliar";-1,3767;1,3767
