"";"X.gr_01";"X.gr_02"
"pre";-27,4142;27,4142
"ver_sup";1,2384;-1,2384
"ono";-0,7066;0,7066
"pro_per";-14,499;14,499
"num";0,7753;-0,7753
"conj";-4,1887;4,1887
"adv";-0,6521;0,6521
"ver";43,5692;-43,5692
"pro_int";0,7295;-0,7295
"nr";11,2476;-11,2476
"pro_ind";-1,5378;1,5378
"adj";4,5507;-4,5507
"pro_dem";-2,3097;2,3097
"nom";-2,8657;2,8657
"adj ";0,9241;-0,9241
"pro_pos";3,0756;-3,0756
"nom_sup";-2,6148;2,6148
"adv_sup";3,1422;-3,1422
"adj_sup";-0,2449;0,2449
"art_def";9,9442;-9,9442
"sw";0,6212;-0,6212
"adj_num";-12,8431;12,8431
"pro_rel";-0,6747;0,6747
