"";"banalfreq";"X.gr_01";"X.gr_02"
"precisar";13;-0,3992;0,3992
"reforma";13;-0,9168;0,9168
"afirmar";45;-0,7564;0,7564
"segurança";11;-0,7757;0,7757
"sobre";50;-0,2839;0,2839
"cidade";10;0,3419;-0,3419
"outro";42;0,5405;-0,5405
"além";12;-0,8462;0,8462
"me";11;-0,3073;0,3073
"política";31;-0,5275;0,5275
"político";626;0,4274;-0,4274
"caixa";13;0,221;-0,221
"fim";18;0,2844;-0,2844
"brasileiro";35;1,5407;-1,5407
"acontecer";11;-0,3073;0,3073
"deixar";12;0,5792;-0,5792
"segundo";34;0,6203;-0,6203
"investigação";32;-0,9134;0,9134
"após";26;0,2513;-0,2513
"deputado";31;1,0888;-1,0888
"lula";59;0,5798;-0,5798
"dois";15;-0,496;0,496
"acusar";11;1,1605;-1,1605
"aécio";16;0,6791;-0,6791
"pmdb";16;0,6791;-0,6791
"relator";11;0,2948;-0,2948
"de";1926;-1,3164;1,3164
"alguma";10;0,3419;-0,3419
"falar";19;0,5017;-0,5017
"com";198;1,2113;-1,2113
"essa";27;-0,3893;0,3893
"candidato";18;-0,3184;0,3184
"contrato";10;-0,2637;0,2637
"judiciário";11;-0,3073;0,3073
"ir";194;0,3412;-0,3412
"depois";10;-0,2637;0,2637
"recurso";12;-0,8462;0,8462
"algum";12;1,0372;-1,0372
"acusação";10;0,3419;-0,3419
"antes";13;0,5124;-0,5124
"ela";12;-0,3525;0,3525
"objectivo";11;-0,3073;0,3073
"ele";84;-0,4179;0,4179
"esquema";16;-0,546;0,546
"corte";13;-0,9168;0,9168
"rio";14;-0,447;0,447
"muito";28;-1,9757;1,9757
"uma";152;-0,4034;0,4034
"o";953;1,9524;-1,9524
"novo";40;-0,8845;0,8845
"foro";32;0,4629;-0,4629
"privilegiado";20;0,4542;-0,4542
"saber";26;0,7351;-0,7351
"joesley";15;-0,496;0,496
"apoio";15;0,4034;-0,4034
"entrevista";10;-0,2637;0,2637
"menos";15;0,4034;-0,4034
"ver";19;-0,3545;0,3545
"vez";24;-0,5522;0,5522
"autoridade";14;-0,447;0,447
"dia";17;1,5001;-1,5001
"querer";26;1,981;-1,981
"situação";12;-0,3525;0,3525
"cargo";16;-0,2501;0,2501
"principal";11;-0,3073;0,3073
"mudar";11;-0,7757;0,7757
"pessoa";43;-1,0149;1,0149
"bom";10;0,3419;-0,3419
"tribunal";20;-1,4108;1,4108
"só";16;0,3587;-0,3587
"justiça";24;-0,296;0,296
"esperar";11;-0,7757;0,7757
"se";132;1,0768;-1,0768
"citado";15;-0,496;0,496
"que";668;1,5471;-1,5471
"forma";13;-0,3992;0,3992
"mais";82;0,3381;-0,3381
"já";36;1,4598;-1,4598
"passar";17;0,3193;-0,3193
"empreiteiro";13;-0,3992;0,3992
"maior";16;-0,2501;0,2501
"desde";22;0,3728;-0,3728
"fazer";78;0,4149;-0,4149
"porcento";10;0,7465;-0,7465
"brasil";55;1,2255;-1,2255
"ministro";36;0,7933;-0,7933
"americano";10;-0,7051;0,7051
"não";206;0,8708;-0,8708
"voto";16;-0,546;0,546
"2";16;0,3587;-0,3587
"qual";35;-0,6792;0,6792
"doação";10;-0,2637;0,2637
"ano";42;0,3524;-0,3524
"qualquer";13;-0,3992;0,3992
"crime";15;-0,496;0,496
"proposta";15;-0,496;0,496
"planalto";12;0,255;-0,255
"contar";13;0,221;-0,221
"dinheiro";42;1,057;-1,057
"federal";21;0,4114;-0,4114
"população";10;0,3419;-0,3419
"estar";105;1,4397;-1,4397
"para";275;-0,4059;0,4059
"câmara";18;-0,3184;0,3184
"cunha";15;1,7783;-1,7783
"caso";35;-1,0594;1,0594
"estatal";13;-0,3992;0,3992
"então";11;-0,7757;0,7757
"lado";11;0,2948;-0,2948
"viver";12;1,0372;-1,0372
"até";20;1,175;-1,175
"hoje";17;1,5001;-1,5001
"empresa";36;-1,1091;1,1091
"julgar";11;-0,3073;0,3073
"último";12;0,5792;-0,5792
"ex_presidente";26;0,4578;-0,4578
"agora";12;1,0372;-1,0372
"batista";10;-0,2637;0,2637
"interesse";10;-0,7051;0,7051
"mundo";21;0,7063;-0,7063
"juiz";20;0,226;-0,226
"defesa";12;1,0372;-1,0372
"partido";60;-1,0134;1,0134
"relação";20;-0,3919;0,3919
"pedir";32;-0,9134;0,9134
"grupo";25;0,4991;-0,4991
"dilma";28;0,3851;-0,3851
"inquérito";15;-1,0579;1,0579
"sociedade";16;-0,2501;0,2501
"cientista";10;-0,7051;0,7051
"decisão";26;-0,3571;0,3571
"ter";168;1,8163;-1,8163
"sua";46;0,612;-0,612
"governador";16;-0,546;0,546
"propina";50;0,481;-0,481
"chapa";10;-0,2637;0,2637
"social";20;0,7711;-0,7711
"três";10;-0,7051;0,7051
"começar";11;0,2948;-0,2948
"projeto";13;1,4694;-1,4694
"sistema";22;-0,47;0,47
"a";940;-0,6096;0,6096
"grande";21;-0,2131;0,2131
"delação";43;-0,6832;0,6832
"ficar";17;0,3193;-0,3193
"nossa";10;0,3419;-0,3419
"envolver";15;-0,2182;0,2182
"todo";34;0,3963;-0,3963
"nosso";10;-0,2637;0,2637
"janeiro";11;-0,3073;0,3073
