"";"X.gr_01";"X.gr_02"
"precisar";0,47;0,99
"reforma";0;1,08
"afirmar";1,88;3,4
"segurança";0;0,91
"acordo";5,17;1,74
"sobre";3,29;3,56
"cidade";0,94;0,66
"outro";3,76;2,82
"pouco";2,82;0,33
"além";0;0,99
"me";0,47;0,83
"política";1,41;2,32
"político";45,58;43,81
"caixa";0,94;0,91
"fim";1,41;1,24
"brasileiro";4,7;2,07
"acontecer";0,47;0,83
"deixar";1,41;0,75
"segundo";3,29;2,24
"investigação";0,94;2,48
"após";1,88;1,82
"deputado";3,76;1,9
"lula";5,17;3,97
"receber";5,17;1,74
"dois";0,47;1,16
"acusar";1,88;0,58
"aécio";1,88;0,99
"pmdb";1,88;0,99
"relator";0,94;0,75
"de";124,06;137,63
"alguma";0,94;0,66
"falar";1,88;1,24
"com";17,86;13,25
"essa";1,41;1,99
"candidato";0,94;1,32
"contrato";0,47;0,75
"judiciário";0,47;0,83
"ir";14,1;13,58
"depois";0,47;0,75
"recurso";0;0,99
"algum";1,88;0,66
"acusação";0,94;0,66
"antes";1,41;0,83
"ela";0,47;0,91
"objectivo";0,47;0,83
"ele";5,17;6,05
"esquema";0,47;1,24
"corte";0;1,08
"rio";0,47;1,08
"muito";0;2,32
"uma";9,87;10,85
"o";78,95;65
"novo";1,41;3,06
"foro";2,82;2,15
"privilegiado";1,88;1,32
"saber";2,82;1,66
"joesley";0,47;1,16
"apoio";1,41;0,99
"entrevista";0,47;0,75
"menos";1,41;0,99
"ver";0,94;1,41
"vez";0,94;1,82
"autoridade";0,47;1,08
"dia";2,82;0,91
"querer";4,23;1,41
"situação";0,47;0,91
"cargo";0,94;1,16
"principal";0,47;0,83
"mudar";0;0,91
"pessoa";1,41;3,31
"militar";3,29;0,41
"bom";0,94;0,66
"tribunal";0;1,66
"só";1,41;1,08
"justiça";1,41;1,74
"esperar";0;0,91
"se";12,22;8,78
"citado";0,47;1,16
"que";55,45;45,54
"forma";0,47;0,99
"mais";6,11;5,71
"já";4,7;2,15
"passar";1,41;1,16
"empreiteiro";0,47;0,99
"maior";0,94;1,16
"desde";1,88;1,49
"fazer";6,11;5,38
"porcento";1,41;0,58
"brasil";6,11;3,48
"ministro";3,76;2,32
"americano";0;0,83
"não";17,39;13,99
"voto";0,47;1,24
"2";1,41;1,08
"qual";1,41;2,65
"doação";0,47;0,75
"ano";3,29;2,9
"qualquer";0,47;0,99
"crime";0,47;1,16
"proposta";0,47;1,16
"planalto";0,94;0,83
"contar";0,94;0,91
"dinheiro";4,7;2,65
"federal";1,88;1,41
"população";0,94;0,66
"estar";10,81;6,79
"para";18,33;19,54
"como";3,76;8,86
"câmara";0,94;1,32
"por";11,28;18,47
"cunha";2,82;0,75
"caso";0,94;2,73
"estatal";0,47;0,99
"então";0;0,91
"processo";0,47;3,48
"lado";0,94;0,75
"viver";1,88;0,66
"até";2,82;1,16
"hoje";2,82;0,91
"_";0;5,47
"empresa";0,94;2,82
"julgar";0,47;0,83
"último";1,41;0,75
"ex_presidente";2,35;1,74
"agora";1,88;0,66
"batista";0,47;0,75
"interesse";0;0,83
"mundo";2,35;1,32
"juiz";1,41;1,41
"defesa";1,88;0,66
"partido";2,35;4,55
"relação";0,94;1,49
"pedir";0,94;2,48
"grupo";2,35;1,66
"dilma";2,35;1,9
"inquérito";0;1,24
"sociedade";0,94;1,16
"cientista";0;0,83
"decisão";1,41;1,9
"ter";16,92;10,93
"sua";4,23;3,06
"governador";0,47;1,24
"propina";4,23;3,4
"chapa";0,47;0,75
"social";2,35;1,24
"três";0;0,83
"vir";2,82;0,58
"começar";0,94;0,75
"projeto";2,35;0,66
"sistema";0,94;1,66
"a";62,5;66,83
"grande";1,41;1,49
"delação";1,88;3,23
"ficar";1,41;1,16
"nossa";0,94;0,66
"envolver";0,94;1,08
"todo";2,82;2,32
"nosso";0,47;0,75
"janeiro";0,47;0,83
"senado";0,94;0,66
"base";0,47;0,91
"aprovar";0,94;0,66
"conseguir";0;1,24
"cada";0,47;0,75
"nome";1,41;1,9
"contra";0,94;2,9
"brasília";1,88;0,66
"parlamentar";2,82;0,75
"stf";1,41;3,31
"direito";0,94;1,57
"revelar";0,94;0,83
"tentar";0,47;0,91
"país";7,05;4,8
"esse";2,35;2,15
