"";"*gr_01";"*gr_02"
"precisar";1;12
"reforma";0;13
"afirmar";4;41
"segurança";0;11
"acordo";11;21
"sobre";7;43
"cidade";2;8
"outro";8;34
"pouco";6;4
"além";0;12
"me";1;10
"política";3;28
"político";97;529
"caixa";2;11
"fim";3;15
"brasileiro";10;25
"acontecer";1;10
"deixar";3;9
"segundo";7;27
"investigação";2;30
"após";4;22
"deputado";8;23
"lula";11;48
"receber";11;21
"dois";1;14
"acusar";4;7
"aécio";4;12
"pmdb";4;12
"relator";2;9
"de";264;1662
"alguma";2;8
"falar";4;15
"com";38;160
"essa";3;24
"candidato";2;16
"contrato";1;9
"judiciário";1;10
"ir";30;164
"depois";1;9
"recurso";0;12
"algum";4;8
"acusação";2;8
"antes";3;10
"ela";1;11
"objectivo";1;10
"ele";11;73
"esquema";1;15
"corte";0;13
"rio";1;13
"muito";0;28
"uma";21;131
"o";168;785
"novo";3;37
"foro";6;26
"privilegiado";4;16
"saber";6;20
"joesley";1;14
"apoio";3;12
"entrevista";1;9
"menos";3;12
"ver";2;17
"vez";2;22
"autoridade";1;13
"dia";6;11
"querer";9;17
"situação";1;11
"cargo";2;14
"principal";1;10
"mudar";0;11
"pessoa";3;40
"militar";7;5
"bom";2;8
"tribunal";0;20
"só";3;13
"justiça";3;21
"esperar";0;11
"se";26;106
"citado";1;14
"que";118;550
"forma";1;12
"mais";13;69
"já";10;26
"passar";3;14
"empreiteiro";1;12
"maior";2;14
"desde";4;18
"fazer";13;65
"porcento";3;7
"brasil";13;42
"ministro";8;28
"americano";0;10
"não";37;169
"voto";1;15
"2";3;13
"qual";3;32
"doação";1;9
"ano";7;35
"qualquer";1;12
"crime";1;14
"proposta";1;14
"planalto";2;10
"contar";2;11
"dinheiro";10;32
"federal";4;17
"população";2;8
"estar";23;82
"para";39;236
"como";8;107
"câmara";2;16
"por";24;223
"cunha";6;9
"caso";2;33
"estatal";1;12
"então";0;11
"processo";1;42
"lado";2;9
"viver";4;8
"até";6;14
"hoje";6;11
"_";0;66
"empresa";2;34
"julgar";1;10
"último";3;9
"ex_presidente";5;21
"agora";4;8
"batista";1;9
"interesse";0;10
"mundo";5;16
"juiz";3;17
"defesa";4;8
"partido";5;55
"relação";2;18
"pedir";2;30
"grupo";5;20
"dilma";5;23
"inquérito";0;15
"sociedade";2;14
"cientista";0;10
"decisão";3;23
"ter";36;132
"sua";9;37
"governador";1;15
"propina";9;41
"chapa";1;9
"social";5;15
"três";0;10
"vir";6;7
"começar";2;9
"projeto";5;8
"sistema";2;20
"a";133;807
"grande";3;18
"delação";4;39
"ficar";3;14
"nossa";2;8
"envolver";2;13
"todo";6;28
"nosso";1;9
"janeiro";1;10
"senado";2;8
"base";1;11
"aprovar";2;8
"conseguir";0;15
"cada";1;9
"nome";3;23
"contra";2;35
"brasília";4;8
"parlamentar";6;9
"stf";3;40
"direito";2;19
"revelar";2;10
"tentar";1;11
"país";15;58
"esse";5;26
"executivo";1;19
"defender";2;12
"michel_temer";8;51
"quem";3;15
"meio";1;16
"seu";9;42
"ser";65;371
"sem";2;26
"lava_jato";4;41
"pagar";4;15
"eleitoral";1;23
"eleição";0;24
"senador";5;12
"dizer";17;90
"pt";8;16
"chegar";3;16
"denúncia";1;15
"declarar";3;10
"empresário";3;22
"campanha";1;17
"próprio";4;15
"apenas";3;13
"jbs";4;12
"entre";10;32
"informar";3;7
"líder";1;9
"tomar";3;13
"mostrar";2;14
"presidente";9;64
"ministério";1;13
"poder";16;61
"governo";3;44
"um";53;155
"corrupção";8;30
"odebrecht";4;41
"sérgio_moro";4;11
"diverso";3;19
"pagamento";0;20
"problema";2;13
"psdb";2;18
"depoimento";1;10
"votação";2;9
"operação";1;25
"fachin";2;13
"presidencial";1;9
"público";8;41
"lei";1;23
"claro";4;7
"trump";0;10
"força";1;9
"porque";4;20
"julgamento";1;17
"abuso";1;13
"nós";1;13
"isso";4;36
"unido";1;10
"ainda";6;40
"história";2;8
"econômico";5;37
"supremo";1;12
"2018";0;10
"listar";3;15
"dever";6;21
"dar";5;12
"mandato";2;10
"primeiro";2;17
"tempo";0;13
"marcelo";0;12
"haver";4;53
"quando";3;23
"petrobras";1;13
"mês";2;10
"milhão";5;18
"centro";0;17
"explicar";1;9
"janot";1;13
"ninguém";5;9
"petista";5;9
"tudo";6;7
"atual";2;18
"impeachment";1;12
"superior";0;11
"investigado";0;11
"ao";12;94
"república";4;15
"rodrigo";1;10
"mesmo";5;24
"parte";4;17
"diante";0;12
"paulo";2;15
"estado";2;30
"momento";2;12
"rcifrão";1;16
"preso";2;8
"importante";0;10
"fato";6;13
"durante";0;13
"crise";7;16
"congresso";0;11
"ação";2;14
"também";2;47
"em";100;659
"quanto";1;10
"instância";0;10
"eu";1;28
"coisa";2;10
"investigar";1;15
"sempre";2;14
