"";"X.gr_01";"X.gr_02"
"precisar";-0,3992;0,3992
"reforma";-0,9168;0,9168
"afirmar";-0,7564;0,7564
"segurança";-0,7757;0,7757
"acordo";2,2912;-2,2912
"sobre";-0,2839;0,2839
"cidade";0,3419;-0,3419
"outro";0,5405;-0,5405
"pouco";2,864;-2,864
"além";-0,8462;0,8462
"me";-0,3073;0,3073
"política";-0,5275;0,5275
"político";0,4274;-0,4274
"caixa";0,221;-0,221
"fim";0,2844;-0,2844
"brasileiro";1,5407;-1,5407
"acontecer";-0,3073;0,3073
"deixar";0,5792;-0,5792
"segundo";0,6203;-0,6203
"investigação";-0,9134;0,9134
"após";0,2513;-0,2513
"deputado";1,0888;-1,0888
"lula";0,5798;-0,5798
"receber";2,2912;-2,2912
"dois";-0,496;0,496
"acusar";1,1605;-1,1605
"aécio";0,6791;-0,6791
"pmdb";0,6791;-0,6791
"relator";0,2948;-0,2948
"de";-1,3164;1,3164
"alguma";0,3419;-0,3419
"falar";0,5017;-0,5017
"com";1,2113;-1,2113
"essa";-0,3893;0,3893
"candidato";-0,3184;0,3184
"contrato";-0,2637;0,2637
"judiciário";-0,3073;0,3073
"ir";0,3412;-0,3412
"depois";-0,2637;0,2637
"recurso";-0,8462;0,8462
"algum";1,0372;-1,0372
"acusação";0,3419;-0,3419
"antes";0,5124;-0,5124
"ela";-0,3525;0,3525
"objectivo";-0,3073;0,3073
"ele";-0,4179;0,4179
"esquema";-0,546;0,546
"corte";-0,9168;0,9168
"rio";-0,447;0,447
"muito";-1,9757;1,9757
"uma";-0,4034;0,4034
"o";1,9524;-1,9524
"novo";-0,8845;0,8845
"foro";0,4629;-0,4629
"privilegiado";0,4542;-0,4542
"saber";0,7351;-0,7351
"joesley";-0,496;0,496
"apoio";0,4034;-0,4034
"entrevista";-0,2637;0,2637
"menos";0,4034;-0,4034
"ver";-0,3545;0,3545
"vez";-0,5522;0,5522
"autoridade";-0,447;0,447
"dia";1,5001;-1,5001
"querer";1,981;-1,981
"situação";-0,3525;0,3525
"cargo";-0,2501;0,2501
"principal";-0,3073;0,3073
"mudar";-0,7757;0,7757
"pessoa";-1,0149;1,0149
"militar";3,1786;-3,1786
"bom";0,3419;-0,3419
"tribunal";-1,4108;1,4108
"só";0,3587;-0,3587
"justiça";-0,296;0,296
"esperar";-0,7757;0,7757
"se";1,0768;-1,0768
"citado";-0,496;0,496
"que";1,5471;-1,5471
"forma";-0,3992;0,3992
"mais";0,3381;-0,3381
"já";1,4598;-1,4598
"passar";0,3193;-0,3193
"empreiteiro";-0,3992;0,3992
"maior";-0,2501;0,2501
"desde";0,3728;-0,3728
"fazer";0,4149;-0,4149
"porcento";0,7465;-0,7465
"brasil";1,2255;-1,2255
"ministro";0,7933;-0,7933
"americano";-0,7051;0,7051
"não";0,8708;-0,8708
"voto";-0,546;0,546
"2";0,3587;-0,3587
"qual";-0,6792;0,6792
"doação";-0,2637;0,2637
"ano";0,3524;-0,3524
"qualquer";-0,3992;0,3992
"crime";-0,496;0,496
"proposta";-0,496;0,496
"planalto";0,255;-0,255
"contar";0,221;-0,221
"dinheiro";1,057;-1,057
"federal";0,4114;-0,4114
"população";0,3419;-0,3419
"estar";1,4397;-1,4397
"para";-0,4059;0,4059
"como";-2,1627;2,1627
"câmara";-0,3184;0,3184
"por";-2,0258;2,0258
"cunha";1,7783;-1,7783
"caso";-1,0594;1,0594
"estatal";-0,3992;0,3992
"então";-0,7757;0,7757
"processo";-2,1012;2,1012
"lado";0,2948;-0,2948
"viver";1,0372;-1,0372
"até";1,175;-1,175
"hoje";1,5001;-1,5001
"_";-4,6638;4,6638
"empresa";-1,1091;1,1091
"julgar";-0,3073;0,3073
"último";0,5792;-0,5792
"ex_presidente";0,4578;-0,4578
"agora";1,0372;-1,0372
"batista";-0,2637;0,2637
"interesse";-0,7051;0,7051
"mundo";0,7063;-0,7063
"juiz";0,226;-0,226
"defesa";1,0372;-1,0372
"partido";-1,0134;1,0134
"relação";-0,3919;0,3919
"pedir";-0,9134;0,9134
"grupo";0,4991;-0,4991
"dilma";0,3851;-0,3851
"inquérito";-1,0579;1,0579
"sociedade";-0,2501;0,2501
"cientista";-0,7051;0,7051
"decisão";-0,3571;0,3571
"ter";1,8163;-1,8163
"sua";0,612;-0,612
"governador";-0,546;0,546
"propina";0,481;-0,481
"chapa";-0,2637;0,2637
"social";0,7711;-0,7711
"três";-0,7051;0,7051
"vir";2,1273;-2,1273
"começar";0,2948;-0,2948
"projeto";1,4694;-1,4694
"sistema";-0,47;0,47
"a";-0,6096;0,6096
"grande";-0,2131;0,2131
"delação";-0,6832;0,6832
"ficar";0,3193;-0,3193
"nossa";0,3419;-0,3419
"envolver";-0,2182;0,2182
"todo";0,3963;-0,3963
"nosso";-0,2637;0,2637
"janeiro";-0,3073;0,3073
"senado";0,3419;-0,3419
"base";-0,3525;0,3525
"aprovar";0,3419;-0,3419
"conseguir";-1,0579;1,0579
"cada";-0,2637;0,2637
"nome";-0,3571;0,3571
"contra";-1,1593;1,1593
"brasília";1,0372;-1,0372
"parlamentar";1,7783;-1,7783
"stf";-1,0149;1,0149
"direito";-0,4304;0,4304
"revelar";0,255;-0,255
"tentar";-0,3525;0,3525
"país";0,9111;-0,9111
"esse";0,2968;-0,2968
"executivo";-0,7547;0,7547
"defender";-0,188;0,188
"michel_temer";-0,3301;0,3301
"quem";0,2844;-0,2844
"meio";-0,597;0,597
"seu";0,4525;-0,4525
"ser";-0,2876;0,2876
"sem";-0,727;0,727
"lava_jato";-0,7564;0,7564
"pagar";0,5017;-0,5017
"eleitoral";-0,9741;0,9741
"eleição";-1,6932;1,6932
"senador";1,008;-1,008
"dizer";0,3595;-0,3595
"pt";1,7069;-1,7069
"chegar";0,2534;-0,2534
"denúncia";-0,546;0,546
"declarar";0,5124;-0,5124
"empresário";-0,326;0,326
"campanha";-0,6488;0,6488
"próprio";0,5017;-0,5017
"apenas";0,3587;-0,3587
"jbs";0,6791;-0,6791
"entre";1,057;-1,057
"informar";0,7465;-0,7465
"líder";-0,2637;0,2637
"tomar";0,3587;-0,3587
"mostrar";-0,2501;0,2501
"presidente";-0,4823;0,4823
"ministério";-0,447;0,447
"poder";0,9776;-0,9776
"governo";-1,1958;1,1958
"um";4,3119;-4,3119
"corrupção";0,6986;-0,6986
"odebrecht";-0,7564;0,7564
"sérgio_moro";0,7528;-0,7528
"diverso";-0,2395;0,2395
"pagamento";-1,4108;1,4108
"problema";-0,2182;0,2182
"psdb";-0,3919;0,3919
"depoimento";-0,3073;0,3073
"votação";0,2948;-0,2948
"operação";-1,0869;1,0869
"fachin";-0,2182;0,2182
"presidencial";-0,2637;0,2637
"público";0,3411;-0,3411
"lei";-0,9741;0,9741
"claro";1,1605;-1,1605
"trump";-0,7051;0,7051
"força";-0,2637;0,2637
"porque";0,3061;-0,3061
"julgamento";-0,6488;0,6488
"abuso";-0,447;0,447
"nós";-0,447;0,447
"isso";-0,5784;0,5784
"unido";-0,3073;0,3073
"ainda";-0,3422;0,3422
"história";0,3419;-0,3419
"econômico";-0,4162;0,4162
"supremo";-0,3992;0,3992
"2018";-0,7051;0,7051
"listar";0,2844;-0,2844
"dever";0,6805;-0,6805
"dar";1,008;-1,008
"mandato";0,255;-0,255
"primeiro";-0,3545;0,3545
"tempo";-0,9168;0,9168
"marcelo";-0,8462;0,8462
"haver";-1,2411;1,2411
"quando";-0,3571;0,3571
"petrobras";-0,447;0,447
"mês";0,255;-0,255
"milhão";0,5934;-0,5934
"centro";-1,199;1,199
"explicar";-0,2637;0,2637
"janot";-0,447;0,447
"ninguém";1,3331;-1,3331
"petista";1,3331;-1,3331
"tudo";2,1273;-2,1273
"atual";-0,3919;0,3919
"impeachment";-0,3992;0,3992
"superior";-0,7757;0,7757
"investigado";-0,7757;0,7757
"ao";-0,7474;0,7474
"república";0,5017;-0,5017
"rodrigo";-0,3073;0,3073
"mesmo";0,3532;-0,3532
"parte";0,4114;-0,4114
"diante";-0,8462;0,8462
"paulo";-0,2835;0,2835
"estado";-0,9134;0,9134
"momento";-0,188;0,188
