"";"X.gr_01";"X.gr_02"
"pre";-4,4894;4,4894
"ver_sup";0,8584;-0,8584
"ono";-0,371;0,371
"pro_per";-0,569;0,569
"num";0,3784;-0,3784
"conj";-1,7051;1,7051
"adv";-0,3577;0,3577
"ver";3,4015;-3,4015
"pro_int";0,3176;-0,3176
"nr";-0,6383;0,6383
"pro_ind";1,6692;-1,6692
"adj";-0,3011;0,3011
"pro_dem";-0,2677;0,2677
"nom";-0,4906;0,4906
"adj ";-0,0742;0,0742
"adv_sup";0,6196;-0,6196
"nom_sup";0,7299;-0,7299
"pro_pos";0,4444;-0,4444
"adj_sup";0,5385;-0,5385
"art_def";2,4829;-2,4829
"adj_num";-0,8103;0,8103
"pro_rel";1,0556;-1,0556
