"";"banalfreq";"X.gr_01";"X.gr_02"
"precisar";10;-0,1918;0,1918
"reforma";12;-0,6899;0,6899
"afirmar";45;-0,7587;0,7587
"acordo";46;1,6499;-1,6499
"sobre";20;-0,2668;0,2668
"100";23;0,4993;-0,4993
"outro";39;-0,3374;0,3374
"total";23;0,2549;-0,2549
"lourar";11;0,3939;-0,3939
"pouco";16;1,4056;-1,4056
"além";31;1,0923;-1,0923
"me";11;0,3939;-0,3939
"rio";11;-0,6324;0,6324
"político";18;-0,4849;0,4849
"abaixo";12;-0,2587;0,2587
"área";12;-0,6899;0,6899
"empreiteiro";29;-0,9597;0,9597
"sede";10;-0,5749;0,5749
"delator";34;-0,2333;0,2333
"caixa";12;0,348;-0,348
"valor";81;-1,2717;1,2717
"9";18;1,2033;-1,2033
"carlos";10;-0,1918;0,1918
"cofre";12;1,2894;-1,2894
"repassar";20;-0,5666;0,5666
"gravação";11;-0,6324;0,6324
"segundo";97;-0,8673;0,8673
"investigação";16;0,4975;-0,4975
"após";21;0,3077;-0,3077
"bacelar";10;-0,5749;0,5749
"lula";99;0,3401;-0,3401
"bndes";11;-0,6324;0,6324
"dois";29;-0,9597;0,9597
"acusar";14;0,2736;-0,2736
"aécio";56;0,2587;-0,2587
"pmdb";23;-0,3526;0,3526
"de";2091;-0,3422;0,3422
"número";12;0,348;-0,348
"comprar";25;0,4247;-0,4247
"saud";17;0,4511;-0,4511
"diferença";14;-0,805;0,805
"bloqueio";12;-0,2587;0,2587
"sair";13;-0,294;0,294
"mês";28;1,7601;-1,7601
"triplex";16;0,2166;-0,2166
"vídeo";13;0,6733;-0,6733
"terreno";10;-0,1918;0,1918
"com";209;-0,3223;0,3223
"contrato";23;-0,3526;0,3526
"encontrar";10;-0,5749;0,5749
"ir";222;-1,1513;1,1513
"empresário";57;-0,8267;0,8267
"aparecer";12;1,2894;-1,2894
"depois";11;-0,6324;0,6324
"recurso";23;-0,6935;0,6935
"deputado";39;1,7453;-1,7453
"acusação";10;-0,1918;0,1918
"ela";10;-0,5749;0,5749
"candidato";10;-0,5749;0,5749
"ele";92;-1,288;1,288
"51";12;-0,6899;0,6899
"50";17;-0,9776;0,9776
"neve";18;-0,4849;0,4849
"tucano";10;0,4473;-0,4473
"ministro";15;0,9783;-0,9783
"muito";10;-0,1918;0,1918
"uma";141;-0,3844;0,3844
"ainda";31;-0,3436;0,3436
"o";819;1,0963;-1,0963
"novo";19;-1,0926;1,0926
"condenar";13;0,6733;-0,6733
"imóvel";19;-0,5254;0,5254
"josé";10;-0,1918;0,1918
"menos";10;-0,5749;0,5749
"ver";26;-0,2259;0,2259
"vez";11;-0,2246;0,2246
"quase";14;1,0701;-1,0701
"espécie";16;-0,406;0,406
"irmão";13;1,1731;-1,1731
"querer";14;0,6076;-0,6076
"joão";14;-0,3303;0,3303
"instituto";25;-0,2049;0,2049
"semana";10;0,9313;-0,9313
"ex_ministro";19;-1,0926;1,0926
"saber";13;0,3082;-0,3082
