"";"X.gr_01";"X.gr_02"
"precisar";0,53;0,67
"reforma";0;0,9
"afirmar";1,59;3,15
"acordo";5,83;2,62
"sobre";1,06;1,35
"100";2,12;1,42
"outro";2,12;2,62
"total";1,59;1,5
"lourar";1,06;0,67
"pouco";2,65;0,82
"além";3,71;1,8
"me";1,06;0,67
"rio";0;0,82
"político";0,53;1,27
"abaixo";0,53;0,82
"área";0;0,9
"empreiteiro";0,53;2,1
"sede";0;0,75
"delator";2,12;2,25
"caixa";1,06;0,75
"valor";2,65;5,7
"9";2,65;0,97
"carlos";0,53;0,67
"cofre";2,12;0,6
"repassar";0,53;1,42
"gravação";0;0,82
"segundo";4,24;6,67
"investigação";1,59;0,97
"após";1,59;1,35
"bacelar";0;0,75
"lula";6,89;6,44
"receber";11,12;5,62
"bndes";0;0,82
"dois";0,53;2,1
"acusar";1,06;0,9
"aécio";3,71;3,67
"pmdb";1,06;1,57
"de";136,12;137,44
"número";1,06;0,75
"comprar";2,12;1,57
"saud";1,59;1,05
"diferença";0;1,05
"bloqueio";0,53;0,82
"00";3,18;0,52
"sair";0,53;0,9
"mês";4,24;1,5
"triplex";1,06;1,05
"vídeo";1,59;0,75
"terreno";0,53;0,67
"com";13,24;13,79
"contrato";1,06;1,57
"encontrar";0;0,75
"ir";10,59;15,14
"empresário";2,12;3,97
"aparecer";2,12;0,6
"depois";0;0,82
"recurso";0,53;1,65
"deputado";5,3;2,17
"acusação";0,53;0,67
"ela";0;0,75
"candidato";0;0,75
"ele";3,18;6,44
"51";0;0,9
"50";0;1,27
"neve";0,53;1,27
"tucano";1,06;0,6
"ministro";2,12;0,82
"muito";0,53;0,67
"uma";8,47;9,37
"ainda";1,59;2,1
"o";60,91;52,76
"novo";0;1,42
"condenar";1,59;0,75
"imóvel";0,53;1,35
"josé";0,53;0,67
"menos";0;0,75
"ver";1,59;1,72
"vez";0,53;0,75
"quase";2,12;0,75
"espécie";0,53;1,12
"irmão";2,12;0,67
"querer";1,59;0,82
"petista";2,65;0,37
"joão";0,53;0,97
"instituto";1,59;1,65
"semana";1,59;0,52
"ex_ministro";0;1,42
"saber";1,06;0,82
"1";10,59;5,25
"primeiro";0,53;1,42
"justiça";0;1,2
"vieira";0;0,9
"mais";6,89;4,72
"crédito";0,53;0,82
"fazer";4,24;4,27
"porcento";0,53;1,72
"brasil";2,12;1,57
"não";3,18;5,4
"voto";1,06;0,6
"2";6,36;6,82
"investimento";0;0,75
"qual";0,53;1,27
"doação";0,53;1,05
"10";2,12;2,17
"12";0,53;1,65
"15";1,59;1,12
"pro";0,53;1,05
"ano";5,83;3,3
"nota";0,53;0,82
"200";1,59;0,52
"crime";2,12;0,52
"estar";5,83;3,15
"já";1,59;1,57
"contar";2,12;1,87
"dinheiro";2,65;3,75
"federal";3,71;3
"como";3,18;3,3
"câmara";1,06;0,9
"por";15,36;17,39
"entregar";1,59;2,1
"cunha";0,53;0,97
"família";0;0,9
"500";4,24;1,8
"partido";0,53;1,27
"quatro";0;0,75
"casa";1,06;0,6
"caso";2,12;1,42
"prisão";2,12;0,82
"processo";0;1,12
"4";5,3;3,82
"até";3,71;1,95
"_";0;4,2
"benefício";0,53;0,67
"diretor";2,65;0,97
"pessoa";0;0,75
"último";2,12;0,9
"ex_presidente";1,59;3
"advogado";0,53;0,82
"batista";3,18;2,55
"investigado";0;1,05
"ao";3,18;9,67
"juiz";1,59;1,35
"defesa";1,06;1,65
"5";5,83;4,87
"pedir";1,59;4,27
"joesley";5,83;4,05
"grupo";1,59;1,27
"fiscal";0,53;0,9
"apartamento";1,59;1,95
"dilma";2,65;1,65
"mpf";2,65;1,8
"ter";11,65;9,52
"sua";3,18;1,65
"governador";1,59;1,42
"propina";4,77;6,44
"conta";1,06;1,57
"6";4,24;2,47
"prever";0,53;0,67
"procurador";0,53;0,67
"projeto";1,59;0,75
"mala";2,65;1,27
"relatar";1,59;0,97
"a";48,2;52,83
"grande";0;0,9
"delação";4,24;2,7
"20";1,59;1,2
"ricardo";2,12;0,9
"bilhão";11,65;6,89
"ficar";1,06;1,87
"polícia";0;1,35
"cada";0,53;1,65
"pedido";2,65;2,32
"cercar";1,06;2,32
"dia";0,53;0,97
"todo";1,06;1,35
"7";3,18;2,17
"obra";0,53;1,12
"conseguir";0,53;0,97
"dono";1,59;1,8
"contra";1,59;0,97
"para";13,24;20,53
"país";1,59;0,97
"parlamentar";3,18;0,3
"dano";1,06;0,67
"essa";0,53;1,2
"então";0;1,2
"esse";1,59;1,35
"orçamento";0;0,75
"quem";0,53;0,75
"8";2,12;0,97
"receita";0,53;0,82
"seu";0,53;1,35
"ser";16,42;15,51
"sem";0,53;1,05
"lava_jato";0;3,22
"repasse";0;0,82
"pagar";5,3;6,89
"indenização";1,59;0,9
"eleitoral";0;0,75
"considerar";0;0,75
"setor";0;1,12
"senador";6,36;2,55
"dizer";4,77;7,57
"pt";2,65;1,72
"chegar";2,12;1,35
"denúncia";1,06;0,9
"pf";1,59;1,12
"cinco";0,53;0,9
"premiar";1,59;0,9
"campanha";1,59;3,22
"jbs";6,89;3,9
"entre";3,18;3,07
"informar";1,59;0,6
"apoio";0;1,2
"autoridade";0;0,9
"300";1,06;1,42
"bi";1,59;0,52
"ministério";1,06;1,57
"poder";2,12;1,65
"governo";4,77;2,32
"um";11,12;11,84
"corrupção";1,06;0,82
"salário";2,12;0,45
"odebrecht";4,24;7,49
"sérgio_moro";1,06;1,27
"pagamento";1,06;3,52
"relação";0,53;0,75
"psdb";0;1,42
"depoimento";1,06;2,17
"operação";1,06;2,4
"público";3,71;2,1
"ler";1,06;0,67
"destinar";0;1,12
"30";2,12;1,57
"35";2,12;0,52
"lima";0;0,97
"presidente";2,12;2,1
"f";0,53;0,9
"3";5,3;4,27
"isso";1,06;0,97
"empresa";4,24;4,65
"2018";0,53;0,75
"2015";0;0,75
"2014";3,18;3,07
"2016";4,24;1,12
"2013";0,53;0,82
"dever";0,53;0,67
"dar";0;2,02
"que";31,25;33,42
"meio";1,06;1,05
"marcelo";1,06;3,07
"haver";2,12;2,1
"quando";0;0,97
"petrobras";1,06;1,35
"2017";1,06;0,9
"mil";12,18;7,34
"milhão";23,83;29,83
"serviço";0,53;0,75
"fazenda";5,83;0,15
"se";3,71;2,85
"atual";0;0,9
"partir";1,06;0,97
"palocci";0;1,35
"confirmar";1,06;0,75
"eduardo";2,65;0,75
"república";0,53;0,67
"multa";0;1,72
"2010";0,53;1,12
"2012";0,53;0,9
"mesmo";2,12;1,5
