"";"*gr_01";"*gr_02"
"precisar";1;9
"reforma";0;12
"afirmar";3;42
"acordo";11;35
"sobre";2;18
"100";4;19
"outro";4;35
"total";3;20
"lourar";2;9
"pouco";5;11
"além";7;24
"me";2;9
"rio";0;11
"político";1;17
"abaixo";1;11
"área";0;12
"empreiteiro";1;28
"sede";0;10
"delator";4;30
"caixa";2;10
"valor";5;76
"9";5;13
"carlos";1;9
"cofre";4;8
"repassar";1;19
"gravação";0;11
"segundo";8;89
"investigação";3;13
"após";3;18
"bacelar";0;10
"lula";13;86
"receber";21;75
"bndes";0;11
"dois";1;28
"acusar";2;12
"aécio";7;49
"pmdb";2;21
"de";257;1834
"número";2;10
"comprar";4;21
"saud";3;14
"diferença";0;14
"bloqueio";1;11
"00";6;7
"sair";1;12
"mês";8;20
"triplex";2;14
"vídeo";3;10
"terreno";1;9
"com";25;184
"contrato";2;21
"encontrar";0;10
"ir";20;202
"empresário";4;53
"aparecer";4;8
"depois";0;11
"recurso";1;22
"deputado";10;29
"acusação";1;9
"ela";0;10
"candidato";0;10
"ele";6;86
"51";0;12
"50";0;17
"neve";1;17
"tucano";2;8
"ministro";4;11
"muito";1;9
"uma";16;125
"ainda";3;28
"o";115;704
"novo";0;19
"condenar";3;10
"imóvel";1;18
"josé";1;9
"menos";0;10
"ver";3;23
"vez";1;10
"quase";4;10
"espécie";1;15
"irmão";4;9
"querer";3;11
"petista";5;5
"joão";1;13
"instituto";3;22
"semana";3;7
"ex_ministro";0;19
"saber";2;11
"1";20;70
"primeiro";1;19
"justiça";0;16
"vieira";0;12
"mais";13;63
"crédito";1;11
"fazer";8;57
"porcento";1;23
"brasil";4;21
"não";6;72
"voto";2;8
"2";12;91
"investimento";0;10
"qual";1;17
"doação";1;14
"10";4;29
"12";1;22
"15";3;15
"pro";1;14
"ano";11;44
"nota";1;11
"200";3;7
"crime";4;7
"estar";11;42
"já";3;21
"contar";4;25
"dinheiro";5;50
"federal";7;40
"como";6;44
"câmara";2;12
"por";29;232
"entregar";3;28
"cunha";1;13
"família";0;12
"500";8;24
"partido";1;17
"quatro";0;10
"casa";2;8
"caso";4;19
"prisão";4;11
"processo";0;15
"4";10;51
"até";7;26
"_";0;56
"benefício";1;9
"diretor";5;13
"pessoa";0;10
"último";4;12
"ex_presidente";3;40
"advogado";1;11
"batista";6;34
"investigado";0;14
"ao";6;129
"juiz";3;18
"defesa";2;22
"5";11;65
"pedir";3;57
"joesley";11;54
"grupo";3;17
"fiscal";1;12
"apartamento";3;26
"dilma";5;22
"mpf";5;24
"ter";22;127
"sua";6;22
"governador";3;19
"propina";9;86
"conta";2;21
"6";8;33
"prever";1;9
"procurador";1;9
"projeto";3;10
"mala";5;17
"relatar";3;13
"a";91;705
"grande";0;12
"delação";8;36
"20";3;16
"ricardo";4;12
"bilhão";22;92
"ficar";2;25
"polícia";0;18
"cada";1;22
"pedido";5;31
"cercar";2;31
"dia";1;13
"todo";2;18
"7";6;29
"obra";1;15
"conseguir";1;13
"dono";3;24
"contra";3;13
"para";25;274
"país";3;13
"parlamentar";6;4
"dano";2;9
"essa";1;16
"então";0;16
"esse";3;18
"orçamento";0;10
"quem";1;10
"8";4;13
"receita";1;11
"seu";1;18
"ser";31;207
"sem";1;14
"lava_jato";0;43
"repasse";0;11
"pagar";10;92
"indenização";3;12
"eleitoral";0;10
"considerar";0;10
"setor";0;15
"senador";12;34
"dizer";9;101
"pt";5;23
"chegar";4;18
"denúncia";2;12
"pf";3;15
"cinco";1;12
"premiar";3;12
"campanha";3;43
"jbs";13;52
"entre";6;41
"informar";3;8
"apoio";0;16
"autoridade";0;12
"300";2;19
"bi";3;7
"ministério";2;21
"poder";4;22
"governo";9;31
"um";21;158
"corrupção";2;11
"salário";4;6
"odebrecht";8;100
"sérgio_moro";2;17
"pagamento";2;47
"relação";1;10
"psdb";0;19
"depoimento";2;29
"operação";2;32
"público";7;28
"ler";2;9
"destinar";0;15
"30";4;21
"35";4;7
"lima";0;13
"presidente";4;28
"f";1;12
"3";10;57
"isso";2;13
"empresa";8;62
"2018";1;10
"2015";0;10
"2014";6;41
"2016";8;15
"2013";1;11
"dever";1;9
"dar";0;27
"que";59;446
"meio";2;14
"marcelo";2;41
"haver";4;28
"quando";0;13
"petrobras";2;18
"2017";2;12
"mil";23;98
"milhão";45;398
"serviço";1;10
"fazenda";11;2
"se";7;38
"atual";0;12
"partir";2;13
"palocci";0;18
"confirmar";2;10
"eduardo";5;10
"república";1;9
"multa";0;23
"2010";1;15
"2012";1;12
"mesmo";4;20
"parte";2;15
"paulo";1;29
"filho";3;10
"maior";6;14
"estado";3;18
"executivo";1;15
"michel_temer";7;27
"rcifrão";112;616
"nacional";2;15
"preso";3;16
"durante";8;16
"somar";5;8
"ação";3;16
"também";11;46
"em";87;740
"banco";2;18
"troca";1;10
"três";1;12
"fundo";0;13
"j";1;12
"frigorífico";0;15
"eu";2;28
"40";0;13
"oas";3;16
"dívida";8;12
