"";"X.gr_01";"X.gr_02"
"precisar";-0,1918;0,1918
"reforma";-0,6899;0,6899
"afirmar";-0,7587;0,7587
"acordo";1,6499;-1,6499
"sobre";-0,2668;0,2668
"100";0,4993;-0,4993
"outro";-0,3374;0,3374
"total";0,2549;-0,2549
"lourar";0,3939;-0,3939
"pouco";1,4056;-1,4056
"além";1,0923;-1,0923
"me";0,3939;-0,3939
"rio";-0,6324;0,6324
"político";-0,4849;0,4849
"abaixo";-0,2587;0,2587
"área";-0,6899;0,6899
"empreiteiro";-0,9597;0,9597
"sede";-0,5749;0,5749
"delator";-0,2333;0,2333
"caixa";0,348;-0,348
"valor";-1,2717;1,2717
"9";1,2033;-1,2033
"carlos";-0,1918;0,1918
"cofre";1,2894;-1,2894
"repassar";-0,5666;0,5666
"gravação";-0,6324;0,6324
"segundo";-0,8673;0,8673
"investigação";0,4975;-0,4975
"após";0,3077;-0,3077
"bacelar";-0,5749;0,5749
"lula";0,3401;-0,3401
"receber";2,2005;-2,2005
"bndes";-0,6324;0,6324
"dois";-0,9597;0,9597
"acusar";0,2736;-0,2736
"aécio";0,2587;-0,2587
"pmdb";-0,3526;0,3526
"de";-0,3422;0,3422
"número";0,348;-0,348
"comprar";0,4247;-0,4247
"saud";0,4511;-0,4511
"diferença";-0,805;0,805
"bloqueio";-0,2587;0,2587
"00";2,5468;-2,5468
"sair";-0,294;0,294
"mês";1,7601;-1,7601
"triplex";0,2166;-0,2166
"vídeo";0,6733;-0,6733
"terreno";-0,1918;0,1918
"com";-0,3223;0,3223
"contrato";-0,3526;0,3526
"encontrar";-0,5749;0,5749
"ir";-1,1513;1,1513
"empresário";-0,8267;0,8267
"aparecer";1,2894;-1,2894
"depois";-0,6324;0,6324
"recurso";-0,6935;0,6935
"deputado";1,7453;-1,7453
"acusação";-0,1918;0,1918
"ela";-0,5749;0,5749
"candidato";-0,5749;0,5749
"ele";-1,288;1,288
"51";-0,6899;0,6899
"50";-0,9776;0,9776
"neve";-0,4849;0,4849
"tucano";0,4473;-0,4473
"ministro";0,9783;-0,9783
"muito";-0,1918;0,1918
"uma";-0,3844;0,3844
"ainda";-0,3436;0,3436
"o";1,0963;-1,0963
"novo";-1,0926;1,0926
"condenar";0,6733;-0,6733
"imóvel";-0,5254;0,5254
"josé";-0,1918;0,1918
"menos";-0,5749;0,5749
"ver";-0,2259;0,2259
"vez";-0,2246;0,2246
"quase";1,0701;-1,0701
"espécie";-0,406;0,406
"irmão";1,1731;-1,1731
"querer";0,6076;-0,6076
"petista";2,3689;-2,3689
"joão";-0,3303;0,3303
"instituto";-0,2049;0,2049
"semana";0,9313;-0,9313
"ex_ministro";-1,0926;1,0926
"saber";0,3082;-0,3082
"1";2,2001;-2,2001
"primeiro";-0,5666;0,5666
"justiça";-0,92;0,92
"vieira";-0,6899;0,6899
"mais";0,848;-0,848
"crédito";-0,2587;0,2587
"fazer";-0,2334;0,2334
"porcento";-0,7368;0,7368
"brasil";0,4247;-0,4247
"não";-0,8703;0,8703
"voto";0,4473;-0,4473
"2";-0,3161;0,3161
"investimento";-0,5749;0,5749
"qual";-0,4849;0,4849
"doação";-0,3677;0,3677
"10";-0,2145;0,2145
"12";-0,6935;0,6935
"15";0,4095;-0,4095
"pro";-0,3677;0,3677
"ano";1,1428;-1,1428
"nota";-0,2587;0,2587
"200";0,9313;-0,9313
"crime";1,4219;-1,4219
"estar";1,2403;-1,2403
"já";0,2322;-0,2322
"contar";0,308;-0,308
"dinheiro";-0,5115;0,5115
"federal";0,4395;-0,4395
"como";-0,2421;0,2421
"câmara";0,2736;-0,2736
"por";-0,5225;0,5225
"entregar";-0,3436;0,3436
"cunha";-0,3303;0,3303
"família";-0,6899;0,6899
"500";1,4241;-1,4241
"partido";-0,4849;0,4849
"quatro";-0,5749;0,5749
"casa";0,4473;-0,4473
"caso";0,4993;-0,4993
"prisão";0,9783;-0,9783
"processo";-0,8625;0,8625
"4";0,6601;-0,6601
"até";0,9748;-0,9748
"_";-3,2246;3,2246
"benefício";-0,1918;0,1918
"diretor";1,2033;-1,2033
"pessoa";-0,5749;0,5749
"último";0,896;-0,896
"ex_presidente";-0,6931;0,6931
"advogado";-0,2587;0,2587
"batista";0,425;-0,425
"investigado";-0,805;0,805
"ao";-2,8369;2,8369
"juiz";0,3077;-0,3077
"defesa";-0,3829;0,3829
"5";0,4691;-0,4691
"pedir";-1,2992;1,2992
"joesley";0,7546;-0,7546
"grupo";0,3382;-0,3382
"fiscal";-0,294;0,294
"apartamento";-0,2942;0,2942
"dilma";0,6247;-0,6247
"mpf";0,5424;-0,5424
"ter";0,6567;-0,6567
"sua";0,9043;-0,9043
"governador";0,28;-0,28
"propina";-0,6112;0,6112
"conta";-0,3526;0,3526
"6";0,8938;-0,8938
"prever";-0,1918;0,1918
"procurador";-0,1918;0,1918
