"";"X.gr_01";"X.gr_02"
"pre";-3,2254;3,2254
"ver_sup";-0,3553;0,3553
"ono";0,6144;-0,6144
"pro_per";-0,9754;0,9754
"num";5,839;-5,839
"conj";-0,4722;0,4722
"adv";-0,6868;0,6868
"ver";0,3792;-0,3792
"pro_int";0,3764;-0,3764
"nr";2,1024;-2,1024
"pro_ind";-0,8961;0,8961
"adj";1,151;-1,151
"pro_dem";-0,4037;0,4037
"nom";-0,5038;0,5038
"adj ";0,4668;-0,4668
"adv_sup";2,8944;-2,8944
"nom_sup";-1,5446;1,5446
"pro_pos";0,7903;-0,7903
"adj_sup";-0,1209;0,1209
"art_def";0,4289;-0,4289
"adj_num";-0,5934;0,5934
"pro_rel";-0,6829;0,6829
