"";"banalfreq";"X.gr_01";"X.gr_02"
"sigilo";14;-0,3318;0,3318
"fazer";42;-1,0366;1,0366
"afirmar";33;-1,1487;1,1487
"decidir";22;0,2784;-0,2784
"acordo";20;-0,2683;0,2683
"zavascki";15;0,5472;-0,5472
"outro";37;-0,8398;0,8398
"obstrução";11;-0,6342;0,6342
"político";36;-0,4819;0,4819
"abaixo";13;0,3069;-0,3069
"delator";11;0,3924;-0,3924
"passado";12;-0,6919;0,6919
"enviar";27;-0,2495;0,2495
"fim";16;-0,4077;0,4077
"brasileiro";11;-0,6342;0,6342
"três";17;-0,4469;0,4469
"deixar";15;-0,865;0,865
"apenas";10;0,4457;-0,4457
"quinto";10;-0,5766;0,5766
"corpus";14;-0,8073;0,8073
"segundo";43;-1,077;1,077
"geral";15;-0,3693;0,3693
"investigação";52;-1,0065;1,0065
"lula";68;-0,8679;0,8679
"receber";12;1,2857;-1,2857
"dois";20;0,3365;-0,3365
"aécio";51;1,3385;-1,3385
"relator";75;-0,2657;0,2657
"de";2173;0,3666;-0,3666
"plenário";27;0,6215;-0,6215
"falar";14;0,6053;-0,6053
"com";158;-0,3956;0,3956
"durante";12;-0,6919;0,6919
"judiciário";13;0,3069;-0,3069
"passivo";13;-0,7496;0,7496
"ir";181;0,3981;-0,3981
"empresário";15;-0,3693;0,3693
"depois";20;-0,5689;0,5689
"recurso";31;-0,3458;0,3458
"algum";11;1,418;-1,418
"deputado";37;-0,511;0,511
"acusação";11;-0,6342;0,6342
"antes";12;-0,2598;0,2598
"ela";10;-0,5766;0,5766
"ele";59;-0,2628;0,2628
"assim";11;-0,2256;0,2256
"negar";15;-0,3693;0,3693
"neve";26;0,6673;-0,6673
"privilegiado";41;1,2143;-1,2143
"rejeitar";10;-0,1927;0,1927
"muito";10;0,9286;-0,9286
"uma";86;-0,3083;0,3083
"o";932;1,2519;-1,2519
"sob";10;-0,1927;0,1927
"contar";13;0,3069;-0,3069
"novo";22;-0,6533;0,6533
"lourar";18;0,4076;-0,4076
"foro";65;1,2636;-1,2636
"seguir";11;0,3924;-0,3924
"cumprir";11;-0,6342;0,6342
"condenar";21;1,4192;-1,4192
"liberar";12;-0,6919;0,6919
"junto";13;-0,2953;0,2953
"abertura";17;-0,9804;0,9804
"joesley";26;-0,4482;0,4482
"ver";19;-1,0958;1,0958
"vez";11;1,418;-1,418
"irmão";15;0,9749;-0,9749
"dia";22;-0,6533;0,6533
"querer";14;-0,8073;0,8073
"revista";10;-0,5766;0,5766
"cargo";27;0,9593;-0,9593
"semana";24;-0,385;0,385
"tribunal";35;0,353;-0,353
"só";19;0,3702;-0,3702
"gilmar";31;0,7444;-0,7444
"primeiro";35;-1,243;1,243
"justiça";55;-0,7698;0,7698
"cármen";35;1,2125;-1,2125
"se";116;0,4342;-0,4342
"turma";25;0,7167;-0,7167
"forma";10;-0,5766;0,5766
"mais";43;-0,2582;0,2582
"passar";13;0,6709;-0,6709
"determinar";22;0,5391;-0,5391
"desde";10;0,4457;-0,4457
"citar";10;-0,5766;0,5766
"afastado";14;-0,8073;0,8073
"eu";10;-0,1927;0,1927
"brasil";18;1,1991;-1,1991
"mello";18;0,4076;-0,4076
"voto";15;-0,865;0,865
"2";10;1,5703;-1,5703
