"";"X.gr_01";"X.gr_02"
"sigilo";0,53;0,99
"fazer";1,07;3,03
"afirmar";0,53;2,43
"decidir";1,6;1,44
"acordo";1,07;1,36
"sobre";1,07;5,38
"zavascki";1,6;0,91
"outro";1,07;2,65
"obstrução";0;0,83
"político";1,6;2,5
"abaixo";1,07;0,83
"delator";1,07;0,68
"passado";0;0,91
"enviar";1,6;1,82
"fim";0,53;1,14
"brasileiro";0;0,83
"três";0,53;1,21
"deixar";0;1,14
"apenas";1,07;0,61
"quinto";0;0,76
"corpus";0;1,06
"segundo";1,07;3,11
"geral";0,53;1,06
"investigação";1,6;3,71
"após";0,53;4,25
"lula";2,67;4,78
"receber";2,14;0,61
"dois";1,6;1,29
"aécio";5,88;3,03
"relator";4,81;5
"de";145,83;144,05
"plenário";2,67;1,67
"falar";1,6;0,83
"com";9,62;10,61
"durante";0;0,91
"judiciário";1,07;0,83
"passivo";0;0,99
"ir";12,82;11,9
"empresário";0,53;1,06
"depois";0,53;1,44
"recurso";1,6;2,12
"algum";2,14;0,53
"deputado";1,6;2,58
"acusação";0;0,83
"antes";0,53;0,83
"ela";0;0,76
"ele";3,74;3,94
"assim";0,53;0,76
"negar";0,53;1,06
"neve";2,67;1,59
"privilegiado";4,81;2,43
"rejeitar";0,53;0,68
"muito";1,6;0,53
"uma";5,34;5,76
"o";70,51;60,65
"sob";0,53;0,68
"contar";1,07;0,83
"novo";0,53;1,59
"lourar";1,6;1,14
"foro";6,94;3,94
"seguir";1,07;0,68
"cumprir";0;0,83
"condenar";3,21;1,14
"liberar";0;0,91
"junto";0,53;0,91
"abertura";0;1,29
"joesley";1,07;1,82
"ver";0;1,44
"vez";2,14;0,53
"irmão";2,14;0,83
"dia";0,53;1,59
"querer";0;1,06
"revista";0;0,76
"cargo";3,21;1,59
"semana";1,07;1,67
"tribunal";2,67;2,27
"só";1,6;1,21
"gilmar";3,21;1,9
"primeiro";0,53;2,58
"justiça";2,14;3,87
"cármen";4,27;2,05
"se";8,55;7,58
"turma";2,67;1,52
"forma";0;0,76
"mais";2,67;2,88
"passar";1,6;0,76
"determinar";2,14;1,36
"desde";1,07;0,61
"citar";0;0,76
"afastado";0;1,06
"eu";0,53;0,68
"brasil";2,67;0,99
"ministro";24,57;15,69
"mello";1,6;1,14
"voto";0;1,14
"2";2,14;0,45
"qual";0;1,59
"ano";1,07;1,9
"nota";2,14;1,67
"conversa";2,14;1,21
"renan";1,07;1,29
"2016";0,53;0,83
"qualquer";1,6;1,29
"teori";2,67;1,44
"crime";1,07;2,12
"ex_ministro";1,07;0,61
"estar";8,55;3,71
"soltar";3,74;0,76
"já";1,6;2,58
"um";9,62;6,9
"federal";2,67;2,96
"proposta";0,53;1,29
"como";2,14;3,87
"por";18,7;21,46
"ricardo";1,6;0,53
"entregar";1,6;0,91
"cunha";4,27;0,99
"pessoa";0;1,14
"denunciar";0,53;1,06
"caso";3,21;4,02
"alvo";0,53;1,06
"prisão";3,21;3,64
"tarde";1,6;0,61
"então";0;0,83
"processo";2,14;2,73
"4";0;0,83
"até";1,6;1,29
"hoje";3,21;0,53
"_";0;2,58
"discutir";0,53;0,68
"janot";1,6;3,03
"julgar";3,21;1,44
"último";1,07;0,61
"ex_presidente";1,07;2,73
"advogado";1,6;1,44
"batista";1,07;1,14
"investigado";1,07;0,76
"ao";9,62;10,39
"juiz";2,14;1,74
"defesa";3,21;2,2
"pedir";3,74;4,32
"dilma";3,21;1,36
"inquérito";1,6;3,11
"barroso";2,67;1,06
"decisão";4,27;7,73
"ter";5,88;7,96
"sua";2,14;2,35
"propina";2,14;0,99
"homologar";1,07;0,99
"vir";1,6;0,99
"corte";1,6;3,11
"trf_4";0;1,14
"começar";0;0,76
"levar";0;1,29
"procurador";0,53;0,76
"projeto";2,67;0,45
"rodrigo";2,67;1,97
"voltar";0,53;0,68
"mendes";4,27;1,97
"não";10,68;8,57
"a";56,62;63,08
"entendimento";0;1,14
"delação";3,21;4,78
"presidência";0;0,83
"pena";0;1,74
"afastar";0,53;0,83
"ficar";1,6;0,53
"polícia";1,6;1,14
"pedido";0;2,2
"fossar";1,07;0,61
"envolver";1,07;0,61
"todo";3,21;2,35
"somente";0;0,76
"analisar";0;0,76
"senado";3,74;2,43
"base";0;0,83
"divulgar";2,14;0,99
"dono";0,53;0,99
"nome";1,6;1,14
"contra";2,67;4,09
"brasília";0,53;1,29
"para";22,44;16,45
"país";4,27;0,61
"parlamentar";0,53;1,52
"stf";44,87;47,38
"stj";3,21;1,74
"direito";0,53;0,91
"autorizar";1,07;1,44
"essa";1,6;0,99
"esse";1,07;1,29
"réu";2,14;1,06
"abrir";1,07;0,61
"porque";1,6;1,06
"início";0,53;0,68
"seu";1,6;2,2
"ser";23,5;18,73
"sem";0;1,29
"lava_jato";8,01;7,28
"considerar";1,6;0,83
"senador";3,74;3,41
"dizer";5,88;4,85
"pt";1,07;0,83
"chegar";4,27;1,21
"denúncia";0,53;1,97
"pf";4,81;0,61
"regra";0,53;0,99
"prerrogativa";0,53;0,68
"premiar";0;0,99
"próprio";1,07;1,74
"jbs";2,67;1,67
"entre";0,53;1,9
"recorrer";0;0,76
"apresentar";0,53;2,12
"mandar";2,14;0,76
"informar";1,07;0,76
"tomar";1,07;0,76
"marco";1,07;1,29
"habeas";0;1,14
"permitir";0;0,91
"autoridade";2,14;1,06
"presidente";7,48;7,58
"organização";0;0,83
"condenação";1,07;2,12
"acompanhar";1,07;0,68
"ministério";0,53;1,36
"poder";8,55;4,62
"votar";2,67;0,99
"quinta_feira";0;0,99
"governo";1,07;1,29
"dinheiro";1,07;0,83
"corrupção";1,6;2,12
"sérgio_moro";4,27;0,91
"premiado";0;0,83
"relação";0,53;0,68
"manter";2,14;1,06
"depoimento";1,07;0,83
"operação";1,07;3,49
"constituição";0;0,83
"informação";1,6;1,06
"defender";1,6;1,06
"fachin";9,62;5,99
"público";2,14;1,82
"lei";1,07;1,14
"luiz";1,07;1,59
"ler";0;1,06
"toffoli";0,53;0,68
"josé";1,6;0,83
"julgamento";1,07;2,5
"ainda";2,14;3,03
"superior";0,53;1,82
"dever";0,53;2,12
"dar";0,53;0,83
"mandato";0;2,58
"globo";2,67;0,45
"edson";6,41;4,17
"além";0,53;0,91
"que";39;34,27
"meio";0;0,76
"calheiros";1,07;0,83
"pgr";2,14;1,44
"aurélio";1,07;1,14
"próximo";1,6;0,68
"rocha";2,14;1,06
"haver";2,14;2,88
"quando";0;1,59
"petrobras";0,53;0,68
"criminoso";0,53;0,99
"roberto";1,6;0,61
"procurador_geral";0;1,59
"documento";0,53;0,99
"tornar";1,07;0,61
"petista";2,14;0,61
"principal";0,53;0,68
"impeachment";1,07;0,61
"confirmar";1,07;0,76
"supremo";2,14;1,97
"eduardo";2,67;0,91
"república";1,07;4,02
"procuradoria";0,53;0,68
"possibilidade";0;1,06
"mesmo";1,07;1,82
"possível";0;0,83
"quarta_feira";0;0,76
"paulo";1,07;0,68
"íntegro";0,53;0,76
"responsável";1,6;0,91
"estado";0,53;0,91
"executivo";0;0,99
"michel_temer";9,08;5
"momento";1,6;0,83
"execução";0;0,76
"preso";0,53;1,74
"fato";1,6;0,91
"cometer";0;0,99
"odebrecht";1,07;1,21
"isso";0;1,36
"ação";0,53;1,21
"também";6,41;3,79
"em";39,53;54,13
"lúcia";4,27;2,05
"instância";0,53;3,87
"investigar";2,14;2,81
"câmara";2,14;1,82
