"";"*gr_01";"*gr_02"
"sigilo";1;13
"fazer";2;40
"afirmar";1;32
"decidir";3;19
"acordo";2;18
"sobre";2;71
"zavascki";3;12
"outro";2;35
"obstrução";0;11
"político";3;33
"abaixo";2;11
"delator";2;9
"passado";0;12
"enviar";3;24
"fim";1;15
"brasileiro";0;11
"três";1;16
"deixar";0;15
"apenas";2;8
"quinto";0;10
"corpus";0;14
"segundo";2;41
"geral";1;14
"investigação";3;49
"após";1;56
"lula";5;63
"receber";4;8
"dois";3;17
"aécio";11;40
"relator";9;66
"de";273;1900
"plenário";5;22
"falar";3;11
"com";18;140
"durante";0;12
"judiciário";2;11
"passivo";0;13
"ir";24;157
"empresário";1;14
"depois";1;19
"recurso";3;28
"algum";4;7
"deputado";3;34
"acusação";0;11
"antes";1;11
"ela";0;10
"ele";7;52
"assim";1;10
"negar";1;14
"neve";5;21
"privilegiado";9;32
"rejeitar";1;9
"muito";3;7
"uma";10;76
"o";132;800
"sob";1;9
"contar";2;11
"novo";1;21
"lourar";3;15
"foro";13;52
"seguir";2;9
"cumprir";0;11
"condenar";6;15
"liberar";0;12
"junto";1;12
"abertura";0;17
"joesley";2;24
"ver";0;19
"vez";4;7
"irmão";4;11
"dia";1;21
"querer";0;14
"revista";0;10
"cargo";6;21
"semana";2;22
"tribunal";5;30
"só";3;16
"gilmar";6;25
"primeiro";1;34
"justiça";4;51
"cármen";8;27
"se";16;100
"turma";5;20
"forma";0;10
"mais";5;38
"passar";3;10
"determinar";4;18
"desde";2;8
"citar";0;10
"afastado";0;14
"eu";1;9
"brasil";5;13
"ministro";46;207
"mello";3;15
"voto";0;15
"2";4;6
"qual";0;21
"ano";2;25
"nota";4;22
"conversa";4;16
"renan";2;17
"2016";1;11
"qualquer";3;17
"teori";5;19
"crime";2;28
"ex_ministro";2;8
"estar";16;49
"soltar";7;10
"já";3;34
"um";18;91
"federal";5;39
"proposta";1;17
"como";4;51
"por";35;283
"ricardo";3;7
"entregar";3;12
"cunha";8;13
"pessoa";0;15
"denunciar";1;14
"caso";6;53
"alvo";1;14
"prisão";6;48
"tarde";3;8
"então";0;11
"processo";4;36
"4";0;11
"até";3;17
"hoje";6;7
"_";0;34
"discutir";1;9
"janot";3;40
"julgar";6;19
"último";2;8
"ex_presidente";2;36
"advogado";3;19
"batista";2;15
"investigado";2;10
"ao";18;137
"juiz";4;23
"defesa";6;29
"pedir";7;57
"dilma";6;18
"inquérito";3;41
"barroso";5;14
"decisão";8;102
"ter";11;105
"sua";4;31
"propina";4;13
"homologar";2;13
"vir";3;13
"corte";3;41
"trf_4";0;15
"começar";0;10
"levar";0;17
"procurador";1;10
"projeto";5;6
"rodrigo";5;26
"voltar";1;9
"mendes";8;26
"não";20;113
"a";106;832
"entendimento";0;15
"delação";6;63
"presidência";0;11
"pena";0;23
"afastar";1;11
"ficar";3;7
"polícia";3;15
"pedido";0;29
"fossar";2;8
"envolver";2;8
"todo";6;31
"somente";0;10
"analisar";0;10
"senado";7;32
"base";0;11
"divulgar";4;13
"dono";1;13
"nome";3;15
"contra";5;54
"brasília";1;17
"para";42;217
"país";8;8
"parlamentar";1;20
"stf";84;625
"stj";6;23
"direito";1;12
"autorizar";2;19
"essa";3;13
"esse";2;17
"réu";4;14
"abrir";2;8
"porque";3;14
"início";1;9
"seu";3;29
"ser";44;247
"sem";0;17
"lava_jato";15;96
"considerar";3;11
"senador";7;45
"dizer";11;64
"pt";2;11
"chegar";8;16
"denúncia";1;26
"pf";9;8
"regra";1;13
"prerrogativa";1;9
"premiar";0;13
"próprio";2;23
"jbs";5;22
"entre";1;25
"recorrer";0;10
"apresentar";1;28
"mandar";4;10
"informar";2;10
"tomar";2;10
"marco";2;17
"habeas";0;15
"permitir";0;12
"autoridade";4;14
"presidente";14;100
"organização";0;11
"condenação";2;28
"acompanhar";2;9
"ministério";1;18
"poder";16;61
"votar";5;13
"quinta_feira";0;13
"governo";2;17
"dinheiro";2;11
"corrupção";3;28
"sérgio_moro";8;12
"premiado";0;11
"relação";1;9
"manter";4;14
"depoimento";2;11
"operação";2;46
"constituição";0;11
"informação";3;14
"defender";3;14
"fachin";18;79
"público";4;24
"lei";2;15
"luiz";2;21
"ler";0;14
"toffoli";1;9
"josé";3;11
"julgamento";2;33
"ainda";4;40
"superior";1;24
"dever";1;28
"dar";1;11
"mandato";0;34
"globo";5;6
"edson";12;55
"além";1;12
"que";73;452
"meio";0;10
"calheiros";2;11
"pgr";4;19
"aurélio";2;15
"próximo";3;9
"rocha";4;14
"haver";4;38
"quando";0;21
"petrobras";1;9
"criminoso";1;13
"roberto";3;8
"procurador_geral";0;21
"documento";1;13
"tornar";2;8
"petista";4;8
"principal";1;9
"impeachment";2;8
"confirmar";2;10
"supremo";4;26
"eduardo";5;12
"república";2;53
"procuradoria";1;9
"possibilidade";0;14
"mesmo";2;24
"possível";0;11
"quarta_feira";0;10
"paulo";2;9
"íntegro";1;10
"responsável";3;12
"estado";1;12
"executivo";0;13
"michel_temer";17;66
"momento";3;11
"execução";0;10
"preso";1;23
"fato";3;12
"cometer";0;13
"odebrecht";2;16
"isso";0;18
"ação";1;16
"também";12;50
"em";74;714
"lúcia";8;27
"instância";1;51
"investigar";4;37
"câmara";4;24
