"";"X.gr_01";"X.gr_02"
"sigilo";-0,3318;0,3318
"fazer";-1,0366;1,0366
"afirmar";-1,1487;1,1487
"decidir";0,2784;-0,2784
"acordo";-0,2683;0,2683
"sobre";-2,4061;2,4061
"zavascki";0,5472;-0,5472
"outro";-0,8398;0,8398
"obstrução";-0,6342;0,6342
"político";-0,4819;0,4819
"abaixo";0,3069;-0,3069
"delator";0,3924;-0,3924
"passado";-0,6919;0,6919
"enviar";-0,2495;0,2495
"fim";-0,4077;0,4077
"brasileiro";-0,6342;0,6342
"três";-0,4469;0,4469
"deixar";-0,865;0,865
"apenas";0,4457;-0,4457
"quinto";-0,5766;0,5766
"corpus";-0,8073;0,8073
"segundo";-1,077;1,077
"geral";-0,3693;0,3693
"investigação";-1,0065;1,0065
"após";-2,3317;2,3317
"lula";-0,8679;0,8679
"receber";1,2857;-1,2857
"dois";0,3365;-0,3365
"aécio";1,3385;-1,3385
"relator";-0,2657;0,2657
"de";0,3666;-0,3666
"plenário";0,6215;-0,6215
"falar";0,6053;-0,6053
"com";-0,3956;0,3956
"durante";-0,6919;0,6919
"judiciário";0,3069;-0,3069
"passivo";-0,7496;0,7496
"ir";0,3981;-0,3981
"empresário";-0,3693;0,3693
"depois";-0,5689;0,5689
"recurso";-0,3458;0,3458
"algum";1,418;-1,418
"deputado";-0,511;0,511
"acusação";-0,6342;0,6342
"antes";-0,2598;0,2598
"ela";-0,5766;0,5766
"ele";-0,2628;0,2628
"assim";-0,2256;0,2256
"negar";-0,3693;0,3693
"neve";0,6673;-0,6673
"privilegiado";1,2143;-1,2143
"rejeitar";-0,1927;0,1927
"muito";0,9286;-0,9286
"uma";-0,3083;0,3083
"o";1,2519;-1,2519
"sob";-0,1927;0,1927
"contar";0,3069;-0,3069
"novo";-0,6533;0,6533
"lourar";0,4076;-0,4076
"foro";1,2636;-1,2636
"seguir";0,3924;-0,3924
"cumprir";-0,6342;0,6342
"condenar";1,4192;-1,4192
"liberar";-0,6919;0,6919
"junto";-0,2953;0,2953
"abertura";-0,9804;0,9804
"joesley";-0,4482;0,4482
"ver";-1,0958;1,0958
"vez";1,418;-1,418
"irmão";0,9749;-0,9749
"dia";-0,6533;0,6533
"querer";-0,8073;0,8073
"revista";-0,5766;0,5766
"cargo";0,9593;-0,9593
"semana";-0,385;0,385
"tribunal";0,353;-0,353
"só";0,3702;-0,3702
"gilmar";0,7444;-0,7444
"primeiro";-1,243;1,243
"justiça";-0,7698;0,7698
"cármen";1,2125;-1,2125
"se";0,4342;-0,4342
"turma";0,7167;-0,7167
"forma";-0,5766;0,5766
"mais";-0,2582;0,2582
"passar";0,6709;-0,6709
"determinar";0,5391;-0,5391
"desde";0,4457;-0,4457
"citar";-0,5766;0,5766
"afastado";-0,8073;0,8073
"eu";-0,1927;0,1927
"brasil";1,1991;-1,1991
"ministro";2,3061;-2,3061
"mello";0,4076;-0,4076
"voto";-0,865;0,865
"2";1,5703;-1,5703
"qual";-1,2113;1,2113
"ano";-0,4809;0,4809
"nota";0,3896;-0,3896
"conversa";0,6357;-0,6357
"renan";-0,2414;0,2414
"2016";-0,2598;0,2598
"qualquer";0,3365;-0,3365
"teori";0,77;-0,77
"crime";-0,5829;0,5829
"ex_ministro";0,4457;-0,4457
"estar";2,2941;-2,2941
"soltar";2,548;-2,548
"já";-0,511;0,511
"um";0,8982;-0,8982
"federal";-0,2766;0,2766
"proposta";-0,4869;0,4869
"como";-0,7698;0,7698
"por";-0,6053;0,6053
"ricardo";0,9286;-0,9286
"entregar";0,5472;-0,5472
"cunha";2,5934;-2,5934
"pessoa";-0,865;0,865
"denunciar";-0,3693;0,3693
"caso";-0,4107;0,4107
"alvo";-0,3693;0,3693
"prisão";-0,3133;0,3133
"tarde";0,8305;-0,8305
"então";-0,6342;0,6342
"processo";-0,3627;0,3627
"4";-0,6342;0,6342
"até";0,3365;-0,3365
"hoje";2,5407;-2,5407
"_";-1,962;1,962
"discutir";-0,1927;0,1927
"janot";-0,697;0,697
"julgar";1,0908;-1,0908
"último";0,4457;-0,4457
"ex_presidente";-0,8784;0,8784
"advogado";0,2784;-0,2784
"batista";-0,1908;0,1908
"investigado";0,3465;-0,3465
"ao";-0,3591;0,3591
"juiz";0,3595;-0,3595
"defesa";0,5788;-0,5788
"pedir";-0,3467;0,3467
"dilma";1,1639;-1,1639
"inquérito";-0,7297;0,7297
"barroso";1,1114;-1,1114
"decisão";-1,2244;1,2244
"ter";-0,6818;0,6818
"sua";-0,2546;0,2546
"propina";0,8187;-0,8187
"homologar";0,2421;-0,2421
"vir";0,4954;-0,4954
"corte";-0,7297;0,7297
"trf_4";-0,865;0,865
"começar";-0,5766;0,5766
"levar";-0,9804;0,9804
"procurador";-0,2256;0,2256
"projeto";2,147;-2,147
"rodrigo";0,4684;-0,4684
"voltar";-0,1927;0,1927
"mendes";1,2773;-1,2773
"não";0,6722;-0,6722
"a";-0,8204;0,8204
"entendimento";-0,865;0,865
"delação";-0,6386;0,6386
"presidência";-0,6342;0,6342
"pena";-1,3267;1,3267
"afastar";-0,2598;0,2598
"ficar";0,9286;-0,9286
"polícia";0,4076;-0,4076
"pedido";-1,6732;1,6732
"fossar";0,4457;-0,4457
"envolver";0,4457;-0,4457
"todo";0,5102;-0,5102
"somente";-0,5766;0,5766
"analisar";-0,5766;0,5766
"senado";0,6899;-0,6899
"base";-0,6342;0,6342
"divulgar";0,8187;-0,8187
"dono";-0,3318;0,3318
"nome";0,4076;-0,4076
"contra";-0,6164;0,6164
"brasília";-0,4869;0,4869
"para";1,3754;-1,3754
"país";3,5435;-3,5435
"parlamentar";-0,6108;0,6108
"stf";-0,4679;0,4679
"stj";0,8447;-0,8447
"direito";-0,2953;0,2953
"autorizar";-0,2961;0,2961
"essa";0,4954;-0,4954
"esse";-0,2414;0,2414
"réu";0,7517;-0,7517
"abrir";0,4457;-0,4457
"porque";0,4491;-0,4491
"início";-0,1927;0,1927
"seu";-0,3717;0,3717
"ser";1,0157;-1,0157
"sem";-0,9804;0,9804
"lava_jato";0,3913;-0,3913
"considerar";0,6053;-0,6053
"senador";0,3256;-0,3256
"dizer";0,486;-0,486
"pt";0,3069;-0,3069
"chegar";2,1834;-2,1834
"denúncia";-0,8729;0,8729
"pf";4,1801;-4,1801
"regra";-0,3318;0,3318
"prerrogativa";-0,1927;0,1927
"premiar";-0,7496;0,7496
"próprio";-0,4162;0,4162
"jbs";0,6215;-0,6215
"entre";-0,8281;0,8281
"recorrer";-0,5766;0,5766
"apresentar";-0,9635;0,9635
"mandar";1,0667;-1,0667
"informar";0,3465;-0,3465
"tomar";0,3465;-0,3465
"marco";-0,2414;0,2414
"habeas";-0,865;0,865
"permitir";-0,6919;0,6919
"autoridade";0,7517;-0,7517
"presidente";-0,2585;0,2585
"organização";-0,6342;0,6342
"condenação";-0,5829;0,5829
"acompanhar";0,3924;-0,3924
"ministério";-0,5276;0,5276
"poder";1,5901;-1,5901
"votar";1,1991;-1,1991
"quinta_feira";-0,7496;0,7496
"governo";-0,2414;0,2414
"dinheiro";0,3069;-0,3069
"corrupção";-0,3458;0,3458
"sérgio_moro";2,7521;-2,7521
"premiado";-0,6342;0,6342
"relação";-0,1927;0,1927
"manter";0,7517;-0,7517
"depoimento";0,3069;-0,3069
"operação";-1,284;1,284
"constituição";-0,6342;0,6342
"informação";0,4491;-0,4491
"defender";0,4491;-0,4491
"fachin";1,2837;-1,2837
"público";0,3317;-0,3317
"lei";-0,1908;0,1908
"luiz";-0,3545;0,3545
"ler";-0,8073;0,8073
"toffoli";-0,1927;0,1927
"josé";0,6053;-0,6053
"julgamento";-0,764;0,764
"ainda";-0,46;0,46
"superior";-0,7837;0,7837
"dever";-0,9635;0,9635
"dar";-0,2598;0,2598
"mandato";-1,962;1,962
"globo";2,147;-2,147
"edson";0,9141;-0,9141
"além";-0,2953;0,2953
"que";0,7846;-0,7846
"meio";-0,5766;0,5766
"calheiros";0,3069;-0,3069
"pgr";0,4968;-0,4968
"aurélio";-0,1908;0,1908
"próximo";0,7454;-0,7454
"rocha";0,7517;-0,7517
"haver";-0,4102;0,4102
"quando";-1,2113;1,2113
"petrobras";-0,1927;0,1927
"criminoso";-0,3318;0,3318
"roberto";0,8305;-0,8305
"procurador_geral";-1,2113;1,2113
"documento";-0,3318;0,3318
"tornar";0,4457;-0,4457
"petista";1,2857;-1,2857
"principal";-0,1927;0,1927
"impeachment";0,4457;-0,4457
"confirmar";0,3465;-0,3465
"supremo";0,2823;-0,2823
"eduardo";1,2952;-1,2952
"república";-1,5854;1,5854
"procuradoria";-0,1927;0,1927
"possibilidade";-0,8073;0,8073
"mesmo";-0,4482;0,4482
"possível";-0,6342;0,6342
"quarta_feira";-0,5766;0,5766
"paulo";0,3924;-0,3924
"íntegro";-0,2256;0,2256
"responsável";0,5472;-0,5472
"estado";-0,2953;0,2953
"executivo";-0,7496;0,7496
"michel_temer";1,6017;-1,6017
"momento";0,6053;-0,6053
"execução";-0,5766;0,5766
"preso";-0,7398;0,7398
"fato";0,5472;-0,5472
"cometer";-0,7496;0,7496
"odebrecht";-0,2156;0,2156
"isso";-1,0381;1,0381
"ação";-0,4469;0,4469
"também";1,111;-1,111
"em";-2,4352;2,4352
