"";"X.gr_01";"X.gr_02"
"adv";0,4453;-0,4453
"nom";0,677;-0,677
"pre";-4,4426;4,4426
"ver";3,3317;-3,3317
"pro_pos";-0,4279;0,4279
"pro_per";-0,4768;0,4768
"ver_sup";0,612;-0,612
"nom_sup";-0,429;0,429
"art_def";0,874;-0,874
"sw";-0,0608;0,0608
"adj_num";-2,0392;2,0392
"pro_dem";-0,3;0,3
"pro_int";0,7469;-0,7469
"num";-0,7503;0,7503
"ono";-0,3041;0,3041
"pro_rel";0,5217;-0,5217
"nr";0,7594;-0,7594
"pro_ind";0,2984;-0,2984
"adj";-1,0592;1,0592
"conj";1,0249;-1,0249
"adv_sup";-0,6083;0,6083
