"";"banalfreq";"X.gr_01";"X.gr_02"
"precisar";32;1,4625;-1,4625
"reforma";21;-0,773;0,773
"afirmar";47;-1,6037;1,6037
"segurança";10;-0,2507;0,2507
"trump";11;0,6835;-0,6835
"acordo";39;0,7044;-0,7044
"sobre";65;-0,2808;0,2808
"china";23;-0,248;0,248
"cidade";13;0,234;-0,234
"brf";11;-0,7507;0,7507
"total";10;-0,2507;0,2507
"continuar";14;0,8717;-0,8717
"pouco";20;-1,3652;1,3652
"política";46;0,2914;-0,2914
"político";55;0,7768;-0,7768
"ordem";13;-0,8872;0,8872
"passado";14;-0,1759;0,1759
"valor";16;0,3794;-0,3794
"fim";10;-0,2507;0,2507
"brasileiro";62;-0,3535;0,3535
"acontecer";23;-0,248;0,248
"três";10;-0,2507;0,2507
"entrar";18;-0,6196;0,6196
"ato";16;-1,0921;1,0921
"deixar";20;0,4817;-0,4817
"movimento";17;-1,1603;1,1603
"gerar";10;0,775;-0,775
"segundo";61;-0,9798;0,9798
"investigação";18;-0,2992;0,2992
"após";23;-0,8784;0,8784
"uscifrão";11;-0,7507;0,7507
"receber";15;0,4253;-0,4253
"dois";39;0,2934;-0,2934
"professor";10;0,3579;-0,3579
"responder";12;1,0761;-1,0761
"aécio";17;1,0525;-1,0525
"número";18;-0,2992;0,2992
"acreditar";12;0,2689;-0,2689
"mês";12;-0,8189;0,8189
"meu";10;-0,2507;0,2507
"falar";23;0,6289;-0,6289
"com";272;-0,4337;0,4337
"desenvolvimento";12;-0,8189;0,8189
"medida";11;-0,7507;0,7507
"risco";13;-0,8872;0,8872
"ir";255;0,7816;-0,7816
"exterior";20;0,2423;-0,2423
"discurso";12;1,677;-1,677
"perigoso";12;0,6049;-0,6049
"empresário";21;-0,1973;0,1973
"aparecer";10;0,775;-0,775
"depois";14;-0,9555;0,9555
"dado";12;0,2689;-0,2689
"recurso";11;-0,7507;0,7507
"algum";11;0,6835;-0,6835
"deputado";22;1,0528;-1,0528
"destacar";13;0,9673;-0,9673
"antes";15;-0,4731;0,4731
"ela";18;-0,6196;0,6196
"candidato";13;-0,3803;0,3803
"ele";115;0,509;-0,509
"nota";14;-0,9555;0,9555
"alckmin";10;-0,2507;0,2507
"assim";17;-0,2663;0,2663
"rio";12;-0,8189;0,8189
"muito";51;0,3302;-0,3302
"uma";204;-0,5704;0,5704
"muita";10;0,3579;-0,3579
"esperar";11;0,3098;-0,3098
"questão";13;0,9673;-0,9673
"novo";28;0,4138;-0,4138
"conversa";13;0,234;-0,234
"mercado";11;-0,2925;0,2925
"arma";10;0,3579;-0,3579
"condenar";14;-0,1759;0,1759
"saber";21;0,7447;-0,7447
"entrevista";19;-0,3335;0,3335
"menos";15;0,4253;-0,4253
"ver";31;0,8129;-0,8129
"vez";30;-0,4595;0,4595
"quase";13;0,234;-0,234
"dia";24;-0,5214;0,5214
"querer";32;0,76;-0,76
"joão";11;-0,2925;0,2925
"participar";19;-0,67;0,67
"cargo";10;-0,2507;0,2507
"melhor";15;-0,2045;0,2045
"militar";16;0,3794;-0,3794
"doria";15;-1,0238;1,0238
"bom";26;0,7787;-0,7787
"semana";17;-0,2663;0,2663
"internacional";10;-0,6824;0,6824
"ministério";28;-1,1505;1,1505
"psdb";10;-0,6824;0,6824
"instituição";12;1,0761;-1,0761
"você";32;0,4978;-0,4978
"só";30;0,35;-0,35
"trazer";11;-0,7507;0,7507
"1";16;-0,2346;0,2346
"primeiro";27;-0,363;0,363
