"";"X.gr_01";"X.gr_02"
"precisar";3,2;1,39
"reforma";0,36;1,21
"afirmar";0,71;2,72
"segurança";0,36;0,54
"trump";1,07;0,48
"acordo";2,84;1,88
"sobre";3,2;3,39
"china";1,07;1,21
"cidade";0,71;0,67
"brf";0;0,67
"total";0,36;0,54
"continuar";1,42;0,6
"pouco";0;1,21
"política";2,49;2,36
"político";3,91;2,66
"ordem";0;0,79
"passado";0,71;0,73
"valor";1,07;0,79
"fim";0,36;0,54
"brasileiro";2,84;3,27
"acontecer";1,07;1,21
"três";0,36;0,54
"entrar";0,36;1,03
"ato";0;0,97
"deixar";1,42;0,97
"movimento";0;1,03
"gerar";1,07;0,42
"segundo";1,78;3,39
"investigação";0,71;0,97
"após";0,36;1,33
"uscifrão";0;0,67
"lula";8,89;2,9
"receber";1,07;0,73
"dois";2,13;2
"professor";0,71;0,48
"responder";1,42;0,48
"aécio";1,78;0,73
"número";0,71;0,97
"acreditar";0,71;0,6
"mês";0;0,73
"meu";0,36;0,54
"falar";1,78;1,09
"com";13,16;14,22
"desenvolvimento";0;0,73
"medida";0;0,67
"risco";0;0,79
"ir";15,29;12,82
"exterior";1,07;1,03
"discurso";1,78;0,42
"perigoso";1,07;0,54
"empresário";1,07;1,09
"aparecer";1,07;0,42
"depois";0;0,85
"dado";0,71;0,6
"recurso";0;0,67
"algum";1,07;0,48
"deputado";2,13;0,97
"destacar";1,42;0,54
"antes";0,36;0,85
"ela";0,36;1,03
"candidato";0,36;0,73
"ele";6,76;5,81
"nota";0;0,85
"alckmin";0,36;0,54
"assim";0,71;0,91
"rio";0;0,73
"muito";2,84;2,6
"uma";9,25;10,77
"muita";0,71;0,48
"conhecido";1,78;0,3
"o";82,5;69,2
"esperar";0,71;0,54
"questão";1,42;0,54
"novo";1,78;1,39
"foro";2,49;0,3
"conversa";0,71;0,67
"mercado";0,36;0,6
"arma";0,71;0,48
"condenar";0,71;0,73
"saber";1,78;0,97
"entrevista";0,71;1,03
"menos";1,07;0,73
"ver";2,49;1,45
"vez";1,07;1,63
"quase";0,71;0,67
"dia";0,71;1,33
"querer";2,49;1,51
"joão";0,36;0,6
"participar";0,36;1,09
"cargo";0,36;0,54
"melhor";0,71;0,79
"militar";1,07;0,79
"doria";0;0,91
"bom";2,13;1,21
"semana";0,71;0,91
"internacional";0;0,6
"ministério";0,36;1,63
"psdb";0;0,6
"instituição";1,42;0,48
"você";2,13;1,57
"só";1,78;1,51
"trazer";0;0,67
"1";0,71;0,85
"primeiro";1,07;1,45
"justiça";1,78;1,03
"sr";0,36;0,54
"se";11,74;8,11
"forma";0,36;1,03
"mais";8,53;6,35
"passar";1,07;1,09
"desde";0;0,79
"sérgio_moro";2,13;0,97
"eu";2,49;2,78
"fazer";5,33;6,11
"convocar";0,36;0,54
"porcento";1,78;2
"brasil";45,52;41,86
"ministro";3,2;1,21
"líder";0,71;0,79
"americano";0,71;1,09
"não";17,07;14,82
"2";0,36;1,21
"avaliar";0;0,73
"investimento";0;0,6
"qual";0,36;1,27
"futuro";0,36;0,73
"ano";4,98;4,29
"3";0,36;0,6
"crime";1,07;0,67
"estar";11,74;8,83
"já";3,2;2,3
"médico";1,07;0,67
"época";0,71;0,48
"contar";2,13;0,97
"dinheiro";0,36;1,03
"federal";1,78;1,94
"vender";0,36;0,6
"achar";1,42;1,27
"defesa";1,07;0,6
"como";3,2;5,63
"gente";1,42;0,67
"crescimento";0;0,67
"pessoa";3,56;2,3
"áfrica";0;0,6
"caso";1,07;1,15
"prisão";1,07;0,6
"junto";1,42;0,42
"existir";1,07;1,15
"estatal";1,07;0,42
"produto";0,36;0,73
"processo";0,36;2
"por";9,6;14,7
"viver";0,71;0,85
"até";1,78;1,27
"hoje";1,42;1,57
"_";0;5,69
"central";0,36;1,39
"empresa";2,49;2,18
"bbc";0;2,72
"ocde";0;0,73
"público";2,84;2,36
"ex_presidente";2,13;1,21
"rússia";0,36;0,6
"agora";1,78;1,45
"advogado";0,36;1,03
"mundo";2,84;1,51
"previdência";0,36;0,67
"juiz";2,13;1,03
"partido";1,42;1,15
"5";1,42;0,67
"pedir";1,42;1,39
"joesley";1,07;0,42
"cidadão";1,07;0,48
"grupo";1,42;1,63
"dilma";2,84;1,15
"sociedade";0,36;0,73
"república";1,42;0,97
"menor";0,36;0,6
"decisão";0,36;0,91
"mundial";1,42;0,54
"ter";17,07;13,85
"sua";3,2;3,33
"sul";0;1,21
"propina";0;0,85
"diário";3,56;0
"senado";1,42;0,48
"notícia";0,36;0,6
"social";0,71;1,33
"vir";1,07;0,91
"reunião";0,71;0,6
"levar";0,36;0,54
"projeto";1,07;0,48
"morte";0;0,79
"voltar";1,78;1,03
"sistema";0,36;0,85
"a";58,32;63,46
"grande";0,36;1,45
"delação";2,49;0,67
"bilhão";1,07;1,09
"ficar";1,78;1,69
"polícia";1,42;1,03
"cada";0,71;0,73
"pedido";0;0,67
"sobretaxa";0;0,6
"nossa";0,71;0,79
"todo";2,84;3,81
"nosso";1,07;0,6
"verdade";1,42;0,42
"divulgar";1,42;0,67
"conseguir";0,71;0,73
"dono";1,42;0,67
"nome";1,42;0,79
"contra";0,71;2
"para";19,56;17,36
"resultado";0,36;0,67
"indústria";0;0,6
"stf";1,42;0,85
"direito";0,71;1,09
"situação";0,36;0,85
"tentar";0,36;0,67
"país";6,05;7,8
"essa";1,07;2,24
"esse";2,84;2,66
"nobre";0;0,67
"setor";0;0,85
