"";"*gr_01";"*gr_02"
"precisar";9;23
"reforma";1;20
"afirmar";2;45
"segurança";1;9
"trump";3;8
"acordo";8;31
"sobre";9;56
"china";3;20
"cidade";2;11
"brf";0;11
"total";1;9
"continuar";4;10
"pouco";0;20
"política";7;39
"político";11;44
"ordem";0;13
"passado";2;12
"valor";3;13
"fim";1;9
"brasileiro";8;54
"acontecer";3;20
"três";1;9
"entrar";1;17
"ato";0;16
"deixar";4;16
"movimento";0;17
"gerar";3;7
"segundo";5;56
"investigação";2;16
"após";1;22
"uscifrão";0;11
"lula";25;48
"receber";3;12
"dois";6;33
"professor";2;8
"responder";4;8
"aécio";5;12
"número";2;16
"acreditar";2;10
"mês";0;12
"meu";1;9
"falar";5;18
"com";37;235
"desenvolvimento";0;12
"medida";0;11
"risco";0;13
"ir";43;212
"exterior";3;17
"discurso";5;7
"perigoso";3;9
"empresário";3;18
"aparecer";3;7
"depois";0;14
"dado";2;10
"recurso";0;11
"algum";3;8
"deputado";6;16
"destacar";4;9
"antes";1;14
"ela";1;17
"candidato";1;12
"ele";19;96
"nota";0;14
"alckmin";1;9
"assim";2;15
"rio";0;12
"muito";8;43
"uma";26;178
"muita";2;8
"conhecido";5;5
"o";232;1144
"esperar";2;9
"questão";4;9
"novo";5;23
"foro";7;5
"conversa";2;11
"mercado";1;10
"arma";2;8
"condenar";2;12
"saber";5;16
"entrevista";2;17
"menos";3;12
"ver";7;24
"vez";3;27
"quase";2;11
"dia";2;22
"querer";7;25
"joão";1;10
"participar";1;18
"cargo";1;9
"melhor";2;13
"militar";3;13
"doria";0;15
"bom";6;20
"semana";2;15
"internacional";0;10
"ministério";1;27
"psdb";0;10
"instituição";4;8
"você";6;26
"só";5;25
"trazer";0;11
"1";2;14
"primeiro";3;24
"justiça";5;17
"sr";1;9
"se";33;134
"forma";1;17
"mais";24;105
"passar";3;18
"desde";0;13
"sérgio_moro";6;16
"eu";7;46
"fazer";15;101
"convocar";1;9
"porcento";5;33
"brasil";128;692
"ministro";9;20
"líder";2;13
"americano";2;18
"não";48;245
"2";1;20
