"";"X.gr_01";"X.gr_02"
"precisar";1,4625;-1,4625
"reforma";-0,773;0,773
"afirmar";-1,6037;1,6037
"segurança";-0,2507;0,2507
"trump";0,6835;-0,6835
"acordo";0,7044;-0,7044
"sobre";-0,2808;0,2808
"china";-0,248;0,248
"cidade";0,234;-0,234
"brf";-0,7507;0,7507
"total";-0,2507;0,2507
"continuar";0,8717;-0,8717
"pouco";-1,3652;1,3652
"política";0,2914;-0,2914
"político";0,7768;-0,7768
"ordem";-0,8872;0,8872
"passado";-0,1759;0,1759
"valor";0,3794;-0,3794
"fim";-0,2507;0,2507
"brasileiro";-0,3535;0,3535
"acontecer";-0,248;0,248
"três";-0,2507;0,2507
"entrar";-0,6196;0,6196
"ato";-1,0921;1,0921
"deixar";0,4817;-0,4817
"movimento";-1,1603;1,1603
"gerar";0,775;-0,775
"segundo";-0,9798;0,9798
"investigação";-0,2992;0,2992
"após";-0,8784;0,8784
"uscifrão";-0,7507;0,7507
"lula";4,7059;-4,7059
"receber";0,4253;-0,4253
"dois";0,2934;-0,2934
"professor";0,3579;-0,3579
"responder";1,0761;-1,0761
"aécio";1,0525;-1,0525
"número";-0,2992;0,2992
"acreditar";0,2689;-0,2689
"mês";-0,8189;0,8189
"meu";-0,2507;0,2507
"falar";0,6289;-0,6289
"com";-0,4337;0,4337
"desenvolvimento";-0,8189;0,8189
"medida";-0,7507;0,7507
"risco";-0,8872;0,8872
"ir";0,7816;-0,7816
"exterior";0,2423;-0,2423
"discurso";1,677;-1,677
"perigoso";0,6049;-0,6049
"empresário";-0,1973;0,1973
"aparecer";0,775;-0,775
"depois";-0,9555;0,9555
"dado";0,2689;-0,2689
"recurso";-0,7507;0,7507
"algum";0,6835;-0,6835
"deputado";1,0528;-1,0528
"destacar";0,9673;-0,9673
"antes";-0,4731;0,4731
"ela";-0,6196;0,6196
"candidato";-0,3803;0,3803
"ele";0,509;-0,509
"nota";-0,9555;0,9555
"alckmin";-0,2507;0,2507
"assim";-0,2663;0,2663
"rio";-0,8189;0,8189
"muito";0,3302;-0,3302
"uma";-0,5704;0,5704
"muita";0,3579;-0,3579
"conhecido";2,065;-2,065
"o";2,1554;-2,1554
"esperar";0,3098;-0,3098
"questão";0,9673;-0,9673
"novo";0,4138;-0,4138
"foro";3,2599;-3,2599
"conversa";0,234;-0,234
"mercado";-0,2925;0,2925
"arma";0,3579;-0,3579
"condenar";-0,1759;0,1759
"saber";0,7447;-0,7447
"entrevista";-0,3335;0,3335
"menos";0,4253;-0,4253
"ver";0,8129;-0,8129
"vez";-0,4595;0,4595
"quase";0,234;-0,234
"dia";-0,5214;0,5214
"querer";0,76;-0,76
"joão";-0,2925;0,2925
"participar";-0,67;0,67
"cargo";-0,2507;0,2507
"melhor";-0,2045;0,2045
"militar";0,3794;-0,3794
"doria";-1,0238;1,0238
"bom";0,7787;-0,7787
"semana";-0,2663;0,2663
"internacional";-0,6824;0,6824
"ministério";-1,1505;1,1505
"psdb";-0,6824;0,6824
"instituição";1,0761;-1,0761
"você";0,4978;-0,4978
"só";0,35;-0,35
"trazer";-0,7507;0,7507
"1";-0,2346;0,2346
"primeiro";-0,363;0,363
"justiça";0,6842;-0,6842
"sr";-0,2507;0,2507
"se";1,4099;-1,4099
"forma";-0,6196;0,6196
"mais";0,9245;-0,9245
"passar";-0,1973;0,1973
"desde";-0,8872;0,8872
"sérgio_moro";1,0528;-1,0528
"eu";-0,3127;0,3127
"fazer";-0,4322;0,4322
"convocar";-0,2507;0,2507
"porcento";-0,2859;0,2859
"brasil";0,6997;-0,6997
"ministro";1,7352;-1,7352
"líder";-0,2045;0,2045
"americano";-0,369;0,369
"não";0,6893;-0,6893
"2";-0,773;0,773
"avaliar";-0,8189;0,8189
"investimento";-0,6824;0,6824
"qual";-0,8254;0,8254
"futuro";-0,3803;0,3803
"ano";0,4553;-0,4553
"3";-0,2925;0,2925
"crime";0,4774;-0,4774
"estar";1,0617;-1,0617
"já";0,6256;-0,6256
"médico";0,4774;-0,4774
"época";0,3579;-0,3579
"contar";1,0528;-1,0528
"dinheiro";-0,6196;0,6196
"federal";-0,2638;0,2638
"vender";-0,2925;0,2925
"achar";0,2987;-0,2987
"defesa";0,5368;-0,5368
"como";-1,2204;1,2204
"gente";0,7872;-0,7872
"crescimento";-0,7507;0,7507
"pessoa";0,8226;-0,8226
"áfrica";-0,6824;0,6824
"caso";-0,222;0,222
"prisão";0,5368;-0,5368
"junto";1,2009;-1,2009
"existir";-0,222;0,222
"estatal";0,775;-0,775
"produto";-0,3803;0,3803
"processo";-1,4896;1,4896
"por";-1,7678;1,7678
"viver";-0,2346;0,2346
"até";0,4891;-0,4891
"hoje";-0,2571;0,2571
"_";-6,4299;6,4299
"central";-0,9319;0,9319
"empresa";0,3596;-0,3596
"bbc";-3,0739;3,0739
"ocde";-0,8189;0,8189
"público";0,4272;-0,4272
"ex_presidente";0,7787;-0,7787
"rússia";-0,2925;0,2925
"agora";0,3806;-0,3806
"advogado";-0,6196;0,6196
"mundo";1,0177;-1,0177
"previdência";-0,3357;0,3357
"juiz";0,9757;-0,9757
"partido";0,3614;-0,3614
"5";0,7872;-0,7872
"pedir";0,2468;-0,2468
"joesley";0,775;-0,775
"cidadão";0,6835;-0,6835
"grupo";-0,2812;0,2812
"dilma";1,4734;-1,4734
"sociedade";-0,3803;0,3803
"república";0,4817;-0,4817
"menor";-0,2925;0,2925
"decisão";-0,521;0,521
"mundial";0,9673;-0,9673
"ter";0,9629;-0,9629
"sua";-0,2641;0,2641
"sul";-1,3652;1,3652
