"";"X.gr_01";"X.gr_02"
"pre";-3,3516;3,3516
"ver_sup";0,4466;-0,4466
"ono";-0,2108;0,2108
"pro_per";0,5915;-0,5915
"num";0,9772;-0,9772
"conj";-0,5089;0,5089
"adv";0,3832;-0,3832
"ver";4,4227;-4,4227
"pro_int";1,5055;-1,5055
"nr";-0,3506;0,3506
"pro_ind";-0,7739;0,7739
"adj";0,423;-0,423
"pro_dem";-0,6729;0,6729
"nom";-0,4442;0,4442
"adj ";-0,1405;0,1405
"adv_sup";0,7862;-0,7862
"nom_sup";-0,2779;0,2779
"pro_pos";0,4686;-0,4686
"adj_sup";0,5584;-0,5584
"art_def";0,3627;-0,3627
"sw";-0,0703;0,0703
"adj_num";-0,4648;0,4648
"pro_rel";-0,4259;0,4259
