"";"banalfreq";"X.gr_01";"X.gr_02"
"exigir";11;-0,3532;0,3532
"afirmar";73;-1,4527;1,4527
"atingir";26;1,3047;-1,3047
"fogo";18;0,8033;-0,8033
"segurança";37;-0,9029;0,9029
"hora";17;0,8856;-0,8856
"acordo";35;-1,8153;1,8153
"tipo";14;-0,5112;0,5112
"sobre";42;-1,628;1,628
"china";94;1,1085;-1,1085
"pyongyang";73;-0,8608;0,8608
"outro";37;0,6059;-0,6059
"jinping";10;1,1863;-1,1863
"pouco";11;-0,8509;0,8509
"destruir";11;0,582;-0,582
"pacífico";20;-0,857;0,857
"política";15;-0,5665;0,5665
"míssil";182;0,7821;-0,7821
"mesa";10;-0,3037;0,3037
"ordem";10;0,6679;-0,6679
"passado";18;-1,3927;1,3927
"enviar";18;0,2354;-0,2354
"fim";16;0,5893;-0,5893
"brasileiro";16;-1,2378;1,2378
"exercício";33;0,5435;-0,5435
"até";16;-0,299;0,299
"satélite";13;-0,4572;0,4572
"acontecer";18;-0,3784;0,3784
"três";16;-0,6228;0,6228
"entrar";10;1,1863;-1,1863
"realizar";44;-0,8728;0,8728
"deixar";14;1,7649;-1,7649
"segundo";50;-1,5629;1,5629
"lançar";32;-0,6771;0,6771
"analista";13;-0,4572;0,4572
"após";36;0,9199;-0,9199
"arma";33;0,8015;-0,8015
"disparar";10;0,6679;-0,6679
"longo";17;-1,3153;1,3153
"dois";36;-0,8563;0,8563
"responder";17;-0,3379;0,3379
"aliado";22;0,5477;-0,5477
"opção";32;-1,0593;1,0593
"resposta";13;-1,0056;1,0056
"com";268;-0,7129;0,7129
"preparar";12;-0,9283;0,9283
"durante";17;0,8856;-0,8856
"submarino";15;0,3443;-0,3443
"medida";20;-0,2337;0,2337
"ir";115;0,9329;-0,9329
"exterior";18;0,2354;-0,2354
"depois";30;-0,3517;0,3517
"algum";13;0,8269;-0,8269
"programa";41;-1,569;1,569
"coreano";13;0,8269;-0,8269
"antes";28;-1,3564;1,3564
"conflito";19;1,122;-1,122
"ele";65;0,4337;-0,4337
"declaração";13;-1,0056;1,0056
"donald";31;0,921;-0,921
"reunião";15;-1,1604;1,1604
"muito";33;-1,6826;1,6826
"o";873;0,7688;-0,7688
"rápido";10;-0,3037;0,3037
"novo";48;-1,9891;1,9891
"asiático";10;-0,3037;0,3037
"conversa";11;-0,3532;0,3532
"seguir";12;0,9295;-0,9295
"regime";36;-1,8821;1,8821
"poderoso";10;0,6679;-0,6679
"domingo";13;-1,0056;1,0056
"menos";10;-0,3037;0,3037
"ver";19;-1,4701;1,4701
"japão";54;0,2769;-0,2769
"vez";26;-0,7459;0,7459
"contra";51;-0,8534;0,8534
"dia";37;1,525;-1,525
"querer";16;0,5893;-0,5893
"militar";88;-0,8853;0,8853
"semana";30;-0,5925;0,5925
"ministério";17;-0,3379;0,3379
"diálogo";18;-0,7383;0,7383
"trump";142;0,7939;-0,7939
"colocar";12;0,5088;-0,5088
"mar";16;0,9773;-0,9773
"se";136;1,5215;-1,5215
"forma";16;-1,2378;1,2378
"mais";96;-1,1494;1,1494
"maior";11;1,6497;-1,6497
"negociação";14;-1,083;1,083
"desde";17;-0,6801;0,6801
"japonês";13;-0,4572;0,4572
"agir";11;1,0481;-1,0481
"fazer";62;-0,7307;0,7307
"ministro";13;-0,4572;0,4572
"suspender";12;0,5088;-0,5088
"xi";15;1,0802;-1,0802
"americano";91;0,5087;-0,5087
"onu";36;-1,2809;1,2809
"aumentar";10;-0,3037;0,3037
"ano";29;-0,8994;0,8994
"nuclear";188;0,9049;-0,9049
"chinês";25;1,0015;-1,0015
"qualquer";24;-0,3626;0,3626
"internacional";17;0,2671;-0,2671
"estar";130;1,7817;-1,7817
"norte_coreanos";19;-0,7973;0,7973
"já";30;0,9872;-0,9872
"bomba";24;0,4531;-0,4531
"como";84;-1,5813;1,5813
"alcançar";12;-0,9283;0,9283
"por";155;-0,9987;0,9987
"acabar";13;0,4459;-0,4459
"caso";20;-0,857;0,857
"real";12;-0,4044;0,4044
"lado";13;0,4459;-0,4459
"líder";38;-0,4006;0,4006
"imagem";14;0,3915;-0,3915
"hoje";15;1,6063;-1,6063
"moon";15;-1,1604;1,1604
"comunicado";11;-0,8509;0,8509
"último";31;-0,3829;0,3829
"rússia";21;-0,2638;0,2638
"ao";64;-0,5803;0,5803
"defesa";34;0,3123;-0,3123
"pedir";23;0,7959;-0,7959
"sucesso";12;-0,4044;0,4044
"comercial";13;-1,0056;1,0056
"ter";111;0,5806;-0,5806
"sul";183;0,2848;-0,2848
"vir";11;-0,8509;0,8509
"embaixador";10;1,8513;-1,8513
"começar";14;-0,2262;0,2262
"incluir";15;-0,5665;0,5665
"não";143;0,9166;-0,9166
"a";1186;0,511;-0,511
"grande";14;0,3915;-0,3915
"reuters";10;-0,3037;0,3037
"todo";29;1,439;-1,439
