"";"X.gr_01";"X.gr_02"
"exigir";0,37;0,73
"afirmar";2,24;4,87
"atingir";2,98;1,31
"fogo";1,86;0,94
"segurança";1,12;2,47
"hora";1,86;0,87
"acordo";0,37;2,47
"tipo";0,37;0,94
"sobre";0,75;2,91
"china";7,83;5,3
"pyongyang";2,98;4,72
"outro";2,98;2,11
"jinping";1,49;0,44
"continuar";2,98;0,87
"pouco";0;0,8
"destruir";1,12;0,58
"pacífico";0,37;1,38
"política";0,37;1,02
"míssil";13,05;10,68
"mesa";0,37;0,65
"ordem";1,12;0,51
"passado";0;1,31
"enviar";1,12;1,09
"fim";1,49;0,87
"brasileiro";0;1,16
"exercício";2,61;1,89
"até";0,75;1,02
"jon_un";4,47;0
"satélite";0,37;0,87
"acontecer";0,75;1,16
"três";0,37;1,09
"entrar";1,49;0,44
"realizar";1,49;2,91
"deixar";2,24;0,58
"segundo";1,12;3,41
"abril";2,98;0,65
"lançar";1,12;2,11
"analista";0,37;0,87
"após";3,35;1,96
"arma";2,98;1,82
"disparar";1,12;0,51
"longo";0;1,23
"dois";1,12;2,4
"thaad";2,61;0,58
"responder";0,75;1,09
"aliado";1,86;1,23
"opção";0,75;2,18
"resposta";0;0,94
"coréia";3,73;0,07
"com";14,16;16,71
"preparar";0;0,87
"durante";1,86;0,87
"submarino";1,12;0,87
"medida";1,12;1,23
"ir";8,95;6,61
"exterior";1,12;1,09
"kim";11,93;4,94
"depois";1,49;1,89
"algum";1,49;0,65
"programa";0,75;2,83
"coreano";1,49;0,65
"antes";0,37;1,96
"conflito";2,24;0,94
"ele";4,47;3,85
"declaração";0;0,94
"donald";2,98;1,67
"reunião";0;1,09
"muito";0,37;2,32
"uma";7,83;13,58
"o";57,03;52,3
"rápido";0,37;0,65
"novo";0,75;3,34
"asiático";0,37;0,65
"conversa";0,37;0,73
"seguir";1,49;0,58
"sanção";0;3,34
"regime";0,37;2,54
"poderoso";1,12;0,51
"domingo";0;0,94
"menos";0,37;0,65
"ver";0;1,38
"japão";3,35;3,27
"vez";0,75;1,74
"contra";1,86;3,34
"dia";4,1;1,89
"querer";1,49;0,87
"militar";3,73;5,67
"semana";1,12;1,96
"ministério";0,75;1,09
"diálogo";0,37;1,23
"trump";10,44;8,28
"colocar";1,12;0,65
"mar";1,86;0,8
"se";11,55;7,63
"forma";0;1,16
"mais";3,73;6,25
"maior";1,86;0,44
"negociação";0;1,02
"desde";0,37;1,16
"japonês";0,37;0,87
"agir";1,49;0,51
"fazer";2,61;4
"carl";3,73;0,8
"ministro";0,37;0,87
"suspender";1,12;0,65
"xi";1,86;0,73
"americano";6,34;5,38
"sistema";2,61;0,58
"onu";0,75;2,47
"ameaça";1,12;4,21
"aumentar";0,37;0,65
"ano";0,75;1,96
"nuclear";13,79;10,97
"chinês";2,61;1,31
"qualquer";1,12;1,53
"internacional";1,12;1,02
"estar";11,55;7,19
"norte_coreanos";0,37;1,31
"já";2,98;1,6
"bomba";1,86;1,38
"como";2,61;5,59
"alcançar";0;0,87
"por";7,08;9,88
"acabar";1,12;0,73
"caso";0,37;1,38
"real";0,37;0,8
"lado";1,12;0,73
"líder";1,86;2,4
"imagem";1,12;0,8
"hoje";2,24;0,65
"moon";0;1,09
"comunicado";0;0,8
"_";0;3,12
"último";1,49;1,96
"rússia";1,12;1,31
"ao";2,98;4,07
"defesa";2,24;2,03
"pedir";2,24;1,23
"sucesso";0,37;0,8
"comercial";0;0,94
"mundial";2,61;0,65
"ter";7,83;6,54
"sua";0,75;5,38
"sul";11,18;11,11
"vir";0;0,8
"embaixador";1,86;0,36
"começar";0,75;0,87
"incluir";0,37;1,02
"não";10,81;8,28
"a";74,54;71,62
"grande";1,12;0,8
"pronto";2,24;0,44
"reuters";0,37;0,65
"todo";3,35;1,45
"base";0,75;0,73
"divulgar";2,61;0,44
"vizinho";1,49;0,65
"conseguir";0;1,02
"para";18,26;14,38
"país";6,34;6,32
"situação";1,12;0,8
"tentar";0,75;1,09
"essa";0;1,09
"km";1,49;0,44
"carne";0;0,94
"nação";1,12;1,16
"meio";1,12;0,73
"seu";5,59;7,7
"ser";19,38;14,67
"norte_coreana";0,75;0,65
"sem";1,12;1,16
"sul_coreano";0,37;0,94
"comércio";0;0,73
"parecer";0,37;0,65
"considerar";0;0,8
"melhor";0,75;0,58
"dizer";9,69;7,84
"chegar";0;0,94
"conjunto";1,86;0,87
"coreia";43,98;43,07
"vário";0,37;0,87
"declarar";2,24;0,73
"próprio";2,24;0,65
"apenas";2,98;0,65
"segunda_feira";0;0,94
"entre";1,12;3,2
"claro";1,49;0,44
"ajudar";1,12;0,51
"informar";2,24;0,65
"tomar";0,37;0,65
"mostrar";1,86;0,87
"autoridade";0;0,94
"poder";8,95;4,79
"governo";0,37;2,69
"foguete";1,12;0,87
"região";0;0,73
"um";20,13;15,76
"conselho";0;1,45
"potência";0,75;0,94
"visita";0;0,8
"problema";2,24;0,58
"relação";1,12;1,82
"ataque";4,1;1,96
"desenvolver";0;1,23
"totalmente";0,75;0,73
"península";2,61;1,31
"atacar";3,35;0,87
"defender";0,37;0,73
"sobrevoar";1,49;0,44
"agência";1,12;0,87
"jae_in";0;1,02
"presidente";3,35;5,67
"anunciar";1,86;1,6
"uss";2,98;0,58
"força";2,24;1,82
"especialista";1,86;0,94
"estratégico";0,37;0,65
"de";144,24;155,08
"jong_un";2,24;2,76
"isso";1,12;0,94
"unido";3,73;6,83
"ainda";0,37;1,16
"eua";15,65;9,22
"econômico";0;1,02
"2017";0;1,02
"testar";1,12;1,38
"dever";1,12;1,53
"dar";1,12;0,8
"artilharia";0,37;0,65
"primeiro";0,75;1,74
"além";0;0,87
"vinson";3,73;0,8
"que";38,76;35,01
"cair";0,75;0,87
"ameaçar";1,12;1,09
"único";0;0,94
"próximo";1,49;0,65
"guerra";2,98;2,4
"capaz";0,75;0,94
"haver";1,86;2,47
"quando";0,37;0,94
"bem";1,12;0,58
"pressão";0,75;0,94
"mês";0;0,87
"milhão";0,75;0,65
"exército";2,98;0,87
"balístico";2,61;3,85
"lançamento";2,24;2,61
"principal";0,75;0,65
"norte";22,36;31,82
"confirmar";1,12;0,73
"advertir";0;0,8
"tensão";1,12;1,96
"norte_coreano";2,24;2,32
"mundo";2,24;1,45
"mesmo";1,12;1,45
"possível";0,75;1,53
"parte";1,12;0,94
"estado";5,96;6,9
"provocação";1,12;0,8
"momento";1,12;1,53
"território";1,49;1,09
"intercontinental";0;1,31
"teste";2,61;6,54
"resolver";0,37;0,8
"crise";0;1,09
"porta_aviões";2,98;0,94
"twitter";0,37;0,94
"usar";1,12;0,65
"ação";1,49;1,53
"também";3,73;3,49
"em";38,76;43,22
"washington";1,12;1,16
"encontro";0;0,87
"diplomático";0,37;0,65
"alcance";0,75;2,11
"seul";2,98;1,53
"prometer";3,73;0,51
