"";"X.gr_01";"X.gr_02"
"exigir";-0,3532;0,3532
"afirmar";-1,4527;1,4527
"atingir";1,3047;-1,3047
"fogo";0,8033;-0,8033
"segurança";-0,9029;0,9029
"hora";0,8856;-0,8856
"acordo";-1,8153;1,8153
"tipo";-0,5112;0,5112
"sobre";-1,628;1,628
"china";1,1085;-1,1085
"pyongyang";-0,8608;0,8608
"outro";0,6059;-0,6059
"jinping";1,1863;-1,1863
"continuar";2,007;-2,007
"pouco";-0,8509;0,8509
"destruir";0,582;-0,582
"pacífico";-0,857;0,857
"política";-0,5665;0,5665
"míssil";0,7821;-0,7821
"mesa";-0,3037;0,3037
"ordem";0,6679;-0,6679
"passado";-1,3927;1,3927
"enviar";0,2354;-0,2354
"fim";0,5893;-0,5893
"brasileiro";-1,2378;1,2378
"exercício";0,5435;-0,5435
"até";-0,299;0,299
"jon_un";9,4595;-9,4595
"satélite";-0,4572;0,4572
"acontecer";-0,3784;0,3784
"três";-0,6228;0,6228
"entrar";1,1863;-1,1863
"realizar";-0,8728;0,8728
"deixar";1,7649;-1,7649
"segundo";-1,5629;1,5629
"abril";2,5231;-2,5231
"lançar";-0,6771;0,6771
"analista";-0,4572;0,4572
"após";0,9199;-0,9199
"arma";0,8015;-0,8015
"disparar";0,6679;-0,6679
"longo";-1,3153;1,3153
"dois";-0,8563;0,8563
"thaad";2,2353;-2,2353
"responder";-0,3379;0,3379
"aliado";0,5477;-0,5477
"opção";-1,0593;1,0593
"resposta";-1,0056;1,0056
"coréia";6,9096;-6,9096
"com";-0,7129;0,7129
"preparar";-0,9283;0,9283
"durante";0,8856;-0,8856
"submarino";0,3443;-0,3443
"medida";-0,2337;0,2337
"ir";0,9329;-0,9329
"exterior";0,2354;-0,2354
"kim";4,1124;-4,1124
"depois";-0,3517;0,3517
"algum";0,8269;-0,8269
"programa";-1,569;1,569
"coreano";0,8269;-0,8269
"antes";-1,3564;1,3564
"conflito";1,122;-1,122
"ele";0,4337;-0,4337
"declaração";-1,0056;1,0056
