"";"X.gr_01";"X.gr_02"
"adv";-0,4924;0,4924
"nom";-0,3274;0,3274
"pre";-2,5689;2,5689
"ver";1,9609;-1,9609
"ono";0,4677;-0,4677
"pro_per";0,9391;-0,9391
"ver_sup";2,4789;-2,4789
"nom_sup";-0,7303;0,7303
"art_def";0,319;-0,319
"adj_num";-2,7382;2,7382
"pro_dem";-0,6034;0,6034
"pro_int";0,7424;-0,7424
"adv_sup";-0,0798;0,0798
"num";0,5286;-0,5286
"pro_rel";0,5535;-0,5535
"nr";1,1673;-1,1673
"pro_ind";-0,3691;0,3691
"adj";0,4884;-0,4884
"conj";-0,964;0,964
"pro_pos";-2,4821;2,4821
