"";"banalfreq";"X.gr_01";"X.gr_02"
"tratar";13;-0,2472;0,2472
"reforma";24;-0,6291;0,6291
"afirmar";94;-1,7876;1,7876
"decidir";20;0,4104;-0,4104
"segurança";11;-0,5648;0,5648
"acordo";32;1,6692;-1,6692
"sobre";72;-0,3561;0,3561
"março";11;-0,1881;0,1881
"outro";60;-1,0646;1,0646
"lavagem";28;-0,4178;0,4178
"ir";262;0,3305;-0,3305
"pertencer";21;-1,0786;1,0786
"política";13;0,3624;-0,3624
"político";25;0,8581;-0,8581
"abaixo";11;0,4541;-0,4541
"santana";13;0,3624;-0,3624
"empreiteiro";16;0,2626;-0,2626
"sede";16;-0,8217;0,8217
"mês";21;-0,2366;0,2366
"passado";16;-0,8217;0,8217
"liberdade";10;-0,1603;0,1603
"ilegal";10;-0,5135;0,5135
"valor";21;-1,0786;1,0786
"fim";16;0,2626;-0,2626
"9";20;-0,2138;0,2138
"brasileiro";20;1,1944;-1,1944
"nunca";26;-0,3627;0,3627
"três";16;-0,8217;0,8217
"realizar";15;0,2919;-0,2919
"ato";10;-0,1603;0,1603
"deixar";17;-0,873;0,873
"segunda_feira";11;-0,5648;0,5648
"corpus";11;-0,1881;0,1881
"segundo";73;-1,1018;1,1018
"entre";44;0,4363;-0,4363
"investigação";24;0,2922;-0,2922
"após";35;-0,3546;0,3546
"campo";13;-0,6676;0,6676
"esta";13;0,3624;-0,3624
"reportagem";13;0,3624;-0,3624
"lula";561;0,7652;-0,7652
"receber";55;-0,2335;0,2335
"dois";34;-0,3319;0,3319
"acusar";33;0,2925;-0,2925
"responder";16;0,2626;-0,2626
"pmdb";12;0,4051;-0,4051
"anunciar";10;-0,1603;0,1603
"de";2850;-0,9613;0,9613
"comprar";11;0,4541;-0,4541
"acreditar";11;0,4541;-0,4541
"destacar";10;1,0396;-1,0396
"bloqueio";10;-0,1603;0,1603
"paraná";11;-0,5648;0,5648
"vídeo";10;1,0396;-1,0396
"terreno";15;-0,7703;0,7703
"falar";34;0,2722;-0,2722
"com";242;1,1868;-1,1868
"durante";36;1,0028;-1,0028
"contrato";17;-0,873;0,873
"informar";12;-0,2171;0,2171
"usado";17;0,5333;-0,5333
"medida";10;-0,1603;0,1603
"encontrar";10;-0,1603;0,1603
"discurso";10;1,7303;-1,7303
"empresário";24;-0,3101;0,3101
"depois";21;-0,2366;0,2366
"recurso";38;-0,4259;0,4259
"deputado";33;0,8089;-0,8089
"desembargador";15;-0,3104;0,3104
