"";"X.gr_01";"X.gr_02"
"tratar";0,41;0,61
"reforma";0,41;1,18
"afirmar";1,63;4,61
"decidir";1,22;0,87
"segurança";0;0,56
"acordo";3,26;1,23
"sobre";2,85;3,33
"março";0,41;0,51
"outro";1,22;2,92
"lavagem";0,82;1,33
"ir";12,23;11,87
"pertencer";0;1,07
"me";2,04;0,36
"política";0,82;0,56
"político";2,04;1,02
"abaixo";0,82;0,46
"santana";0,82;0,56
"empreiteiro";0,82;0,72
"sede";0;0,82
"mês";0,82;0,97
"passado";0;0,82
"liberdade";0,41;0,46
"ilegal";0;0,51
"valor";0;1,07
"fim";0,82;0,72
"9";0,82;0,92
"brasileiro";2,04;0,77
"nunca";0,82;1,23
"três";0;0,82
"realizar";0,82;0,67
"ato";0,41;0,46
"deixar";0;0,87
"segunda_feira";0;0,56
"corpus";0,41;0,51
"segundo";1,63;3,53
"entre";2,45;1,94
"investigação";1,22;1,07
"após";1,22;1,64
"campo";0;0,67
"esta";0,82;0,56
"reportagem";0,82;0,56
"lula";28,55;25,13
"receber";2,45;2,51
"dois";1,22;1,59
"acusar";1,63;1,48
"responder";0,82;0,72
"pmdb";0,82;0,51
"anunciar";0,41;0,46
"de";121,53;130,59
"comprar";0,82;0,46
"acreditar";0,82;0,46
"destacar";1,22;0,36
"bloqueio";0,41;0,46
"paraná";0;0,56
"vídeo";1,22;0,36
"terreno";0;0,77
"falar";1,63;1,54
"com";14,27;10,59
"durante";2,85;1,48
"contrato";0;0,87
"informar";0,41;0,56
"usado";1,22;0,72
"medida";0,41;0,46
"encontrar";0,41;0,46
"discurso";1,63;0,31
"empresário";0,82;1,13
"depois";0,82;0,97
"recurso";1,22;1,79
"deputado";2,45;1,38
"desembargador";0,41;0,72
"acusação";0,82;1,33
"antes";0,82;0,82
"ela";0,41;1,18
"candidato";0,82;0,46
"objectivo";1,22;0,46
"ele";8,56;6,35
"declaração";0;0,92
"passivo";0,41;1,02
"negar";3,26;1,38
"ministro";1,22;2,1
"beneficiar";0,41;0,46
"apontar";1,22;0,41
"muito";0,82;0,82
"uma";13,87;7,47
"ciro";1,63;0,41
"o";76,67;62,84
"atibaia";0;0,51
"civil";0;0,56
"novo";0,82;1,54
"conversa";0,82;0,61
"penal";0;0,77
"inclusive";0,41;0,46
"condenar";2,45;1,79
"jamais";0;0,67
"saber";2,04;1,28
"imóvel";0;2,35
"publicar";1,22;0,46
"esquema";0,41;0,61
"teixeira";0,41;0,46
"joesley";0,41;0,82
"interrogatório";1,22;0,51
"entrevista";0,41;0,56
"josé";0,41;1,33
"ver";0,82;1,43
"vez";3,67;1,18
"curitiba";1,22;0,92
"mouro";0,41;0,46
"qualquer";0,82;2,35
"querer";4,49;0,97
"joão";0,82;1,23
"participar";0;0,67
"cargo";0,41;0,87
"procurador";0;1,38
"instituto";1,22;2,3
"semana";2,45;0,56
"prova";1,63;1,69
"tribunal";0,41;1,33
"só";1,63;0,72
"colocar";0,41;0,46
"primeiro";1,22;1,33
"justiça";2,45;2
"sp";0,41;1,02
"se";8,56;6,19
"turma";0,82;0,41
"forma";0,41;0,77
"mais";5,71;2,81
"passar";1,22;0,56
"questão";1,22;0,36
"vizinho";0;0,51
"desde";0,41;0,61
"em";36,3;50,35
"eu";1,22;2,05
"fazer";7,34;4,61
"brasil";2,45;0,97
"voto";0,41;0,56
"qual";0;0,87
"doação";0;0,61
"10";1,22;0,77
"12";0;0,77
"ocasião";0,41;0,56
"ano";3,26;3,22
"apresentado";0;0,61
"nota";0,82;2,05
"disputar";0,41;0,51
"prestar";0,41;1,33
"crime";0,82;1,59
"ex_ministro";0,41;1,23
"já";1,63;2,35
"referir";0,41;0,46
"época";1,22;0,56
"contar";1,63;0,87
"um";15,91;10,54
"federal";2,85;3,63
"3";0,41;0,61
"estar";9,38;4,35
"câmara";3,26;1,79
"como";4,89;4,66
"por";12,23;17,4
"pmdb_rj";0;0,56
"cunha";0,82;1,79
"família";0,41;0,87
"marisa";0,82;1,07
"denunciar";0;0,61
"sérgio_moro";9,79;4,45
"casa";1,22;0,97
"caso";1,22;2,76
"prisão";2,85;2,46
"golpe";0,82;0,41
"tentativa";0;0,61
"então";0;0,82
"processo";1,63;3,74
"guarujá";0;1,33
"imprensa";1,22;0,72
"rousseff";1,22;2,2
"4";0,41;0,72
"bernardo";0,41;0,77
"imagem";1,63;0,31
"até";2,85;1,64
"hoje";2,85;0,72
"chefe";0,82;0,41
"_";0;2,15
"empresa";1,22;1,54
"ex_presidente";39,15;37,1
"agora";1,63;0,77
"advogado";3,67;3,17
"batista";0,41;0,51
"ao";8,16;9,72
"líder";0;0,61
"juiz";4,89;3,43
"defesa";5,3;4,3
"partido";1,63;1,38
"5";0,82;0,77
"relação";0;1,02
"pedir";2,45;2,15
"pesquisa";0,41;0,46
"grupo";0;0,77
"apartamento";1,22;3,02
"dilma";3,67;4,35
"mpf";1,22;1,84
"república";1,22;1,74
"decisão";0,41;1,94
"ter";14,27;9,72
"sua";4,49;2,35
"sul";0;0,56
"propina";0,82;1,84
"alvo";0,41;0,72
"acontecer";1,22;0,51
"corte";0,82;0,56
"trf_4";1,63;0,92
"silva";0,41;1,43
"6";0,41;1,02
"levar";1,63;0,46
"não";13,05;11,31
"a";50,57;55,98
"dentro";0,41;0,46
"grande";0,41;0,51
"delação";1,22;1,48
"24";0;0,56
"pena";0,82;0,67
"ficar";0;1,38
"pedido";3,26;1,79
"cercar";1,63;0,41
"dia";1,22;2,05
"envolver";0;0,87
"trf";1,22;0,92
"todo";4,08;2,15
"caravana";0;0,56
"senado";0,41;0,56
"verdade";0,41;0,67
"divulgar";1,22;0,67
"dono";1,63;1,38
"nome";1,22;1,48
"contra";0,82;3,07
"brasília";1,22;0,72
"para";15,5;12,64
"stf";1,22;2,51
"duque";0;0,67
"tentar";2,85;0,31
"país";2,04;0,87
"essa";0,82;0,82
"esse";1,63;0,61
"réu";0,41;1,69
"quem";0,82;0,46
"porque";1,63;0,61
"meio";0,41;1,23
"seu";4,89;2,1
"ser";25,29;20,67
"demonstrar";0;0,61
"sem";2,45;0,82
"lava_jato";2,85;4,35
"pagar";0,41;0,61
"eleitoral";0;1,02
"eleição";1,22;0,97
"considerar";0,41;0,61
"filho";0,41;0,87
"senador";1,22;0,67
"dizer";6,12;8,09
"nacional";0;0,61
"pessoa";1,63;1,13
"pt";2,45;2,92
"léo";1,63;0,77
"denúncia";0,41;1,48
"pf";3,67;0,56
"recibo";0;0,67
"premiar";0,41;0,46
"declarar";1,22;0,82
"campanha";0;0,56
"próprio";0,41;0,92
"apenas";0;0,82
"recorrer";0,41;0,77
"apresentar";0;1,43
"mandar";0,41;0,46
"ocorrer";0,41;0,46
"habeas";0,41;0,51
"mostrar";1,22;0,46
"apoio";0,41;0,51
"suposto";0,82;0,67
"condenação";0,41;2,05
"jornal";1,63;0,51
"voltar";0,82;0,41
"poder";4,08;2,66
"quinta_feira";0,41;0,56
"governo";3,26;2,2
"região";0,82;0,97
"cio";0;0,67
"dinheiro";1,63;1,94
"corrupção";2,45;2,1
"odebrecht";0;3,43
"letícia";0,82;0,67
"diverso";0,82;0,51
"pagamento";0;1,07
"e";26,92;30,14
"manter";0;0,87
"nenhum";0;0,77
"depoimento";5,3;3,99
"operação";0;2,51
"informação";2,04;0,56
"polícia";2,04;0,82
"defender";1,22;0,56
"fachin";0,41;0,51
"público";1,63;2,25
"lei";0,82;0,87
"luiz";0,82;0,97
"ler";0,41;0,56
"destinar";0;0,51
"presidente";1,22;2,66
"chamado";0;0,67
"julgamento";0,82;1,69
"assessoria";0;0,82
"martins";0;0,97
"isso";0,82;1,18
"ainda";0,82;2,1
"litoral";0;0,51
"superior";0;0,72
"dever";1,22;1,02
"dar";4,08;1,23
"lá";2,85;0,15
"tempo";1,22;0,56
"que";44,05;40,43
"compra";0;1,07
"além";0;0,92
"marcelo";0;1,02
"pgr";0,41;0,51
"próximo";1,63;0,51
"final";0,41;0,77
"haver";4,49;3,99
"quando";0;1,64
"petrobras";0,41;1,59
"bem";0,41;1,02
"mil";1,22;0,61
"milhão";0,41;1,84
"ministério";0,82;1,64
"documento";2,04;0,92
"marcar";0,82;0,61
"último";2,04;0,72
"petista";6,12;1,84
"tudo";1,63;0,46
"local";0,41;0,46
"impeachment";0,41;0,72
"trf4";0;0,51
"palocci";0,41;1,33
"favor";0,41;0,46
"confirmar";0,82;0,72
"cristiano";0;1,02
"terça_feira";0;0,61
"triplex";1,63;2,97
"sítio";0;0,87
"amigo";0,82;0,56
"eduardo";0,82;1,94
"pinheiro";0,41;1,23
"2014";0,82;0,77
"2016";1,22;0,56
"chamar";2,45;0,31
"mesmo";1,22;1,38
"possível";0,41;0,46
"parte";2,04;1,28
"quarta_feira";0,82;0,82
"presidência";0;0,92
"paulo";0,41;2,1
"íntegro";0;0,67
"executivo";0,41;0,46
"michel_temer";2,85;1,64
"momento";1,22;0,41
"rcifrão";1,22;2,41
"testemunha";0;0,51
"preso";1,63;1,07
"fato";0,41;0,87
