"";"*gr_01";"*gr_02"
"tratar";1;12
"reforma";1;23
"afirmar";4;90
"decidir";3;17
"segurança";0;11
"acordo";8;24
"sobre";7;65
"março";1;10
"outro";3;57
"lavagem";2;26
"ir";30;232
"pertencer";0;21
"me";5;7
"política";2;11
"político";5;20
"abaixo";2;9
"santana";2;11
"empreiteiro";2;14
"sede";0;16
"mês";2;19
"passado";0;16
"liberdade";1;9
"ilegal";0;10
"valor";0;21
"fim";2;14
"9";2;18
"brasileiro";5;15
"nunca";2;24
"três";0;16
"realizar";2;13
"ato";1;9
"deixar";0;17
"segunda_feira";0;11
"corpus";1;10
"segundo";4;69
"entre";6;38
"investigação";3;21
"após";3;32
"campo";0;13
"esta";2;11
"reportagem";2;11
"lula";70;491
"receber";6;49
"dois";3;31
"acusar";4;29
"responder";2;14
"pmdb";2;10
"anunciar";1;9
"de";298;2552
"comprar";2;9
"acreditar";2;9
"destacar";3;7
"bloqueio";1;9
"paraná";0;11
"vídeo";3;7
"terreno";0;15
"falar";4;30
"com";35;207
"durante";7;29
"contrato";0;17
"informar";1;11
"usado";3;14
"medida";1;9
"encontrar";1;9
"discurso";4;6
"empresário";2;22
"depois";2;19
"recurso";3;35
"deputado";6;27
"desembargador";1;14
"acusação";2;26
"antes";2;16
"ela";1;23
"candidato";2;9
"objectivo";3;9
"ele";21;124
"declaração";0;18
"passivo";1;20
"negar";8;27
"ministro";3;41
"beneficiar";1;9
"apontar";3;8
"muito";2;16
"uma";34;146
"ciro";4;8
"o";188;1228
"atibaia";0;10
"civil";0;11
"novo";2;30
"conversa";2;12
"penal";0;15
"inclusive";1;9
"condenar";6;35
"jamais";0;13
"saber";5;25
"imóvel";0;46
"publicar";3;9
"esquema";1;12
"teixeira";1;9
"joesley";1;16
"interrogatório";3;10
"entrevista";1;11
"josé";1;26
"ver";2;28
"vez";9;23
"curitiba";3;18
"mouro";1;9
"qualquer";2;46
"querer";11;19
"joão";2;24
"participar";0;13
"cargo";1;17
"procurador";0;27
"instituto";3;45
"semana";6;11
"prova";4;33
"tribunal";1;26
"só";4;14
"colocar";1;9
"primeiro";3;26
"justiça";6;39
"sp";1;20
