"";"X.gr_01";"X.gr_02"
"tratar";-0,2472;0,2472
"reforma";-0,6291;0,6291
"afirmar";-1,7876;1,7876
"decidir";0,4104;-0,4104
"segurança";-0,5648;0,5648
"acordo";1,6692;-1,6692
"sobre";-0,3561;0,3561
"março";-0,1881;0,1881
"outro";-1,0646;1,0646
"lavagem";-0,4178;0,4178
"ir";0,3305;-0,3305
"pertencer";-1,0786;1,0786
"me";2,1599;-2,1599
"política";0,3624;-0,3624
"político";0,8581;-0,8581
"abaixo";0,4541;-0,4541
"santana";0,3624;-0,3624
"empreiteiro";0,2626;-0,2626
"sede";-0,8217;0,8217
"mês";-0,2366;0,2366
"passado";-0,8217;0,8217
"liberdade";-0,1603;0,1603
"ilegal";-0,5135;0,5135
"valor";-1,0786;1,0786
"fim";0,2626;-0,2626
"9";-0,2138;0,2138
"brasileiro";1,1944;-1,1944
"nunca";-0,3627;0,3627
"três";-0,8217;0,8217
"realizar";0,2919;-0,2919
"ato";-0,1603;0,1603
"deixar";-0,873;0,873
"segunda_feira";-0,5648;0,5648
"corpus";-0,1881;0,1881
"segundo";-1,1018;1,1018
"entre";0,4363;-0,4363
"investigação";0,2922;-0,2922
"após";-0,3546;0,3546
"campo";-0,6676;0,6676
"esta";0,3624;-0,3624
"reportagem";0,3624;-0,3624
"lula";0,7652;-0,7652
"receber";-0,2335;0,2335
"dois";-0,3319;0,3319
"acusar";0,2925;-0,2925
"responder";0,2626;-0,2626
"pmdb";0,4051;-0,4051
"anunciar";-0,1603;0,1603
"de";-0,9613;0,9613
"comprar";0,4541;-0,4541
"acreditar";0,4541;-0,4541
"destacar";1,0396;-1,0396
"bloqueio";-0,1603;0,1603
"paraná";-0,5648;0,5648
"vídeo";1,0396;-1,0396
"terreno";-0,7703;0,7703
"falar";0,2722;-0,2722
"com";1,1868;-1,1868
"durante";1,0028;-1,0028
"contrato";-0,873;0,873
"informar";-0,2171;0,2171
"usado";0,5333;-0,5333
"medida";-0,1603;0,1603
"encontrar";-0,1603;0,1603
"discurso";1,7303;-1,7303
"empresário";-0,3101;0,3101
"depois";-0,2366;0,2366
"recurso";-0,4259;0,4259
"deputado";0,8089;-0,8089
"desembargador";-0,3104;0,3104
"acusação";-0,4178;0,4178
"antes";-0,1707;0,1707
"ela";-0,6291;0,6291
"candidato";0,4541;-0,4541
"objectivo";0,8483;-0,8483
"ele";0,8955;-0,8955
"declaração";-0,9244;0,9244
"passivo";-0,5177;0,5177
"negar";1,449;-1,449
"ministro";-0,5818;0,5818
"beneficiar";-0,1603;0,1603
"apontar";0,9374;-0,9374
"muito";-0,1707;0,1707
"uma";2,8395;-2,8395
"ciro";1,4366;-1,4366
"o";2,2509;-2,2509
"atibaia";-0,5135;0,5135
"civil";-0,5648;0,5648
"novo";-0,535;0,535
"conversa";0,325;-0,325
"penal";-0,7703;0,7703
"inclusive";-0,1603;0,1603
"condenar";0,5165;-0,5165
"jamais";-0,6676;0,6676
"saber";0,6236;-0,6236
"imóvel";-2,364;2,364
"publicar";0,8483;-0,8483
"esquema";-0,2472;0,2472
"teixeira";-0,1603;0,1603
"joesley";-0,3768;0,3768
"interrogatório";0,77;-0,77
"entrevista";-0,2171;0,2171
"josé";-0,7442;0,7442
"ver";-0,4754;0,4754
"vez";2,1704;-2,1704
"curitiba";0,3767;-0,3767
"mouro";-0,1603;0,1603
"qualquer";-1,0712;1,0712
"querer";3,6308;-3,6308
"joão";-0,3627;0,3627
"participar";-0,6676;0,6676
"cargo";-0,4111;0,4111
"procurador";-1,3869;1,3869
"instituto";-0,6943;0,6943
"semana";2,0994;-2,0994
"prova";-0,2196;0,2196
"tribunal";-0,7442;0,7442
"só";0,8766;-0,8766
"colocar";-0,1603;0,1603
"primeiro";-0,2275;0,2275
"justiça";0,4123;-0,4123
"sp";-0,5177;0,5177
"se";0,9641;-0,9641
"turma";0,5106;-0,5106
"forma";-0,3432;0,3432
"mais";1,7285;-1,7285
"passar";0,7005;-0,7005
"questão";1,0396;-1,0396
"vizinho";-0,5135;0,5135
"desde";-0,2472;0,2472
"em";-3,0162;3,0162
"eu";-0,5547;0,5547
"fazer";1,2763;-1,2763
"brasil";1,2789;-1,2789
"voto";-0,2171;0,2171
"qual";-0,873;0,873
"doação";-0,6162;0,6162
"10";0,4882;-0,4882
"12";-0,7703;0,7703
"ocasião";-0,2171;0,2171
"ano";0,2652;-0,2652
"apresentado";-0,6162;0,6162
"nota";-0,8596;0,8596
"disputar";-0,1881;0,1881
"prestar";-0,7442;0,7442
"crime";-0,5656;0,5656
"ex_ministro";-0,6671;0,6671
"já";-0,4795;0,4795
"referir";-0,1603;0,1603
"época";0,7005;-0,7005
"contar";0,698;-0,698
"um";1,8484;-1,8484
"federal";-0,4588;0,4588
"3";-0,2472;0,2472
"estar";2,7862;-2,7862
"câmara";1,0005;-1,0005
"como";0,3173;-0,3173
"por";-1,4871;1,4871
"pmdb_rj";-0,5648;0,5648
"cunha";-0,6923;0,6923
"família";-0,4111;0,4111
"marisa";-0,2848;0,2848
"denunciar";-0,6162;0,6162
"sérgio_moro";2,9782;-2,9782
"casa";0,3459;-0,3459
"caso";-0,9679;0,9679
"prisão";0,381;-0,381
"golpe";0,5106;-0,5106
"tentativa";-0,6162;0,6162
"então";-0,8217;0,8217
"processo";-1,2254;1,2254
"guarujá";-1,3355;1,3355
"imprensa";0,5333;-0,5333
"rousseff";-0,6373;0,6373
"4";-0,3104;0,3104
"bernardo";-0,3432;0,3432
"imagem";1,7303;-1,7303
"até";0,8615;-0,8615
"hoje";2,222;-2,222
"chefe";0,5106;-0,5106
"_";-2,1582;2,1582
"empresa";-0,3098;0,3098
"ex_presidente";0,4909;-0,4909
"agora";0,8117;-0,8117
"advogado";0,4037;-0,4037
"batista";-0,1881;0,1881
"ao";-0,575;0,575
"líder";-0,6162;0,6162
"juiz";0,7799;-0,7799
"defesa";0,5483;-0,5483
"partido";0,3375;-0,3375
"5";0,2365;-0,2365
"relação";-1,0272;1,0272
"pedir";0,3478;-0,3478
"pesquisa";-0,1603;0,1603
"grupo";-0,7703;0,7703
"apartamento";-1,1304;1,1304
"dilma";-0,4103;0,4103
"mpf";-0,4507;0,4507
"república";-0,4016;0,4016
"decisão";-1,2328;1,2328
"ter";1,578;-1,578
"sua";1,319;-1,319
"sul";-0,5648;0,5648
"propina";-0,7251;0,7251
"alvo";-0,3104;0,3104
"acontecer";0,77;-0,77
"corte";0,3624;-0,3624
"trf_4";0,6479;-0,6479
"silva";-0,8228;0,8228
"6";-0,5177;0,5177
"levar";1,3159;-1,3159
"não";0,603;-0,603
"a";-0,8392;0,8392
"dentro";-0,1603;0,1603
"grande";-0,1881;0,1881
"delação";-0,2883;0,2883
"24";-0,5648;0,5648
"pena";0,2919;-0,2919
"ficar";-1,3869;1,3869
"pedido";1,0005;-1,0005
"cercar";1,4366;-1,4366
"dia";-0,5547;0,5547
"envolver";-0,873;0,873
"trf";0,3767;-0,3767
"todo";1,2302;-1,2302
"caravana";-0,5648;0,5648
"senado";-0,2171;0,2171
"verdade";-0,2784;0,2784
"divulgar";0,5831;-0,5831
"dono";0,3375;-0,3375
"nome";-0,2883;0,2883
"contra";-1,5992;1,5992
"brasília";0,5333;-0,5333
"para";0,8549;-0,8549
"stf";-0,8126;0,8126
"duque";-0,6676;0,6676
