"";"X.gr_01";"X.gr_02"
"adv";1,7688;-1,7688
"nom";-2,6012;2,6012
"pre";-5,56;5,56
"ver";4,3495;-4,3495
"pro_pos";4,2629;-4,2629
"pro_per";0,9146;-0,9146
"ver_sup";2,7673;-2,7673
"nom_sup";-0,6728;0,6728
"art_def";3,0065;-3,0065
"adj_num";-2,5709;2,5709
"pro_dem";0,8814;-0,8814
"pro_int";-0,5476;0,5476
"num";-1,0495;1,0495
"pro_rel";0,3488;-0,3488
"adj_sup";0,5018;-0,5018
"adj ";-0,1643;0,1643
"nr";-1,4228;1,4228
"pro_ind";-0,4542;0,4542
"adj";2,1974;-2,1974
"conj";-0,3514;0,3514
"ono";-0,219;0,219
