"";"banalfreq";"X.gr_01";"X.gr_02"
"tratar";11;-0,1667;0,1667
"precisar";25;-0,5992;0,5992
"meirelles";12;-0,1927;0,1927
"reforma";80;-1,1411;1,1411
"afirmar";106;-0,6635;0,6635
"decidir";12;-0,1927;0,1927
"segurança";47;-1,4284;1,4284
"sírio";61;-0,6422;0,6422
"acordo";45;0,4911;-0,4911
"tipo";11;0,4966;-0,4966
"encontrar";12;-0,5711;0,5711
"sobre";75;0,4257;-0,4257
"china";19;0,2212;-0,2212
"cidade";13;-0,6187;0,6187
"químico";28;-0,7049;0,7049
"arma";31;0,3939;-0,3939
"continuar";23;-0,2459;0,2459
"pouco";23;0,3642;-0,3642
"existir";16;1,1173;-1,1173
"política";53;-0,7301;0,7301
"político";45;-0,3068;0,3068
"saúde";15;-0,7139;0,7139
"união";17;0,2683;-0,2683
"abaixo";13;0,4012;-0,4012
"área";25;-1,19;1,19
"crítica";22;0,3943;-0,3943
"sede";11;-0,1667;0,1667
"mês";24;0,3367;-0,3367
"passado";29;-0,3887;0,3887
"americano";44;-0,2892;0,2892
"fim";19;0,2212;-0,2212
"necessário";20;-0,1835;0,1835
"brasileiro";66;0,6147;-0,6147
"até";44;1,0943;-1,0943
"fonte";11;-0,5235;0,5235
"carlos";16;-0,7615;0,7615
"procurar";12;-0,5711;0,5711
"forte";16;-0,7615;0,7615
"fernando";14;0,3619;-0,3619
"acontecer";30;-0,7771;0,7771
"realizar";23;0,6758;-0,6758
"deixar";33;-0,8875;0,8875
"trump";48;0,6452;-0,6452
"movimento";15;-0,7139;0,7139
"segundo";74;-1,3572;1,3572
"odebrecht";44;-0,2892;0,2892
"início";13;0,4012;-0,4012
"investigação";24;0,6309;-0,6309
"após";43;-0,272;0,272
"este";13;-0,2197;0,2197
"esta";10;-0,1418;0,1418
"estadual";17;0,2683;-0,2683
"mina";13;0,4012;-0,4012
"uscifrão";10;-0,1418;0,1418
"longo";13;-0,6187;0,6187
"lula";118;1,4555;-1,4555
"receber";28;1,1959;-1,1959
"bndes";11;0,4966;-0,4966
"cúpula";10;-0,1418;0,1418
"dois";46;0,2784;-0,2784
"grave";11;0,4966;-0,4966
"aécio";25;-0,5992;0,5992
"apesar";10;-0,4759;0,4759
"aliado";16;-0,3061;0,3061
"sul";20;-0,1835;0,1835
"melhor";11;-0,5235;0,5235
"caber";10;-0,4759;0,4759
"porque";43;-0,7891;0,7891
"acreditar";15;-0,2765;0,2765
"gestão";12;0,9185;-0,9185
"guerra";10;1,1147;-1,1147
"alguma";13;-0,2197;0,2197
"emenda";10;1,1147;-1,1147
"sair";19;-0,399;0,399
"paraná";15;-0,7139;0,7139
"antes";30;-1,4281;1,4281
"vídeo";15;0,7018;-0,7018
"com";372;0,517;-0,517
"ocorrer";13;0,4012;-0,4012
"candidato";37;-1,7616;1,7616
"usado";10;0,5552;-0,5552
"secretário";13;-0,6187;0,6187
"medida";38;-0,3622;0,3622
"ir";389;0,531;-0,531
"exterior";21;-0,2035;0,2035
"discurso";18;0,5447;-0,5447
"fazenda";18;0,5447;-0,5447
"depois";28;-0,7049;0,7049
"algum";29;0,753;-0,753
"deputado";71;-0,2666;0,2666
"programa";22;-1,0471;1,0471
"destacar";13;0,8378;-0,8378
"recurso";16;-0,3061;0,3061
"ela";38;1,031;-1,031
"ele";168;-0,7991;0,7991
"declaração";16;-0,3061;0,3061
"alckmin";11;-0,5235;0,5235
"assim";13;0,4012;-0,4012
"negar";19;-0,9043;0,9043
"pyongyang";12;-0,5711;0,5711
"outro";70;-0,2538;0,2538
"tucano";12;-0,5711;0,5711
"beneficiar";12;-0,5711;0,5711
"esquema";11;-0,1667;0,1667
"total";10;-0,4759;0,4759
"apontar";10;0,5552;-0,5552
"oposição";29;-0,1902;0,1902
"rio";34;-0,5225;0,5225
"uma";302;0,4771;-0,4771
"o";1917;0,5999;-0,5999
"esperar";14;0,3619;-0,3619
"sob";12;0,9185;-0,9185
"civil";20;-0,1835;0,1835
"questão";20;0,4627;-0,4627
"novo";69;-1,6784;1,6784
"começar";16;-0,7615;0,7615
"conversa";20;-0,4311;0,4311
"seguir";13;-0,2197;0,2197
"trabalhista";24;-0,2681;0,2681
"sanção";10;-0,4759;0,4759
"saber";33;-0,2612;0,2612
"peemedebista";12;-0,1927;0,1927
"russo";19;0,5018;-0,5018
"domingo";11;-0,5235;0,5235
"intervenção";31;-0,4408;0,4408
"entrevista";22;-0,497;0,497
"josé";14;0,3619;-0,3619
"menos";24;0,3367;-0,3367
"ver";38;-0,6374;0,6374
"muito";55;0,29;-0,29
"vez";30;0,7098;-0,7098
"mandato";16;-0,3061;0,3061
"quase";14;0,3619;-0,3619
"autoridade";22;-0,2243;0,2243
"dia";59;-0,2323;0,2323
"querer";55;0,29;-0,29
"joão";10;-0,1418;0,1418
"participar";27;-0,6694;0,6694
"cargo";40;1,2988;-1,2988
"mudança";20;-0,4311;0,4311
"viagem";10;-0,4759;0,4759
"militar";26;1,8433;-1,8433
"alto";18;1,4888;-1,4888
"exemplo";17;-0,8091;0,8091
"aprovação";15;0,3271;-0,3271
"internacional";17;-0,8091;0,8091
"negócio";14;0,3619;-0,3619
"tribunal";12;-0,1927;0,1927
"você";28;-0,3634;0,3634
"só";19;0,2212;-0,2212
"míssil";21;1,7672;-1,7672
"tirar";12;1,5384;-1,5384
"perder";18;-0,3674;0,3674
"noite";11;-0,5235;0,5235
"colocar";16;0,296;-0,296
"1";13;0,4012;-0,4012
"planalto";30;-1,4281;1,4281
"pmdb";45;-0,5232;0,5232
"nota";14;-0,2477;0,2477
"justiça";15;1,8305;-1,8305
"mal";10;-0,4759;0,4759
"se";202;0,358;-0,358
"voltar";29;0,753;-0,753
"forma";17;-0,8091;0,8091
"mais";120;0,7492;-0,7492
"maia";23;-0,5306;0,5306
"passar";27;0,2664;-0,2664
"janeiro";19;-0,9043;0,9043
"maior";31;0,3939;-0,3939
"desde";33;-0,4948;0,4948
"citar";15;0,7018;-0,7018
"mulher";10;-0,4759;0,4759
"eu";53;0,3226;-0,3226
"fazer";154;1,5512;-1,5512
"porcento";31;0,3939;-0,3939
"palocci";13;0,4012;-0,4012
"brasil";75;0,6052;-0,6052
