"";"X.gr_01";"X.gr_02"
"tratar";0,34;0,39
"precisar";0,34;0,94
"meirelles";0,34;0,43
"reforma";1,36;2,98
"afirmar";2,71;3,84
"decidir";0,34;0,43
"segurança";0,34;1,8
"sírio";1,36;2,24
"acordo";2,03;1,53
"tipo";0,68;0,35
"encontrar";0;0,47
"sobre";3,05;2,59
"china";0,68;0,67
"cidade";0;0,51
"químico";0,34;1,06
"arma";1,36;1,06
"continuar";0,68;0,82
"pouco";1,02;0,78
"existir";1,36;0,47
"política";1,02;1,96
"político";1,36;1,61
"saúde";0;0,59
"união";0,68;0,59
"abaixo";0,68;0,43
"área";0;0,98
"crítica";1,02;0,75
"sede";0,34;0,39
"mês";1,02;0,82
"passado";0,68;1,06
"americano";1,36;1,57
"fim";0,68;0,67
"necessário";0,68;0,71
"brasileiro";3,05;2,24
"até";2,71;1,41
"fonte";0;0,43
"carlos";0;0,63
"procurar";0;0,47
"forte";0;0,63
"fernando";0,68;0,47
"acontecer";0,34;1,14
"realizar";1,36;0,75
"deixar";0,34;1,26
"trump";2,37;1,61
"movimento";0;0,59
"segundo";1,02;2,78
"odebrecht";1,36;1,57
"início";0,68;0,43
"investigação";1,36;0,78
"após";1,36;1,53
"este";0,34;0,47
"esta";0,34;0,35
"estadual";0,68;0,59
"mina";0,68;0,43
"uscifrão";0,34;0,35
"longo";0;0,51
"lula";6,44;3,88
"receber";2,03;0,86
"bndes";0,68;0,35
"cúpula";0,34;0,35
"dois";1,69;1,61
"grave";0,68;0,35
"aécio";0,34;0,94
"apesar";0;0,39
"aliado";0,34;0,59
"sul";0,68;0,71
"melhor";0;0,43
"caber";0;0,39
"porque";0,68;1,61
"acreditar";0,34;0,55
"gestão";1,02;0,35
"guerra";1,02;0,27
"alguma";0,34;0,47
"emenda";1,02;0,27
"sair";0,34;0,71
"paraná";0;0,59
"antes";0;1,18
"vídeo";1,02;0,47
"com";14,23;12,94
"ocorrer";0,68;0,43
"candidato";0;1,45
"usado";0,68;0,31
"funcionário";2,03;0,35
"secretário";0;0,51
"medida";1,02;1,37
"ir";14,91;13,53
"exterior";0,68;0,75
"discurso";1,02;0,59
"fazenda";1,02;0,59
"kim";2,37;0,51
"depois";0,34;1,06
"algum";1,69;0,94
"deputado";2,37;2,51
"programa";0;0,86
"destacar";1,02;0,39
"recurso";0,34;0,59
"ela";2,37;1,22
"ele";4,4;6,08
"declaração";0,34;0,59
"alckmin";0;0,43
"assim";0,68;0,43
"negar";0;0,75
"pyongyang";0;0,47
"outro";2,37;2,47
"tucano";0;0,47
"beneficiar";0;0,47
"esquema";0,34;0,39
"total";0;0,39
"apontar";0,68;0,31
"oposição";1,02;1,02
"rio";0,68;1,26
"uma";11,52;10,51
"o";70,46;67,03
"esperar";0,68;0,47
"sob";1,02;0,35
"civil";0,68;0,71
"questão";1,02;0,67
"novo";0,68;2,63
"começar";0;0,63
"conversa";0,34;0,75
"seguir";0,34;0,47
"trabalhista";0,68;0,86
"sanção";0;0,39
"saber";1,02;1,18
"peemedebista";0,34;0,43
"russo";1,02;0,63
"domingo";0;0,43
"intervenção";0,68;1,14
"entrevista";0,34;0,82
"josé";0,68;0,47
"menos";1,02;0,82
"ver";0,68;1,41
"muito";2,03;1,92
"vez";1,69;0,98
"mandato";0,34;0,59
"quase";0,68;0,47
"autoridade";0,68;0,78
"dia";2,03;2,08
"querer";2,03;1,92
"joão";0,34;0,35
"participar";0,34;1,02
"cargo";2,71;1,26
"mudança";0,34;0,75
"viagem";0;0,39
"militar";2,37;0,75
"alto";1,69;0,51
"exemplo";0;0,67
"aprovação";0,68;0,51
"internacional";0;0,67
"negócio";0,68;0,47
"tribunal";0,34;0,43
"você";0,68;1,02
"só";0,68;0,67
"míssil";2,03;0,59
"tirar";1,36;0,31
"perder";0,34;0,67
"noite";0;0,43
"colocar";0,68;0,55
"1";0,68;0,43
"planalto";0;1,18
"pmdb";1,02;1,65
"nota";0,34;0,51
"justiça";1,69;0,39
"mal";0;0,39
"se";7,45;7,06
"voltar";1,69;0,94
"forma";0;0,67
"mais";5,42;4,08
"maia";0,34;0,86
"passar";1,02;0,94
"janeiro";0;0,75
"maior";1,36;1,06
"desde";0,68;1,22
"citar";1,02;0,47
"mulher";0;0,39
"eu";2,03;1,84
"fazer";8,13;5,1
"porcento";1,36;1,06
"palocci";0,68;0,43
"brasil";3,39;2,55
"ministro";4,4;2,71
"época";0,68;0,43
"não";16,26;12,67
"comissão";0;0,47
"voto";1,02;0,47
"2";0,68;0,51
"avaliar";0,34;0,51
"qual";0;1,33
"doação";0;0,43
"10";0;0,71
"número";0;0,55
"aumentar";0;0,47
"futuro";0;0,55
"ano";2,03;2,67
"apoiar";0,34;0,67
"renan";0,68;0,71
"mercado";0;0,55
