"";"*gr_01";"*gr_02"
"tratar";1;10
"precisar";1;24
"meirelles";1;11
"reforma";4;76
"afirmar";8;98
"decidir";1;11
"segurança";1;46
"sírio";4;57
"acordo";6;39
"tipo";2;9
"encontrar";0;12
"sobre";9;66
"china";2;17
"cidade";0;13
"químico";1;27
"arma";4;27
"continuar";2;21
"pouco";3;20
"existir";4;12
"política";3;50
"político";4;41
"saúde";0;15
"união";2;15
"abaixo";2;11
"área";0;25
"crítica";3;19
"sede";1;10
"mês";3;21
"passado";2;27
"americano";4;40
"fim";2;17
"necessário";2;18
"brasileiro";9;57
"até";8;36
"fonte";0;11
"carlos";0;16
"procurar";0;12
"forte";0;16
"fernando";2;12
"acontecer";1;29
"realizar";4;19
"deixar";1;32
"trump";7;41
"movimento";0;15
"segundo";3;71
"odebrecht";4;40
"início";2;11
"investigação";4;20
"após";4;39
"este";1;12
"esta";1;9
"estadual";2;15
"mina";2;11
"uscifrão";1;9
"longo";0;13
"lula";19;99
"receber";6;22
"bndes";2;9
"cúpula";1;9
"dois";5;41
"grave";2;9
"aécio";1;24
"apesar";0;10
"aliado";1;15
"sul";2;18
"melhor";0;11
"caber";0;10
"porque";2;41
"acreditar";1;14
"gestão";3;9
"guerra";3;7
"alguma";1;12
"emenda";3;7
"sair";1;18
"paraná";0;15
"antes";0;30
"vídeo";3;12
"com";42;330
"ocorrer";2;11
"candidato";0;37
"usado";2;8
"funcionário";6;9
"secretário";0;13
"medida";3;35
"ir";44;345
"exterior";2;19
"discurso";3;15
"fazenda";3;15
"kim";7;13
"depois";1;27
"algum";5;24
"deputado";7;64
"programa";0;22
"destacar";3;10
"recurso";1;15
"ela";7;31
"ele";13;155
"declaração";1;15
"alckmin";0;11
"assim";2;11
"negar";0;19
"pyongyang";0;12
"outro";7;63
"tucano";0;12
"beneficiar";0;12
"esquema";1;10
"total";0;10
"apontar";2;8
"oposição";3;26
"rio";2;32
"uma";34;268
"o";208;1709
"esperar";2;12
"sob";3;9
"civil";2;18
"questão";3;17
"novo";2;67
"começar";0;16
"conversa";1;19
"seguir";1;12
"trabalhista";2;22
"sanção";0;10
"saber";3;30
"peemedebista";1;11
"russo";3;16
"domingo";0;11
"intervenção";2;29
"entrevista";1;21
"josé";2;12
"menos";3;21
"ver";2;36
"muito";6;49
"vez";5;25
"mandato";1;15
"quase";2;12
"autoridade";2;20
"dia";6;53
"querer";6;49
"joão";1;9
"participar";1;26
"cargo";8;32
"mudança";1;19
"viagem";0;10
"militar";7;19
"alto";5;13
"exemplo";0;17
"aprovação";2;13
"internacional";0;17
