"";"X.gr_01";"X.gr_02"
"pre";-2,8812;2,8812
"ver_sup";0,6937;-0,6937
"ono";-0,3941;0,3941
"pro_per";-0,3092;0,3092
"num";3,0834;-3,0834
"conj";-0,3116;0,3116
"adv";0,3322;-0,3322
"ver";2,8266;-2,8266
"pro_int";-0,2664;0,2664
"nr";2,0734;-2,0734
"pro_ind";-1,051;1,051
"adj";0,455;-0,455
"pro_dem";-0,6271;0,6271
"nom";-0,3477;0,3477
"adj ";-0,1797;0,1797
"pro_pos";0,4393;-0,4393
"nom_sup";-0,9817;0,9817
"adv_sup";2,1701;-2,1701
"adj_sup";0,6877;-0,6877
"art_def";-1,8372;1,8372
"adj_num";-0,516;0,516
"pro_rel";0,3891;-0,3891
